"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS","MSV7-ADS","MSV7-AIS","MSV7-ACS","MSV7-RCS","MSV7-RIS"
"11","8.0","1.0","8.0","0.5333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","2.0","2.0","4.0","0.13333333333333333","0.13333333333333333","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","3.0","2.0","6.0","0.2","0.13333333333333333","6.0","0.0","0.0","0.4","0.0","1.0","12.0","12.0","0.06666666666666667","0.8","1.0","7.0","7.0","0.06666666666666667","0.4666666666666667","1.0","11.0","11.0","0.06666666666666667","0.7333333333333333","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","8.0","1.0","8.0","0.5333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","2.0","2.0","4.0","0.13333333333333333","0.13333333333333333","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","3.0","2.0","6.0","0.2","0.13333333333333333","6.0","0.0","0.0","0.4","0.0","1.0","12.0","12.0","0.06666666666666667","0.8","1.0","7.0","7.0","0.06666666666666667","0.4666666666666667","1.0","11.0","11.0","0.06666666666666667","0.7333333333333333","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","8.0","1.0","8.0","0.5333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","2.0","2.0","4.0","0.13333333333333333","0.13333333333333333","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","3.0","2.0","6.0","0.2","0.13333333333333333","6.0","0.0","0.0","0.4","0.0","1.0","12.0","12.0","0.06666666666666667","0.8","1.0","7.0","7.0","0.06666666666666667","0.4666666666666667","1.0","11.0","11.0","0.06666666666666667","0.7333333333333333","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","8.0","1.0","8.0","0.5333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","2.0","2.0","4.0","0.13333333333333333","0.13333333333333333","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","3.0","2.0","6.0","0.2","0.13333333333333333","6.0","0.0","0.0","0.4","0.0","1.0","12.0","12.0","0.06666666666666667","0.8","1.0","7.0","7.0","0.06666666666666667","0.4666666666666667","1.0","11.0","11.0","0.06666666666666667","0.7333333333333333","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","8.0","1.0","8.0","0.5333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","2.0","2.0","4.0","0.13333333333333333","0.13333333333333333","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","3.0","2.0","6.0","0.2","0.13333333333333333","6.0","0.0","0.0","0.4","0.0","1.0","12.0","12.0","0.06666666666666667","0.8","1.0","7.0","7.0","0.06666666666666667","0.4666666666666667","1.0","11.0","11.0","0.06666666666666667","0.7333333333333333","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","8.0","1.0","8.0","0.5333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","2.0","2.0","4.0","0.13333333333333333","0.13333333333333333","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","3.0","2.0","6.0","0.2","0.13333333333333333","6.0","0.0","0.0","0.4","0.0","1.0","12.0","12.0","0.06666666666666667","0.8","1.0","7.0","7.0","0.06666666666666667","0.4666666666666667","1.0","11.0","11.0","0.06666666666666667","0.7333333333333333","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","8.0","1.0","8.0","0.5333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","2.0","2.0","4.0","0.13333333333333333","0.13333333333333333","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","3.0","2.0","6.0","0.2","0.13333333333333333","6.0","0.0","0.0","0.4","0.0","1.0","12.0","12.0","0.06666666666666667","0.8","1.0","7.0","7.0","0.06666666666666667","0.4666666666666667","1.0","11.0","11.0","0.06666666666666667","0.7333333333333333","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","9.0","1.0","9.0","0.5625","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","2.0","2.0","4.0","0.125","0.125","4.0","1.0","4.0","0.25","0.0625","3.0","2.0","6.0","0.1875","0.125","6.0","0.0","0.0","0.375","0.0","1.0","13.0","13.0","0.0625","0.8125","1.0","8.0","8.0","0.0625","0.5","1.0","11.0","11.0","0.0625","0.6875","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","2.0","1.0","2.0","0.125","0.0625","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19","10.0","1.0","10.0","0.5882352941176471","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","2.0","4.0","0.11764705882352941","0.11764705882352941","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","6.0","0.0","0.0","0.35294117647058826","0.0","1.0","14.0","14.0","0.058823529411764705","0.8235294117647058","1.0","8.0","8.0","0.058823529411764705","0.47058823529411764","1.0","12.0","12.0","0.058823529411764705","0.7058823529411765","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"20","11.0","1.0","11.0","0.6111111111111112","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","2.0","2.0","4.0","0.1111111111111111","0.1111111111111111","4.0","1.0","4.0","0.2222222222222222","0.05555555555555555","3.0","2.0","6.0","0.16666666666666666","0.1111111111111111","6.0","0.0","0.0","0.3333333333333333","0.0","1.0","15.0","15.0","0.05555555555555555","0.8333333333333334","1.0","9.0","9.0","0.05555555555555555","0.5","1.0","13.0","13.0","0.05555555555555555","0.7222222222222222","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","0.0","0.0","0.0","0.0","0.0"
"21","12.0","1.0","12.0","0.631578947368421","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","3.0","2.0","6.0","0.15789473684210525","0.10526315789473684","6.0","0.0","0.0","0.3157894736842105","0.0","1.0","16.0","16.0","0.05263157894736842","0.8421052631578947","1.0","9.0","9.0","0.05263157894736842","0.47368421052631576","1.0","14.0","14.0","0.05263157894736842","0.7368421052631579","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842"
