"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","RD12-ADS","RD12-AIS","RD12-ACS","RD12-RCS","RD12-RIS","RD13-ADS","RD13-AIS","RD13-ACS","RD13-RCS","RD13-RIS","RD14-ADS","RD14-AIS","RD14-ACS","RD14-RCS","RD14-RIS","RD15-ADS","RD15-AIS","RD15-ACS","RD15-RCS","RD15-RIS","RD16-ADS","RD16-AIS","RD16-ACS","RD16-RCS","RD16-RIS","RD17-ADS","RD17-AIS","RD17-ACS","RD17-RCS","RD17-RIS","RD18-ADS","RD18-AIS","RD18-ACS","RD18-RCS","RD18-RIS","RD19-ADS","RD19-AIS","RD19-ACS","RD19-RCS","RD19-RIS","RD20-ADS","RD20-AIS","RD20-ACS","RD20-RCS","RD20-RIS","RD21-ADS","RD21-AIS","RD21-ACS","RD21-RCS","RD21-RIS","RD22-ADS","RD22-AIS","RD22-ACS","RD22-RCS","RD22-RIS","RD23-ADS","RD23-AIS","RD23-ACS","RD23-RCS","RD23-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS"
"11","3.0","2.0","6.0","0.125","0.08333333333333333","11.0","2.0","22.0","0.4583333333333333","0.08333333333333333","3.0","4.0","12.0","0.125","0.16666666666666666","3.0","2.0","6.0","0.125","0.08333333333333333","1.0","2.0","2.0","0.041666666666666664","0.08333333333333333","1.0","6.0","6.0","0.041666666666666664","0.25","5.0","2.0","10.0","0.20833333333333334","0.08333333333333333","3.0","4.0","12.0","0.125","0.16666666666666666","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","2.0","6.0","0.125","0.08333333333333333","3.0","1.0","3.0","0.125","0.041666666666666664","5.0","3.0","15.0","0.20833333333333334","0.125","2.0","3.0","6.0","0.08333333333333333","0.125","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","5.0","10.0","0.08333333333333333","0.20833333333333334","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","4.0","3.0","12.0","0.16666666666666666","0.125","4.0","3.0","12.0","0.16666666666666666","0.125","2.0","0.0","0.0","0.08333333333333333","0.0","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","5.0","2.0","10.0","0.20833333333333334","0.08333333333333333","4.0","2.0","8.0","0.16666666666666666","0.08333333333333333","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","0.0","22.0","0.0","0.0","0.9166666666666666"
"12","3.0","2.0","6.0","0.125","0.08333333333333333","11.0","2.0","22.0","0.4583333333333333","0.08333333333333333","3.0","4.0","12.0","0.125","0.16666666666666666","3.0","2.0","6.0","0.125","0.08333333333333333","1.0","2.0","2.0","0.041666666666666664","0.08333333333333333","1.0","6.0","6.0","0.041666666666666664","0.25","5.0","2.0","10.0","0.20833333333333334","0.08333333333333333","3.0","4.0","12.0","0.125","0.16666666666666666","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","2.0","6.0","0.125","0.08333333333333333","3.0","1.0","3.0","0.125","0.041666666666666664","5.0","3.0","15.0","0.20833333333333334","0.125","2.0","3.0","6.0","0.08333333333333333","0.125","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","5.0","10.0","0.08333333333333333","0.20833333333333334","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","4.0","3.0","12.0","0.16666666666666666","0.125","4.0","3.0","12.0","0.16666666666666666","0.125","2.0","0.0","0.0","0.08333333333333333","0.0","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","5.0","2.0","10.0","0.20833333333333334","0.08333333333333333","4.0","2.0","8.0","0.16666666666666666","0.08333333333333333","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","0.0","22.0","0.0","0.0","0.9166666666666666"
"13","3.0","2.0","6.0","0.125","0.08333333333333333","11.0","2.0","22.0","0.4583333333333333","0.08333333333333333","3.0","4.0","12.0","0.125","0.16666666666666666","3.0","2.0","6.0","0.125","0.08333333333333333","1.0","2.0","2.0","0.041666666666666664","0.08333333333333333","1.0","6.0","6.0","0.041666666666666664","0.25","5.0","2.0","10.0","0.20833333333333334","0.08333333333333333","3.0","4.0","12.0","0.125","0.16666666666666666","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","2.0","6.0","0.125","0.08333333333333333","3.0","1.0","3.0","0.125","0.041666666666666664","5.0","3.0","15.0","0.20833333333333334","0.125","2.0","3.0","6.0","0.08333333333333333","0.125","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","5.0","10.0","0.08333333333333333","0.20833333333333334","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","4.0","3.0","12.0","0.16666666666666666","0.125","4.0","3.0","12.0","0.16666666666666666","0.125","2.0","0.0","0.0","0.08333333333333333","0.0","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","5.0","2.0","10.0","0.20833333333333334","0.08333333333333333","4.0","2.0","8.0","0.16666666666666666","0.08333333333333333","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","0.0","22.0","0.0","0.0","0.9166666666666666"
"14","3.0","2.0","6.0","0.125","0.08333333333333333","11.0","2.0","22.0","0.4583333333333333","0.08333333333333333","3.0","4.0","12.0","0.125","0.16666666666666666","3.0","2.0","6.0","0.125","0.08333333333333333","1.0","2.0","2.0","0.041666666666666664","0.08333333333333333","1.0","6.0","6.0","0.041666666666666664","0.25","5.0","2.0","10.0","0.20833333333333334","0.08333333333333333","3.0","4.0","12.0","0.125","0.16666666666666666","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","2.0","6.0","0.125","0.08333333333333333","3.0","1.0","3.0","0.125","0.041666666666666664","5.0","3.0","15.0","0.20833333333333334","0.125","2.0","3.0","6.0","0.08333333333333333","0.125","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","5.0","10.0","0.08333333333333333","0.20833333333333334","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","4.0","3.0","12.0","0.16666666666666666","0.125","4.0","3.0","12.0","0.16666666666666666","0.125","2.0","0.0","0.0","0.08333333333333333","0.0","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","5.0","2.0","10.0","0.20833333333333334","0.08333333333333333","4.0","2.0","8.0","0.16666666666666666","0.08333333333333333","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","0.0","22.0","0.0","0.0","0.9166666666666666"
"15","3.0","2.0","6.0","0.125","0.08333333333333333","11.0","2.0","22.0","0.4583333333333333","0.08333333333333333","3.0","4.0","12.0","0.125","0.16666666666666666","3.0","2.0","6.0","0.125","0.08333333333333333","1.0","2.0","2.0","0.041666666666666664","0.08333333333333333","1.0","6.0","6.0","0.041666666666666664","0.25","5.0","2.0","10.0","0.20833333333333334","0.08333333333333333","3.0","4.0","12.0","0.125","0.16666666666666666","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","2.0","6.0","0.125","0.08333333333333333","3.0","1.0","3.0","0.125","0.041666666666666664","5.0","3.0","15.0","0.20833333333333334","0.125","2.0","3.0","6.0","0.08333333333333333","0.125","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","5.0","10.0","0.08333333333333333","0.20833333333333334","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","4.0","3.0","12.0","0.16666666666666666","0.125","4.0","3.0","12.0","0.16666666666666666","0.125","2.0","0.0","0.0","0.08333333333333333","0.0","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","5.0","2.0","10.0","0.20833333333333334","0.08333333333333333","4.0","2.0","8.0","0.16666666666666666","0.08333333333333333","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","0.0","22.0","0.0","0.0","0.9166666666666666"
"16","3.0","2.0","6.0","0.125","0.08333333333333333","11.0","2.0","22.0","0.4583333333333333","0.08333333333333333","3.0","4.0","12.0","0.125","0.16666666666666666","3.0","2.0","6.0","0.125","0.08333333333333333","1.0","2.0","2.0","0.041666666666666664","0.08333333333333333","1.0","6.0","6.0","0.041666666666666664","0.25","5.0","2.0","10.0","0.20833333333333334","0.08333333333333333","3.0","4.0","12.0","0.125","0.16666666666666666","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","2.0","6.0","0.125","0.08333333333333333","3.0","1.0","3.0","0.125","0.041666666666666664","5.0","3.0","15.0","0.20833333333333334","0.125","2.0","3.0","6.0","0.08333333333333333","0.125","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","5.0","10.0","0.08333333333333333","0.20833333333333334","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","4.0","3.0","12.0","0.16666666666666666","0.125","4.0","3.0","12.0","0.16666666666666666","0.125","2.0","0.0","0.0","0.08333333333333333","0.0","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","5.0","2.0","10.0","0.20833333333333334","0.08333333333333333","4.0","2.0","8.0","0.16666666666666666","0.08333333333333333","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","0.0","22.0","0.0","0.0","0.9166666666666666"
"17","3.0","2.0","6.0","0.125","0.08333333333333333","11.0","2.0","22.0","0.4583333333333333","0.08333333333333333","3.0","4.0","12.0","0.125","0.16666666666666666","3.0","2.0","6.0","0.125","0.08333333333333333","1.0","2.0","2.0","0.041666666666666664","0.08333333333333333","1.0","6.0","6.0","0.041666666666666664","0.25","5.0","2.0","10.0","0.20833333333333334","0.08333333333333333","3.0","4.0","12.0","0.125","0.16666666666666666","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","2.0","6.0","0.125","0.08333333333333333","3.0","1.0","3.0","0.125","0.041666666666666664","5.0","3.0","15.0","0.20833333333333334","0.125","2.0","3.0","6.0","0.08333333333333333","0.125","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","5.0","10.0","0.08333333333333333","0.20833333333333334","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","4.0","3.0","12.0","0.16666666666666666","0.125","4.0","3.0","12.0","0.16666666666666666","0.125","2.0","0.0","0.0","0.08333333333333333","0.0","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","5.0","2.0","10.0","0.20833333333333334","0.08333333333333333","4.0","2.0","8.0","0.16666666666666666","0.08333333333333333","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","0.0","22.0","0.0","0.0","0.9166666666666666"
"18","3.0","2.0","6.0","0.125","0.08333333333333333","11.0","2.0","22.0","0.4583333333333333","0.08333333333333333","3.0","4.0","12.0","0.125","0.16666666666666666","3.0","2.0","6.0","0.125","0.08333333333333333","1.0","2.0","2.0","0.041666666666666664","0.08333333333333333","1.0","6.0","6.0","0.041666666666666664","0.25","5.0","2.0","10.0","0.20833333333333334","0.08333333333333333","3.0","4.0","12.0","0.125","0.16666666666666666","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","2.0","6.0","0.125","0.08333333333333333","3.0","1.0","3.0","0.125","0.041666666666666664","5.0","3.0","15.0","0.20833333333333334","0.125","2.0","3.0","6.0","0.08333333333333333","0.125","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","5.0","10.0","0.08333333333333333","0.20833333333333334","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","4.0","3.0","12.0","0.16666666666666666","0.125","4.0","3.0","12.0","0.16666666666666666","0.125","2.0","0.0","0.0","0.08333333333333333","0.0","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","5.0","2.0","10.0","0.20833333333333334","0.08333333333333333","4.0","2.0","8.0","0.16666666666666666","0.08333333333333333","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","0.0","22.0","0.0","0.0","0.9166666666666666"
"19","3.0","2.0","6.0","0.125","0.08333333333333333","11.0","2.0","22.0","0.4583333333333333","0.08333333333333333","3.0","4.0","12.0","0.125","0.16666666666666666","3.0","2.0","6.0","0.125","0.08333333333333333","1.0","2.0","2.0","0.041666666666666664","0.08333333333333333","1.0","6.0","6.0","0.041666666666666664","0.25","5.0","2.0","10.0","0.20833333333333334","0.08333333333333333","3.0","4.0","12.0","0.125","0.16666666666666666","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","2.0","6.0","0.125","0.08333333333333333","3.0","1.0","3.0","0.125","0.041666666666666664","5.0","3.0","15.0","0.20833333333333334","0.125","2.0","3.0","6.0","0.08333333333333333","0.125","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","5.0","10.0","0.08333333333333333","0.20833333333333334","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","4.0","3.0","12.0","0.16666666666666666","0.125","4.0","3.0","12.0","0.16666666666666666","0.125","2.0","0.0","0.0","0.08333333333333333","0.0","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","5.0","2.0","10.0","0.20833333333333334","0.08333333333333333","4.0","2.0","8.0","0.16666666666666666","0.08333333333333333","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","0.0","22.0","0.0","0.0","0.9166666666666666"
"20","3.0","2.0","6.0","0.125","0.08333333333333333","11.0","2.0","22.0","0.4583333333333333","0.08333333333333333","3.0","4.0","12.0","0.125","0.16666666666666666","3.0","2.0","6.0","0.125","0.08333333333333333","1.0","2.0","2.0","0.041666666666666664","0.08333333333333333","1.0","6.0","6.0","0.041666666666666664","0.25","5.0","2.0","10.0","0.20833333333333334","0.08333333333333333","3.0","4.0","12.0","0.125","0.16666666666666666","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","2.0","6.0","0.125","0.08333333333333333","3.0","1.0","3.0","0.125","0.041666666666666664","5.0","3.0","15.0","0.20833333333333334","0.125","2.0","3.0","6.0","0.08333333333333333","0.125","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","5.0","10.0","0.08333333333333333","0.20833333333333334","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","4.0","3.0","12.0","0.16666666666666666","0.125","4.0","3.0","12.0","0.16666666666666666","0.125","2.0","0.0","0.0","0.08333333333333333","0.0","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","5.0","2.0","10.0","0.20833333333333334","0.08333333333333333","4.0","2.0","8.0","0.16666666666666666","0.08333333333333333","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","0.0","22.0","0.0","0.0","0.9166666666666666"
"21","3.0","2.0","6.0","0.125","0.08333333333333333","11.0","2.0","22.0","0.4583333333333333","0.08333333333333333","3.0","4.0","12.0","0.125","0.16666666666666666","3.0","2.0","6.0","0.125","0.08333333333333333","1.0","2.0","2.0","0.041666666666666664","0.08333333333333333","1.0","6.0","6.0","0.041666666666666664","0.25","5.0","2.0","10.0","0.20833333333333334","0.08333333333333333","3.0","4.0","12.0","0.125","0.16666666666666666","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","2.0","6.0","0.125","0.08333333333333333","3.0","1.0","3.0","0.125","0.041666666666666664","5.0","3.0","15.0","0.20833333333333334","0.125","2.0","3.0","6.0","0.08333333333333333","0.125","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","5.0","10.0","0.08333333333333333","0.20833333333333334","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","4.0","3.0","12.0","0.16666666666666666","0.125","4.0","3.0","12.0","0.16666666666666666","0.125","2.0","0.0","0.0","0.08333333333333333","0.0","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","5.0","2.0","10.0","0.20833333333333334","0.08333333333333333","4.0","2.0","8.0","0.16666666666666666","0.08333333333333333","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","0.0","22.0","0.0","0.0","0.9166666666666666"
