"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","BA7-ADS","BA7-AIS","BA7-ACS","BA7-RCS","BA7-RIS","BA8-ADS","BA8-AIS","BA8-ACS","BA8-RCS","BA8-RIS","BA9-ADS","BA9-AIS","BA9-ACS","BA9-RCS","BA9-RIS","BA10-ADS","BA10-AIS","BA10-ACS","BA10-RCS","BA10-RIS","BA11-ADS","BA11-AIS","BA11-ACS","BA11-RCS","BA11-RIS","BA12-ADS","BA12-AIS","BA12-ACS","BA12-RCS","BA12-RIS","BA13-ADS","BA13-AIS","BA13-ACS","BA13-RCS","BA13-RIS","BA14-ADS","BA14-AIS","BA14-ACS","BA14-RCS","BA14-RIS","BA15-ADS","BA15-AIS","BA15-ACS","BA15-RCS","BA15-RIS","BA16-ADS","BA16-AIS","BA16-ACS","BA16-RCS","BA16-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS","MSV7-ADS","MSV7-AIS","MSV7-ACS","MSV7-RCS","MSV7-RIS"
"11","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","14.0","42.0","0.14285714285714285","0.6666666666666666","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","5.0","0.0","0.0","0.23809523809523808","0.0","0.0","20.0","0.0","0.0","0.9523809523809523","1.0","19.0","19.0","0.047619047619047616","0.9047619047619048","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","14.0","42.0","0.14285714285714285","0.6666666666666666","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","5.0","0.0","0.0","0.23809523809523808","0.0","0.0","20.0","0.0","0.0","0.9523809523809523","1.0","19.0","19.0","0.047619047619047616","0.9047619047619048","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","14.0","42.0","0.14285714285714285","0.6666666666666666","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","5.0","0.0","0.0","0.23809523809523808","0.0","0.0","20.0","0.0","0.0","0.9523809523809523","1.0","19.0","19.0","0.047619047619047616","0.9047619047619048","3.0","0.0","0.0","0.14285714285714285","0.0","3.0","0.0","0.0","0.14285714285714285","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","15.0","45.0","0.13636363636363635","0.6818181818181818","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","2.0","6.0","0.13636363636363635","0.09090909090909091","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","5.0","0.0","0.0","0.22727272727272727","0.0","0.0","21.0","0.0","0.0","0.9545454545454546","1.0","20.0","20.0","0.045454545454545456","0.9090909090909091","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","15.0","45.0","0.13636363636363635","0.6818181818181818","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","2.0","6.0","0.13636363636363635","0.09090909090909091","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","5.0","0.0","0.0","0.22727272727272727","0.0","0.0","21.0","0.0","0.0","0.9545454545454546","1.0","20.0","20.0","0.045454545454545456","0.9090909090909091","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","3.0","0.0","0.0","0.13636363636363635","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","3.0","16.0","48.0","0.13043478260869565","0.6956521739130435","3.0","0.0","0.0","0.13043478260869565","0.0","3.0","0.0","0.0","0.13043478260869565","0.0","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","3.0","0.0","0.0","0.13043478260869565","0.0","3.0","0.0","0.0","0.13043478260869565","0.0","3.0","0.0","0.0","0.13043478260869565","0.0","3.0","0.0","0.0","0.13043478260869565","0.0","3.0","0.0","0.0","0.13043478260869565","0.0","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","3.0","0.0","0.0","0.13043478260869565","0.0","3.0","0.0","0.0","0.13043478260869565","0.0","5.0","0.0","0.0","0.21739130434782608","0.0","0.0","22.0","0.0","0.0","0.9565217391304348","1.0","20.0","20.0","0.043478260869565216","0.8695652173913043","3.0","0.0","0.0","0.13043478260869565","0.0","3.0","0.0","0.0","0.13043478260869565","0.0","3.0","0.0","0.0","0.13043478260869565","0.0","2.0","0.0","0.0","0.08695652173913043","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","17.0","51.0","0.125","0.7083333333333334","3.0","0.0","0.0","0.125","0.0","3.0","0.0","0.0","0.125","0.0","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","2.0","6.0","0.125","0.08333333333333333","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","0.0","0.0","0.125","0.0","3.0","0.0","0.0","0.125","0.0","3.0","0.0","0.0","0.125","0.0","3.0","0.0","0.0","0.125","0.0","3.0","0.0","0.0","0.125","0.0","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","0.0","0.0","0.125","0.0","3.0","0.0","0.0","0.125","0.0","5.0","0.0","0.0","0.20833333333333334","0.0","0.0","23.0","0.0","0.0","0.9583333333333334","1.0","20.0","20.0","0.041666666666666664","0.8333333333333334","3.0","0.0","0.0","0.125","0.0","3.0","0.0","0.0","0.125","0.0","3.0","0.0","0.0","0.125","0.0","2.0","0.0","0.0","0.08333333333333333","0.0","2.0","0.0","0.0","0.08333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","17.0","51.0","0.125","0.7083333333333334","3.0","0.0","0.0","0.125","0.0","3.0","0.0","0.0","0.125","0.0","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","2.0","6.0","0.125","0.08333333333333333","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","0.0","0.0","0.125","0.0","3.0","0.0","0.0","0.125","0.0","3.0","0.0","0.0","0.125","0.0","3.0","0.0","0.0","0.125","0.0","3.0","0.0","0.0","0.125","0.0","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","0.0","0.0","0.125","0.0","3.0","0.0","0.0","0.125","0.0","5.0","0.0","0.0","0.20833333333333334","0.0","0.0","23.0","0.0","0.0","0.9583333333333334","1.0","20.0","20.0","0.041666666666666664","0.8333333333333334","3.0","0.0","0.0","0.125","0.0","3.0","0.0","0.0","0.125","0.0","3.0","0.0","0.0","0.125","0.0","2.0","0.0","0.0","0.08333333333333333","0.0","2.0","0.0","0.0","0.08333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","17.0","51.0","0.125","0.7083333333333334","3.0","0.0","0.0","0.125","0.0","3.0","0.0","0.0","0.125","0.0","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","2.0","6.0","0.125","0.08333333333333333","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","0.0","0.0","0.125","0.0","3.0","0.0","0.0","0.125","0.0","3.0","0.0","0.0","0.125","0.0","3.0","0.0","0.0","0.125","0.0","3.0","0.0","0.0","0.125","0.0","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","0.0","0.0","0.125","0.0","3.0","0.0","0.0","0.125","0.0","5.0","0.0","0.0","0.20833333333333334","0.0","0.0","23.0","0.0","0.0","0.9583333333333334","1.0","20.0","20.0","0.041666666666666664","0.8333333333333334","3.0","0.0","0.0","0.125","0.0","3.0","0.0","0.0","0.125","0.0","3.0","0.0","0.0","0.125","0.0","2.0","0.0","0.0","0.08333333333333333","0.0","2.0","0.0","0.0","0.08333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"20","3.0","1.0","3.0","0.12","0.04","3.0","18.0","54.0","0.12","0.72","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","1.0","3.0","0.12","0.04","3.0","1.0","3.0","0.12","0.04","3.0","2.0","6.0","0.12","0.08","3.0","1.0","3.0","0.12","0.04","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","1.0","3.0","0.12","0.04","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","5.0","0.0","0.0","0.2","0.0","0.0","24.0","0.0","0.0","0.96","1.0","21.0","21.0","0.04","0.84","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","2.0","0.0","0.0","0.08","0.0","2.0","0.0","0.0","0.08","0.0","3.0","0.0","0.0","0.12","0.0","0.0","0.0","0.0","0.0","0.0"
"21","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","19.0","57.0","0.11538461538461539","0.7307692307692307","3.0","0.0","0.0","0.11538461538461539","0.0","3.0","0.0","0.0","0.11538461538461539","0.0","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","0.0","0.0","0.11538461538461539","0.0","3.0","0.0","0.0","0.11538461538461539","0.0","3.0","0.0","0.0","0.11538461538461539","0.0","3.0","0.0","0.0","0.11538461538461539","0.0","3.0","0.0","0.0","0.11538461538461539","0.0","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","0.0","0.0","0.11538461538461539","0.0","3.0","0.0","0.0","0.11538461538461539","0.0","5.0","0.0","0.0","0.19230769230769232","0.0","0.0","25.0","0.0","0.0","0.9615384615384616","1.0","21.0","21.0","0.038461538461538464","0.8076923076923077","3.0","0.0","0.0","0.11538461538461539","0.0","3.0","0.0","0.0","0.11538461538461539","0.0","3.0","0.0","0.0","0.11538461538461539","0.0","2.0","0.0","0.0","0.07692307692307693","0.0","2.0","0.0","0.0","0.07692307692307693","0.0","3.0","0.0","0.0","0.11538461538461539","0.0","2.0","0.0","0.0","0.07692307692307693","0.0"
