"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.3222222","0.6555556","0.2","1.8","3.0","0","0.0","0","1.0","0","2.0","0.1704545","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","0.0","0","1.0","0","2.0","0","3.0","0","0.0","0","1.0","0","8.0","0.03285871","0.0","0","4.0","0","1.0","0","2.0","0"
"11","0.3222222","0.6555556","0.2","1.8","3.0","0","0.0","0","1.0","0","2.0","0.1715686","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","0.0","0","1.0","0","2.0","0","3.0","0","0.0","0","1.0","0","8.0","0.03205128","0.0","0","4.0","0","1.0","0","2.0","0"
"12","0.3222222","0.6555556","0.2","1.8","3.0","0","0.0","0","1.0","0","2.0","0.1709402","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","0.0","0","1.0","0","2.0","0","3.0","0","0.0","0","1.0","0","8.0","0.03108003","0.0","0","4.0","0","1.0","0","2.0","0"
"13","0.3222222","0.6555556","0.2","1.8","3.0","0","0.0","0","1.0","0","2.0","0.1691729","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","0.0","0","1.0","0","2.0","0","3.0","0","0.0","0","1.0","0","8.0","0.03004005","0.0","0","4.0","0","1.0","0","2.0","0"
"14","0.3222222","0.6555556","0.2","1.8","3.0","0","0.0","0","1.0","0","2.0","0.1666667","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","0.0","0","1.0","0","2.0","0","3.0","0","0.0","0","1.0","0","8.0","0.02898551","0.0","0","4.0","0","1.0","0","2.0","0"
"15","0.3222222","0.6555556","0.2","1.8","3.0","0","0.0","0","1.0","0","2.0","0.1636905","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","0.0","0","1.0","0","2.0","0","3.0","0","0.0","0","1.0","0","8.0","0.02794715","0.0","0","4.0","0","1.0","0","2.0","0"
"16","0.3222222","0.6555556","0.2","1.8","3.0","0","0.0","0","1.0","0","2.0","0.1604278","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","0.0","0","1.0","0","2.0","0","3.0","0","0.0","0","1.0","0","8.0","0.02694207","0.0","0","4.0","0","1.0","0","2.0","0"
"17","0.3222222","0.6555556","0.2","1.8","3.0","0","0.0","0","1.0","0","2.0","0.1570048","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","0.0","0","1.0","0","2.0","0","3.0","0","0.0","0","1.0","0","8.0","0.02597922","0.0","0","4.0","0","1.0","0","2.0","0"
"18","0.3222222","0.6555556","0.2","1.8","3.0","0","0.0","0","1.0","0","2.0","0.1535088","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","0.0","0","1.0","0","2.0","0","3.0","0","0.0","0","1.0","0","8.0","0.02506266","0.0","0","4.0","0","1.0","0","2.0","0"
"19","0.3222222","0.6555556","0.2","1.8","3.0","0","0.0","0","1.0","0","2.0","0.15","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","0.0","0","1.0","0","2.0","0","3.0","0","0.0","0","1.0","0","8.0","0.02419355","0.0","0","4.0","0","1.0","0","2.0","0"
"20","0.3222222","0.6555556","0.2","1.8","3.0","0","0.0","0","1.0","0","2.0","0.1465201","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","0.0","0","1.0","0","2.0","0","3.0","0","0.0","0","1.0","0","8.0","0.02337131","0.0","0","4.0","0","1.0","0","2.0","0"
