"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","BA7-ADS","BA7-AIS","BA7-ACS","BA7-RCS","BA7-RIS","BA8-ADS","BA8-AIS","BA8-ACS","BA8-RCS","BA8-RIS","BA9-ADS","BA9-AIS","BA9-ACS","BA9-RCS","BA9-RIS","BA10-ADS","BA10-AIS","BA10-ACS","BA10-RCS","BA10-RIS","BA11-ADS","BA11-AIS","BA11-ACS","BA11-RCS","BA11-RIS","BA12-ADS","BA12-AIS","BA12-ACS","BA12-RCS","BA12-RIS","BA13-ADS","BA13-AIS","BA13-ACS","BA13-RCS","BA13-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS"
"11","2.0","4.0","8.0","0.11764705882352941","0.23529411764705882","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","4.0","8.0","0.11764705882352941","0.23529411764705882","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","0.0","0.0","0.11764705882352941","0.0","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","8.0","0.0","0.0","0.47058823529411764","0.0","0.0","15.0","0.0","0.0","0.8823529411764706","1.0","4.0","4.0","0.058823529411764705","0.23529411764705882"
"12","2.0","4.0","8.0","0.11764705882352941","0.23529411764705882","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","4.0","8.0","0.11764705882352941","0.23529411764705882","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","0.0","0.0","0.11764705882352941","0.0","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","8.0","0.0","0.0","0.47058823529411764","0.0","0.0","15.0","0.0","0.0","0.8823529411764706","1.0","4.0","4.0","0.058823529411764705","0.23529411764705882"
"13","2.0","4.0","8.0","0.11764705882352941","0.23529411764705882","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","4.0","8.0","0.11764705882352941","0.23529411764705882","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","0.0","0.0","0.11764705882352941","0.0","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","8.0","0.0","0.0","0.47058823529411764","0.0","0.0","15.0","0.0","0.0","0.8823529411764706","1.0","4.0","4.0","0.058823529411764705","0.23529411764705882"
"14","2.0","4.0","8.0","0.11764705882352941","0.23529411764705882","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","4.0","8.0","0.11764705882352941","0.23529411764705882","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","0.0","0.0","0.11764705882352941","0.0","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","8.0","0.0","0.0","0.47058823529411764","0.0","0.0","15.0","0.0","0.0","0.8823529411764706","1.0","4.0","4.0","0.058823529411764705","0.23529411764705882"
"15","2.0","4.0","8.0","0.11764705882352941","0.23529411764705882","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","4.0","8.0","0.11764705882352941","0.23529411764705882","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","0.0","0.0","0.11764705882352941","0.0","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","8.0","0.0","0.0","0.47058823529411764","0.0","0.0","15.0","0.0","0.0","0.8823529411764706","1.0","4.0","4.0","0.058823529411764705","0.23529411764705882"
"16","2.0","4.0","8.0","0.11764705882352941","0.23529411764705882","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","4.0","8.0","0.11764705882352941","0.23529411764705882","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","0.0","0.0","0.11764705882352941","0.0","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","8.0","0.0","0.0","0.47058823529411764","0.0","0.0","15.0","0.0","0.0","0.8823529411764706","1.0","4.0","4.0","0.058823529411764705","0.23529411764705882"
"17","2.0","4.0","8.0","0.11764705882352941","0.23529411764705882","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","4.0","8.0","0.11764705882352941","0.23529411764705882","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","0.0","0.0","0.11764705882352941","0.0","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","8.0","0.0","0.0","0.47058823529411764","0.0","0.0","15.0","0.0","0.0","0.8823529411764706","1.0","4.0","4.0","0.058823529411764705","0.23529411764705882"
"18","2.0","4.0","8.0","0.11764705882352941","0.23529411764705882","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","4.0","8.0","0.11764705882352941","0.23529411764705882","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","0.0","0.0","0.11764705882352941","0.0","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","8.0","0.0","0.0","0.47058823529411764","0.0","0.0","15.0","0.0","0.0","0.8823529411764706","1.0","4.0","4.0","0.058823529411764705","0.23529411764705882"
"19","2.0","4.0","8.0","0.11764705882352941","0.23529411764705882","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","4.0","8.0","0.11764705882352941","0.23529411764705882","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","0.0","0.0","0.11764705882352941","0.0","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","8.0","0.0","0.0","0.47058823529411764","0.0","0.0","15.0","0.0","0.0","0.8823529411764706","1.0","4.0","4.0","0.058823529411764705","0.23529411764705882"
"20","2.0","4.0","8.0","0.11764705882352941","0.23529411764705882","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","4.0","8.0","0.11764705882352941","0.23529411764705882","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","0.0","0.0","0.11764705882352941","0.0","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","8.0","0.0","0.0","0.47058823529411764","0.0","0.0","15.0","0.0","0.0","0.8823529411764706","1.0","4.0","4.0","0.058823529411764705","0.23529411764705882"
"21","2.0","4.0","8.0","0.11764705882352941","0.23529411764705882","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","4.0","8.0","0.11764705882352941","0.23529411764705882","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","0.0","0.0","0.11764705882352941","0.0","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","8.0","0.0","0.0","0.47058823529411764","0.0","0.0","15.0","0.0","0.0","0.8823529411764706","1.0","4.0","4.0","0.058823529411764705","0.23529411764705882"
