"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","RD12-ADS","RD12-AIS","RD12-ACS","RD12-RCS","RD12-RIS","RD13-ADS","RD13-AIS","RD13-ACS","RD13-RCS","RD13-RIS","RD14-ADS","RD14-AIS","RD14-ACS","RD14-RCS","RD14-RIS","RD15-ADS","RD15-AIS","RD15-ACS","RD15-RCS","RD15-RIS","RD16-ADS","RD16-AIS","RD16-ACS","RD16-RCS","RD16-RIS","RD17-ADS","RD17-AIS","RD17-ACS","RD17-RCS","RD17-RIS","RD18-ADS","RD18-AIS","RD18-ACS","RD18-RCS","RD18-RIS","RD19-ADS","RD19-AIS","RD19-ACS","RD19-RCS","RD19-RIS","RD20-ADS","RD20-AIS","RD20-ACS","RD20-RCS","RD20-RIS","RD21-ADS","RD21-AIS","RD21-ACS","RD21-RCS","RD21-RIS","RD22-ADS","RD22-AIS","RD22-ACS","RD22-RCS","RD22-RIS","RD23-ADS","RD23-AIS","RD23-ACS","RD23-RCS","RD23-RIS","RD24-ADS","RD24-AIS","RD24-ACS","RD24-RCS","RD24-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS"
"11","3.0","7.0","21.0","0.10344827586206896","0.2413793103448276","4.0","5.0","20.0","0.13793103448275862","0.1724137931034483","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","7.0","1.0","7.0","0.2413793103448276","0.034482758620689655","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","4.0","3.0","12.0","0.13793103448275862","0.10344827586206896","9.0","3.0","27.0","0.3103448275862069","0.10344827586206896","3.0","3.0","9.0","0.10344827586206896","0.10344827586206896","7.0","2.0","14.0","0.2413793103448276","0.06896551724137931","3.0","3.0","9.0","0.10344827586206896","0.10344827586206896","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","5.0","4.0","20.0","0.1724137931034483","0.13793103448275862","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","7.0","3.0","21.0","0.2413793103448276","0.10344827586206896","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","6.0","1.0","6.0","0.20689655172413793","0.034482758620689655","8.0","2.0","16.0","0.27586206896551724","0.06896551724137931","5.0","2.0","10.0","0.1724137931034483","0.06896551724137931","4.0","0.0","0.0","0.13793103448275862","0.0","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","4.0","3.0","12.0","0.13793103448275862","0.10344827586206896","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","3.0","0.0","0.0","0.10344827586206896","0.0","1.0","26.0","26.0","0.034482758620689655","0.896551724137931","1.0","12.0","12.0","0.034482758620689655","0.41379310344827586","1.0","27.0","27.0","0.034482758620689655","0.9310344827586207","3.0","7.0","21.0","0.10344827586206896","0.2413793103448276"
"12","3.0","7.0","21.0","0.10344827586206896","0.2413793103448276","4.0","5.0","20.0","0.13793103448275862","0.1724137931034483","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","7.0","1.0","7.0","0.2413793103448276","0.034482758620689655","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","4.0","3.0","12.0","0.13793103448275862","0.10344827586206896","9.0","3.0","27.0","0.3103448275862069","0.10344827586206896","3.0","3.0","9.0","0.10344827586206896","0.10344827586206896","7.0","2.0","14.0","0.2413793103448276","0.06896551724137931","3.0","3.0","9.0","0.10344827586206896","0.10344827586206896","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","5.0","4.0","20.0","0.1724137931034483","0.13793103448275862","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","7.0","3.0","21.0","0.2413793103448276","0.10344827586206896","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","6.0","1.0","6.0","0.20689655172413793","0.034482758620689655","8.0","2.0","16.0","0.27586206896551724","0.06896551724137931","5.0","2.0","10.0","0.1724137931034483","0.06896551724137931","4.0","0.0","0.0","0.13793103448275862","0.0","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","4.0","3.0","12.0","0.13793103448275862","0.10344827586206896","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","3.0","0.0","0.0","0.10344827586206896","0.0","1.0","26.0","26.0","0.034482758620689655","0.896551724137931","1.0","12.0","12.0","0.034482758620689655","0.41379310344827586","1.0","27.0","27.0","0.034482758620689655","0.9310344827586207","3.0","7.0","21.0","0.10344827586206896","0.2413793103448276"
"13","3.0","7.0","21.0","0.10344827586206896","0.2413793103448276","4.0","5.0","20.0","0.13793103448275862","0.1724137931034483","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","7.0","1.0","7.0","0.2413793103448276","0.034482758620689655","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","4.0","3.0","12.0","0.13793103448275862","0.10344827586206896","9.0","3.0","27.0","0.3103448275862069","0.10344827586206896","3.0","3.0","9.0","0.10344827586206896","0.10344827586206896","7.0","2.0","14.0","0.2413793103448276","0.06896551724137931","3.0","3.0","9.0","0.10344827586206896","0.10344827586206896","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","5.0","4.0","20.0","0.1724137931034483","0.13793103448275862","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","7.0","3.0","21.0","0.2413793103448276","0.10344827586206896","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","6.0","1.0","6.0","0.20689655172413793","0.034482758620689655","8.0","2.0","16.0","0.27586206896551724","0.06896551724137931","5.0","2.0","10.0","0.1724137931034483","0.06896551724137931","4.0","0.0","0.0","0.13793103448275862","0.0","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","4.0","3.0","12.0","0.13793103448275862","0.10344827586206896","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","3.0","0.0","0.0","0.10344827586206896","0.0","1.0","26.0","26.0","0.034482758620689655","0.896551724137931","1.0","12.0","12.0","0.034482758620689655","0.41379310344827586","1.0","27.0","27.0","0.034482758620689655","0.9310344827586207","3.0","7.0","21.0","0.10344827586206896","0.2413793103448276"
"14","3.0","7.0","21.0","0.10344827586206896","0.2413793103448276","4.0","5.0","20.0","0.13793103448275862","0.1724137931034483","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","7.0","1.0","7.0","0.2413793103448276","0.034482758620689655","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","4.0","3.0","12.0","0.13793103448275862","0.10344827586206896","9.0","3.0","27.0","0.3103448275862069","0.10344827586206896","3.0","3.0","9.0","0.10344827586206896","0.10344827586206896","7.0","2.0","14.0","0.2413793103448276","0.06896551724137931","3.0","3.0","9.0","0.10344827586206896","0.10344827586206896","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","5.0","4.0","20.0","0.1724137931034483","0.13793103448275862","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","7.0","3.0","21.0","0.2413793103448276","0.10344827586206896","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","6.0","1.0","6.0","0.20689655172413793","0.034482758620689655","8.0","2.0","16.0","0.27586206896551724","0.06896551724137931","5.0","2.0","10.0","0.1724137931034483","0.06896551724137931","4.0","0.0","0.0","0.13793103448275862","0.0","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","4.0","3.0","12.0","0.13793103448275862","0.10344827586206896","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","3.0","0.0","0.0","0.10344827586206896","0.0","1.0","26.0","26.0","0.034482758620689655","0.896551724137931","1.0","12.0","12.0","0.034482758620689655","0.41379310344827586","1.0","27.0","27.0","0.034482758620689655","0.9310344827586207","3.0","7.0","21.0","0.10344827586206896","0.2413793103448276"
"15","3.0","7.0","21.0","0.10344827586206896","0.2413793103448276","4.0","5.0","20.0","0.13793103448275862","0.1724137931034483","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","7.0","1.0","7.0","0.2413793103448276","0.034482758620689655","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","4.0","3.0","12.0","0.13793103448275862","0.10344827586206896","9.0","3.0","27.0","0.3103448275862069","0.10344827586206896","3.0","3.0","9.0","0.10344827586206896","0.10344827586206896","7.0","2.0","14.0","0.2413793103448276","0.06896551724137931","3.0","3.0","9.0","0.10344827586206896","0.10344827586206896","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","5.0","4.0","20.0","0.1724137931034483","0.13793103448275862","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","7.0","3.0","21.0","0.2413793103448276","0.10344827586206896","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","6.0","1.0","6.0","0.20689655172413793","0.034482758620689655","8.0","2.0","16.0","0.27586206896551724","0.06896551724137931","5.0","2.0","10.0","0.1724137931034483","0.06896551724137931","4.0","0.0","0.0","0.13793103448275862","0.0","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","4.0","3.0","12.0","0.13793103448275862","0.10344827586206896","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","3.0","0.0","0.0","0.10344827586206896","0.0","1.0","26.0","26.0","0.034482758620689655","0.896551724137931","1.0","12.0","12.0","0.034482758620689655","0.41379310344827586","1.0","27.0","27.0","0.034482758620689655","0.9310344827586207","3.0","7.0","21.0","0.10344827586206896","0.2413793103448276"
"16","3.0","7.0","21.0","0.10344827586206896","0.2413793103448276","4.0","5.0","20.0","0.13793103448275862","0.1724137931034483","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","7.0","1.0","7.0","0.2413793103448276","0.034482758620689655","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","4.0","3.0","12.0","0.13793103448275862","0.10344827586206896","9.0","3.0","27.0","0.3103448275862069","0.10344827586206896","3.0","3.0","9.0","0.10344827586206896","0.10344827586206896","7.0","2.0","14.0","0.2413793103448276","0.06896551724137931","3.0","3.0","9.0","0.10344827586206896","0.10344827586206896","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","5.0","4.0","20.0","0.1724137931034483","0.13793103448275862","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","7.0","3.0","21.0","0.2413793103448276","0.10344827586206896","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","6.0","1.0","6.0","0.20689655172413793","0.034482758620689655","8.0","2.0","16.0","0.27586206896551724","0.06896551724137931","5.0","2.0","10.0","0.1724137931034483","0.06896551724137931","4.0","0.0","0.0","0.13793103448275862","0.0","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","4.0","3.0","12.0","0.13793103448275862","0.10344827586206896","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","3.0","0.0","0.0","0.10344827586206896","0.0","1.0","26.0","26.0","0.034482758620689655","0.896551724137931","1.0","12.0","12.0","0.034482758620689655","0.41379310344827586","1.0","27.0","27.0","0.034482758620689655","0.9310344827586207","3.0","7.0","21.0","0.10344827586206896","0.2413793103448276"
"17","3.0","7.0","21.0","0.10344827586206896","0.2413793103448276","4.0","5.0","20.0","0.13793103448275862","0.1724137931034483","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","7.0","1.0","7.0","0.2413793103448276","0.034482758620689655","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","4.0","3.0","12.0","0.13793103448275862","0.10344827586206896","9.0","3.0","27.0","0.3103448275862069","0.10344827586206896","3.0","3.0","9.0","0.10344827586206896","0.10344827586206896","7.0","2.0","14.0","0.2413793103448276","0.06896551724137931","3.0","3.0","9.0","0.10344827586206896","0.10344827586206896","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","5.0","4.0","20.0","0.1724137931034483","0.13793103448275862","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","7.0","3.0","21.0","0.2413793103448276","0.10344827586206896","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","6.0","1.0","6.0","0.20689655172413793","0.034482758620689655","8.0","2.0","16.0","0.27586206896551724","0.06896551724137931","5.0","2.0","10.0","0.1724137931034483","0.06896551724137931","4.0","0.0","0.0","0.13793103448275862","0.0","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","4.0","3.0","12.0","0.13793103448275862","0.10344827586206896","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","3.0","0.0","0.0","0.10344827586206896","0.0","1.0","26.0","26.0","0.034482758620689655","0.896551724137931","1.0","12.0","12.0","0.034482758620689655","0.41379310344827586","1.0","27.0","27.0","0.034482758620689655","0.9310344827586207","3.0","7.0","21.0","0.10344827586206896","0.2413793103448276"
"18","3.0","7.0","21.0","0.10344827586206896","0.2413793103448276","4.0","5.0","20.0","0.13793103448275862","0.1724137931034483","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","7.0","1.0","7.0","0.2413793103448276","0.034482758620689655","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","4.0","3.0","12.0","0.13793103448275862","0.10344827586206896","9.0","3.0","27.0","0.3103448275862069","0.10344827586206896","3.0","3.0","9.0","0.10344827586206896","0.10344827586206896","7.0","2.0","14.0","0.2413793103448276","0.06896551724137931","3.0","3.0","9.0","0.10344827586206896","0.10344827586206896","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","5.0","4.0","20.0","0.1724137931034483","0.13793103448275862","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","7.0","3.0","21.0","0.2413793103448276","0.10344827586206896","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","6.0","1.0","6.0","0.20689655172413793","0.034482758620689655","8.0","2.0","16.0","0.27586206896551724","0.06896551724137931","5.0","2.0","10.0","0.1724137931034483","0.06896551724137931","4.0","0.0","0.0","0.13793103448275862","0.0","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","4.0","3.0","12.0","0.13793103448275862","0.10344827586206896","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","3.0","0.0","0.0","0.10344827586206896","0.0","1.0","26.0","26.0","0.034482758620689655","0.896551724137931","1.0","12.0","12.0","0.034482758620689655","0.41379310344827586","1.0","27.0","27.0","0.034482758620689655","0.9310344827586207","3.0","7.0","21.0","0.10344827586206896","0.2413793103448276"
"19","3.0","7.0","21.0","0.10344827586206896","0.2413793103448276","4.0","5.0","20.0","0.13793103448275862","0.1724137931034483","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","7.0","1.0","7.0","0.2413793103448276","0.034482758620689655","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","4.0","3.0","12.0","0.13793103448275862","0.10344827586206896","9.0","3.0","27.0","0.3103448275862069","0.10344827586206896","3.0","3.0","9.0","0.10344827586206896","0.10344827586206896","7.0","2.0","14.0","0.2413793103448276","0.06896551724137931","3.0","3.0","9.0","0.10344827586206896","0.10344827586206896","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","5.0","4.0","20.0","0.1724137931034483","0.13793103448275862","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","7.0","3.0","21.0","0.2413793103448276","0.10344827586206896","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","6.0","1.0","6.0","0.20689655172413793","0.034482758620689655","8.0","2.0","16.0","0.27586206896551724","0.06896551724137931","5.0","2.0","10.0","0.1724137931034483","0.06896551724137931","4.0","0.0","0.0","0.13793103448275862","0.0","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","4.0","3.0","12.0","0.13793103448275862","0.10344827586206896","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","3.0","0.0","0.0","0.10344827586206896","0.0","1.0","26.0","26.0","0.034482758620689655","0.896551724137931","1.0","12.0","12.0","0.034482758620689655","0.41379310344827586","1.0","27.0","27.0","0.034482758620689655","0.9310344827586207","3.0","7.0","21.0","0.10344827586206896","0.2413793103448276"
"20","3.0","7.0","21.0","0.10344827586206896","0.2413793103448276","4.0","5.0","20.0","0.13793103448275862","0.1724137931034483","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","7.0","1.0","7.0","0.2413793103448276","0.034482758620689655","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","4.0","3.0","12.0","0.13793103448275862","0.10344827586206896","9.0","3.0","27.0","0.3103448275862069","0.10344827586206896","3.0","3.0","9.0","0.10344827586206896","0.10344827586206896","7.0","2.0","14.0","0.2413793103448276","0.06896551724137931","3.0","3.0","9.0","0.10344827586206896","0.10344827586206896","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","5.0","4.0","20.0","0.1724137931034483","0.13793103448275862","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","7.0","3.0","21.0","0.2413793103448276","0.10344827586206896","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","6.0","1.0","6.0","0.20689655172413793","0.034482758620689655","8.0","2.0","16.0","0.27586206896551724","0.06896551724137931","5.0","2.0","10.0","0.1724137931034483","0.06896551724137931","4.0","0.0","0.0","0.13793103448275862","0.0","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","4.0","3.0","12.0","0.13793103448275862","0.10344827586206896","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","3.0","0.0","0.0","0.10344827586206896","0.0","1.0","26.0","26.0","0.034482758620689655","0.896551724137931","1.0","12.0","12.0","0.034482758620689655","0.41379310344827586","1.0","27.0","27.0","0.034482758620689655","0.9310344827586207","3.0","7.0","21.0","0.10344827586206896","0.2413793103448276"
"21","3.0","7.0","21.0","0.10344827586206896","0.2413793103448276","4.0","5.0","20.0","0.13793103448275862","0.1724137931034483","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","7.0","1.0","7.0","0.2413793103448276","0.034482758620689655","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","4.0","3.0","12.0","0.13793103448275862","0.10344827586206896","9.0","3.0","27.0","0.3103448275862069","0.10344827586206896","3.0","3.0","9.0","0.10344827586206896","0.10344827586206896","7.0","2.0","14.0","0.2413793103448276","0.06896551724137931","3.0","3.0","9.0","0.10344827586206896","0.10344827586206896","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","5.0","4.0","20.0","0.1724137931034483","0.13793103448275862","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","7.0","3.0","21.0","0.2413793103448276","0.10344827586206896","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","6.0","1.0","6.0","0.20689655172413793","0.034482758620689655","8.0","2.0","16.0","0.27586206896551724","0.06896551724137931","5.0","2.0","10.0","0.1724137931034483","0.06896551724137931","4.0","0.0","0.0","0.13793103448275862","0.0","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","4.0","3.0","12.0","0.13793103448275862","0.10344827586206896","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","3.0","0.0","0.0","0.10344827586206896","0.0","1.0","26.0","26.0","0.034482758620689655","0.896551724137931","1.0","12.0","12.0","0.034482758620689655","0.41379310344827586","1.0","27.0","27.0","0.034482758620689655","0.9310344827586207","3.0","7.0","21.0","0.10344827586206896","0.2413793103448276"
