"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","BA7-ADS","BA7-AIS","BA7-ACS","BA7-RCS","BA7-RIS","BA8-ADS","BA8-AIS","BA8-ACS","BA8-RCS","BA8-RIS","BA9-ADS","BA9-AIS","BA9-ACS","BA9-RCS","BA9-RIS","BA10-ADS","BA10-AIS","BA10-ACS","BA10-RCS","BA10-RIS","BA11-ADS","BA11-AIS","BA11-ACS","BA11-RCS","BA11-RIS","BA12-ADS","BA12-AIS","BA12-ACS","BA12-RCS","BA12-RIS","BA13-ADS","BA13-AIS","BA13-ACS","BA13-RCS","BA13-RIS","BA14-ADS","BA14-AIS","BA14-ACS","BA14-RCS","BA14-RIS","BA15-ADS","BA15-AIS","BA15-ACS","BA15-RCS","BA15-RIS","BA16-ADS","BA16-AIS","BA16-ACS","BA16-RCS","BA16-RIS","BA17-ADS","BA17-AIS","BA17-ACS","BA17-RCS","BA17-RIS","BA18-ADS","BA18-AIS","BA18-ACS","BA18-RCS","BA18-RIS","BA19-ADS","BA19-AIS","BA19-ACS","BA19-RCS","BA19-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS"
"11","2.0","3.0","6.0","0.08695652173913043","0.13043478260869565","1.0","6.0","6.0","0.043478260869565216","0.2608695652173913","9.0","1.0","9.0","0.391304347826087","0.043478260869565216","3.0","0.0","0.0","0.13043478260869565","0.0","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","1.0","2.0","2.0","0.043478260869565216","0.08695652173913043","1.0","2.0","2.0","0.043478260869565216","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","0.0","0.0","0.08695652173913043","0.0","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","0.0","0.0","0.08695652173913043","0.0","1.0","2.0","2.0","0.043478260869565216","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","5.0","1.0","5.0","0.21739130434782608","0.043478260869565216","9.0","0.0","0.0","0.391304347826087","0.0","1.0","20.0","20.0","0.043478260869565216","0.8695652173913043","0.0","8.0","0.0","0.0","0.34782608695652173"
"12","2.0","3.0","6.0","0.08695652173913043","0.13043478260869565","1.0","6.0","6.0","0.043478260869565216","0.2608695652173913","9.0","1.0","9.0","0.391304347826087","0.043478260869565216","3.0","0.0","0.0","0.13043478260869565","0.0","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","1.0","2.0","2.0","0.043478260869565216","0.08695652173913043","1.0","2.0","2.0","0.043478260869565216","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","0.0","0.0","0.08695652173913043","0.0","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","0.0","0.0","0.08695652173913043","0.0","1.0","2.0","2.0","0.043478260869565216","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","5.0","1.0","5.0","0.21739130434782608","0.043478260869565216","9.0","0.0","0.0","0.391304347826087","0.0","1.0","20.0","20.0","0.043478260869565216","0.8695652173913043","0.0","8.0","0.0","0.0","0.34782608695652173"
"13","2.0","3.0","6.0","0.08695652173913043","0.13043478260869565","1.0","6.0","6.0","0.043478260869565216","0.2608695652173913","9.0","1.0","9.0","0.391304347826087","0.043478260869565216","3.0","0.0","0.0","0.13043478260869565","0.0","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","1.0","2.0","2.0","0.043478260869565216","0.08695652173913043","1.0","2.0","2.0","0.043478260869565216","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","0.0","0.0","0.08695652173913043","0.0","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","0.0","0.0","0.08695652173913043","0.0","1.0","2.0","2.0","0.043478260869565216","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","5.0","1.0","5.0","0.21739130434782608","0.043478260869565216","9.0","0.0","0.0","0.391304347826087","0.0","1.0","20.0","20.0","0.043478260869565216","0.8695652173913043","0.0","8.0","0.0","0.0","0.34782608695652173"
"14","2.0","3.0","6.0","0.08695652173913043","0.13043478260869565","1.0","6.0","6.0","0.043478260869565216","0.2608695652173913","9.0","1.0","9.0","0.391304347826087","0.043478260869565216","3.0","0.0","0.0","0.13043478260869565","0.0","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","1.0","2.0","2.0","0.043478260869565216","0.08695652173913043","1.0","2.0","2.0","0.043478260869565216","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","0.0","0.0","0.08695652173913043","0.0","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","0.0","0.0","0.08695652173913043","0.0","1.0","2.0","2.0","0.043478260869565216","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","5.0","1.0","5.0","0.21739130434782608","0.043478260869565216","9.0","0.0","0.0","0.391304347826087","0.0","1.0","20.0","20.0","0.043478260869565216","0.8695652173913043","0.0","8.0","0.0","0.0","0.34782608695652173"
"15","2.0","3.0","6.0","0.08695652173913043","0.13043478260869565","1.0","6.0","6.0","0.043478260869565216","0.2608695652173913","9.0","1.0","9.0","0.391304347826087","0.043478260869565216","3.0","0.0","0.0","0.13043478260869565","0.0","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","1.0","2.0","2.0","0.043478260869565216","0.08695652173913043","1.0","2.0","2.0","0.043478260869565216","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","0.0","0.0","0.08695652173913043","0.0","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","0.0","0.0","0.08695652173913043","0.0","1.0","2.0","2.0","0.043478260869565216","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","5.0","1.0","5.0","0.21739130434782608","0.043478260869565216","9.0","0.0","0.0","0.391304347826087","0.0","1.0","20.0","20.0","0.043478260869565216","0.8695652173913043","0.0","8.0","0.0","0.0","0.34782608695652173"
"16","2.0","3.0","6.0","0.08695652173913043","0.13043478260869565","1.0","6.0","6.0","0.043478260869565216","0.2608695652173913","9.0","1.0","9.0","0.391304347826087","0.043478260869565216","3.0","0.0","0.0","0.13043478260869565","0.0","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","1.0","2.0","2.0","0.043478260869565216","0.08695652173913043","1.0","2.0","2.0","0.043478260869565216","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","0.0","0.0","0.08695652173913043","0.0","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","0.0","0.0","0.08695652173913043","0.0","1.0","2.0","2.0","0.043478260869565216","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","5.0","1.0","5.0","0.21739130434782608","0.043478260869565216","9.0","0.0","0.0","0.391304347826087","0.0","1.0","20.0","20.0","0.043478260869565216","0.8695652173913043","0.0","8.0","0.0","0.0","0.34782608695652173"
"17","2.0","3.0","6.0","0.08695652173913043","0.13043478260869565","1.0","6.0","6.0","0.043478260869565216","0.2608695652173913","9.0","1.0","9.0","0.391304347826087","0.043478260869565216","3.0","0.0","0.0","0.13043478260869565","0.0","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","1.0","2.0","2.0","0.043478260869565216","0.08695652173913043","1.0","2.0","2.0","0.043478260869565216","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","0.0","0.0","0.08695652173913043","0.0","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","0.0","0.0","0.08695652173913043","0.0","1.0","2.0","2.0","0.043478260869565216","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","5.0","1.0","5.0","0.21739130434782608","0.043478260869565216","9.0","0.0","0.0","0.391304347826087","0.0","1.0","20.0","20.0","0.043478260869565216","0.8695652173913043","0.0","8.0","0.0","0.0","0.34782608695652173"
"18","2.0","3.0","6.0","0.08695652173913043","0.13043478260869565","1.0","6.0","6.0","0.043478260869565216","0.2608695652173913","9.0","1.0","9.0","0.391304347826087","0.043478260869565216","3.0","0.0","0.0","0.13043478260869565","0.0","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","1.0","2.0","2.0","0.043478260869565216","0.08695652173913043","1.0","2.0","2.0","0.043478260869565216","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","0.0","0.0","0.08695652173913043","0.0","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","0.0","0.0","0.08695652173913043","0.0","1.0","2.0","2.0","0.043478260869565216","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","5.0","1.0","5.0","0.21739130434782608","0.043478260869565216","9.0","0.0","0.0","0.391304347826087","0.0","1.0","20.0","20.0","0.043478260869565216","0.8695652173913043","0.0","8.0","0.0","0.0","0.34782608695652173"
"19","2.0","3.0","6.0","0.08695652173913043","0.13043478260869565","1.0","6.0","6.0","0.043478260869565216","0.2608695652173913","9.0","1.0","9.0","0.391304347826087","0.043478260869565216","3.0","0.0","0.0","0.13043478260869565","0.0","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","1.0","2.0","2.0","0.043478260869565216","0.08695652173913043","1.0","2.0","2.0","0.043478260869565216","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","0.0","0.0","0.08695652173913043","0.0","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","0.0","0.0","0.08695652173913043","0.0","1.0","2.0","2.0","0.043478260869565216","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","5.0","1.0","5.0","0.21739130434782608","0.043478260869565216","9.0","0.0","0.0","0.391304347826087","0.0","1.0","20.0","20.0","0.043478260869565216","0.8695652173913043","0.0","8.0","0.0","0.0","0.34782608695652173"
"20","2.0","3.0","6.0","0.08695652173913043","0.13043478260869565","1.0","6.0","6.0","0.043478260869565216","0.2608695652173913","9.0","1.0","9.0","0.391304347826087","0.043478260869565216","3.0","0.0","0.0","0.13043478260869565","0.0","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","1.0","2.0","2.0","0.043478260869565216","0.08695652173913043","1.0","2.0","2.0","0.043478260869565216","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","0.0","0.0","0.08695652173913043","0.0","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","0.0","0.0","0.08695652173913043","0.0","1.0","2.0","2.0","0.043478260869565216","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","5.0","1.0","5.0","0.21739130434782608","0.043478260869565216","9.0","0.0","0.0","0.391304347826087","0.0","1.0","20.0","20.0","0.043478260869565216","0.8695652173913043","0.0","8.0","0.0","0.0","0.34782608695652173"
"21","2.0","3.0","6.0","0.08695652173913043","0.13043478260869565","1.0","6.0","6.0","0.043478260869565216","0.2608695652173913","9.0","1.0","9.0","0.391304347826087","0.043478260869565216","3.0","0.0","0.0","0.13043478260869565","0.0","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","1.0","2.0","2.0","0.043478260869565216","0.08695652173913043","1.0","2.0","2.0","0.043478260869565216","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","0.0","0.0","0.08695652173913043","0.0","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","0.0","0.0","0.08695652173913043","0.0","1.0","2.0","2.0","0.043478260869565216","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","5.0","1.0","5.0","0.21739130434782608","0.043478260869565216","9.0","0.0","0.0","0.391304347826087","0.0","1.0","20.0","20.0","0.043478260869565216","0.8695652173913043","0.0","8.0","0.0","0.0","0.34782608695652173"
