"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS"
"11","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","2.0","5.0","10.0","0.125","0.3125","4.0","1.0","4.0","0.25","0.0625","3.0","1.0","3.0","0.1875","0.0625","4.0","2.0","8.0","0.25","0.125","4.0","0.0","0.0","0.25","0.0","3.0","0.0","0.0","0.1875","0.0","4.0","1.0","4.0","0.25","0.0625","5.0","1.0","5.0","0.3125","0.0625","3.0","0.0","0.0","0.1875","0.0","1.0","7.0","7.0","0.0625","0.4375","7.0","6.0","42.0","0.4375","0.375","1.0","6.0","6.0","0.0625","0.375","1.0","12.0","12.0","0.0625","0.75","1.0","5.0","5.0","0.0625","0.3125"
"12","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","2.0","5.0","10.0","0.125","0.3125","4.0","1.0","4.0","0.25","0.0625","3.0","1.0","3.0","0.1875","0.0625","4.0","2.0","8.0","0.25","0.125","4.0","0.0","0.0","0.25","0.0","3.0","0.0","0.0","0.1875","0.0","4.0","1.0","4.0","0.25","0.0625","5.0","1.0","5.0","0.3125","0.0625","3.0","0.0","0.0","0.1875","0.0","1.0","7.0","7.0","0.0625","0.4375","7.0","6.0","42.0","0.4375","0.375","1.0","6.0","6.0","0.0625","0.375","1.0","12.0","12.0","0.0625","0.75","1.0","5.0","5.0","0.0625","0.3125"
"13","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","2.0","5.0","10.0","0.125","0.3125","4.0","1.0","4.0","0.25","0.0625","3.0","1.0","3.0","0.1875","0.0625","4.0","2.0","8.0","0.25","0.125","4.0","0.0","0.0","0.25","0.0","3.0","0.0","0.0","0.1875","0.0","4.0","1.0","4.0","0.25","0.0625","5.0","1.0","5.0","0.3125","0.0625","3.0","0.0","0.0","0.1875","0.0","1.0","7.0","7.0","0.0625","0.4375","7.0","6.0","42.0","0.4375","0.375","1.0","6.0","6.0","0.0625","0.375","1.0","12.0","12.0","0.0625","0.75","1.0","5.0","5.0","0.0625","0.3125"
"14","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","2.0","5.0","10.0","0.125","0.3125","4.0","1.0","4.0","0.25","0.0625","3.0","1.0","3.0","0.1875","0.0625","4.0","2.0","8.0","0.25","0.125","4.0","0.0","0.0","0.25","0.0","3.0","0.0","0.0","0.1875","0.0","4.0","1.0","4.0","0.25","0.0625","5.0","1.0","5.0","0.3125","0.0625","3.0","0.0","0.0","0.1875","0.0","1.0","7.0","7.0","0.0625","0.4375","7.0","6.0","42.0","0.4375","0.375","1.0","6.0","6.0","0.0625","0.375","1.0","12.0","12.0","0.0625","0.75","1.0","5.0","5.0","0.0625","0.3125"
"15","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","2.0","5.0","10.0","0.125","0.3125","4.0","1.0","4.0","0.25","0.0625","3.0","1.0","3.0","0.1875","0.0625","4.0","2.0","8.0","0.25","0.125","4.0","0.0","0.0","0.25","0.0","3.0","0.0","0.0","0.1875","0.0","4.0","1.0","4.0","0.25","0.0625","5.0","1.0","5.0","0.3125","0.0625","3.0","0.0","0.0","0.1875","0.0","1.0","7.0","7.0","0.0625","0.4375","7.0","6.0","42.0","0.4375","0.375","1.0","6.0","6.0","0.0625","0.375","1.0","12.0","12.0","0.0625","0.75","1.0","5.0","5.0","0.0625","0.3125"
"16","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","2.0","5.0","10.0","0.125","0.3125","4.0","1.0","4.0","0.25","0.0625","3.0","1.0","3.0","0.1875","0.0625","4.0","2.0","8.0","0.25","0.125","4.0","0.0","0.0","0.25","0.0","3.0","0.0","0.0","0.1875","0.0","4.0","1.0","4.0","0.25","0.0625","5.0","1.0","5.0","0.3125","0.0625","3.0","0.0","0.0","0.1875","0.0","1.0","7.0","7.0","0.0625","0.4375","7.0","6.0","42.0","0.4375","0.375","1.0","6.0","6.0","0.0625","0.375","1.0","12.0","12.0","0.0625","0.75","1.0","5.0","5.0","0.0625","0.3125"
"17","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","2.0","5.0","10.0","0.125","0.3125","4.0","1.0","4.0","0.25","0.0625","3.0","1.0","3.0","0.1875","0.0625","4.0","2.0","8.0","0.25","0.125","4.0","0.0","0.0","0.25","0.0","3.0","0.0","0.0","0.1875","0.0","4.0","1.0","4.0","0.25","0.0625","5.0","1.0","5.0","0.3125","0.0625","3.0","0.0","0.0","0.1875","0.0","1.0","7.0","7.0","0.0625","0.4375","7.0","6.0","42.0","0.4375","0.375","1.0","6.0","6.0","0.0625","0.375","1.0","12.0","12.0","0.0625","0.75","1.0","5.0","5.0","0.0625","0.3125"
"18","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","2.0","5.0","10.0","0.125","0.3125","4.0","1.0","4.0","0.25","0.0625","3.0","1.0","3.0","0.1875","0.0625","4.0","2.0","8.0","0.25","0.125","4.0","0.0","0.0","0.25","0.0","3.0","0.0","0.0","0.1875","0.0","4.0","1.0","4.0","0.25","0.0625","5.0","1.0","5.0","0.3125","0.0625","3.0","0.0","0.0","0.1875","0.0","1.0","7.0","7.0","0.0625","0.4375","7.0","6.0","42.0","0.4375","0.375","1.0","6.0","6.0","0.0625","0.375","1.0","12.0","12.0","0.0625","0.75","1.0","5.0","5.0","0.0625","0.3125"
"19","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","2.0","5.0","10.0","0.125","0.3125","4.0","1.0","4.0","0.25","0.0625","3.0","1.0","3.0","0.1875","0.0625","4.0","2.0","8.0","0.25","0.125","4.0","0.0","0.0","0.25","0.0","3.0","0.0","0.0","0.1875","0.0","4.0","1.0","4.0","0.25","0.0625","5.0","1.0","5.0","0.3125","0.0625","3.0","0.0","0.0","0.1875","0.0","1.0","7.0","7.0","0.0625","0.4375","7.0","6.0","42.0","0.4375","0.375","1.0","6.0","6.0","0.0625","0.375","1.0","12.0","12.0","0.0625","0.75","1.0","5.0","5.0","0.0625","0.3125"
"20","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","2.0","5.0","10.0","0.125","0.3125","4.0","1.0","4.0","0.25","0.0625","3.0","1.0","3.0","0.1875","0.0625","4.0","2.0","8.0","0.25","0.125","4.0","0.0","0.0","0.25","0.0","3.0","0.0","0.0","0.1875","0.0","4.0","1.0","4.0","0.25","0.0625","5.0","1.0","5.0","0.3125","0.0625","3.0","0.0","0.0","0.1875","0.0","1.0","7.0","7.0","0.0625","0.4375","7.0","6.0","42.0","0.4375","0.375","1.0","6.0","6.0","0.0625","0.375","1.0","12.0","12.0","0.0625","0.75","1.0","5.0","5.0","0.0625","0.3125"
"21","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","2.0","5.0","10.0","0.125","0.3125","4.0","1.0","4.0","0.25","0.0625","3.0","1.0","3.0","0.1875","0.0625","4.0","2.0","8.0","0.25","0.125","4.0","0.0","0.0","0.25","0.0","3.0","0.0","0.0","0.1875","0.0","4.0","1.0","4.0","0.25","0.0625","5.0","1.0","5.0","0.3125","0.0625","3.0","0.0","0.0","0.1875","0.0","1.0","7.0","7.0","0.0625","0.4375","7.0","6.0","42.0","0.4375","0.375","1.0","6.0","6.0","0.0625","0.375","1.0","12.0","12.0","0.0625","0.75","1.0","5.0","5.0","0.0625","0.3125"
