"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","RD12-ADS","RD12-AIS","RD12-ACS","RD12-RCS","RD12-RIS","RD13-ADS","RD13-AIS","RD13-ACS","RD13-RCS","RD13-RIS","RD14-ADS","RD14-AIS","RD14-ACS","RD14-RCS","RD14-RIS","RD15-ADS","RD15-AIS","RD15-ACS","RD15-RCS","RD15-RIS","RD16-ADS","RD16-AIS","RD16-ACS","RD16-RCS","RD16-RIS","RD17-ADS","RD17-AIS","RD17-ACS","RD17-RCS","RD17-RIS","RD18-ADS","RD18-AIS","RD18-ACS","RD18-RCS","RD18-RIS","RD19-ADS","RD19-AIS","RD19-ACS","RD19-RCS","RD19-RIS","RD20-ADS","RD20-AIS","RD20-ACS","RD20-RCS","RD20-RIS","RD21-ADS","RD21-AIS","RD21-ACS","RD21-RCS","RD21-RIS","RD22-ADS","RD22-AIS","RD22-ACS","RD22-RCS","RD22-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS","MSV7-ADS","MSV7-AIS","MSV7-ACS","MSV7-RCS","MSV7-RIS","MSV8-ADS","MSV8-AIS","MSV8-ACS","MSV8-RCS","MSV8-RIS","MSV9-ADS","MSV9-AIS","MSV9-ACS","MSV9-RCS","MSV9-RIS","MSV10-ADS","MSV10-AIS","MSV10-ACS","MSV10-RCS","MSV10-RIS","MSV11-ADS","MSV11-AIS","MSV11-ACS","MSV11-RCS","MSV11-RIS","MSV12-ADS","MSV12-AIS","MSV12-ACS","MSV12-RCS","MSV12-RIS","MSV13-ADS","MSV13-AIS","MSV13-ACS","MSV13-RCS","MSV13-RIS","MSV14-ADS","MSV14-AIS","MSV14-ACS","MSV14-RCS","MSV14-RIS","MSV15-ADS","MSV15-AIS","MSV15-ACS","MSV15-RCS","MSV15-RIS"
"11","5.0","3.0","15.0","0.16666666666666666","0.1","5.0","3.0","15.0","0.16666666666666666","0.1","5.0","1.0","5.0","0.16666666666666666","0.03333333333333333","3.0","2.0","6.0","0.1","0.06666666666666667","4.0","3.0","12.0","0.13333333333333333","0.1","4.0","4.0","16.0","0.13333333333333333","0.13333333333333333","3.0","2.0","6.0","0.1","0.06666666666666667","2.0","3.0","6.0","0.06666666666666667","0.1","4.0","2.0","8.0","0.13333333333333333","0.06666666666666667","4.0","3.0","12.0","0.13333333333333333","0.1","6.0","2.0","12.0","0.2","0.06666666666666667","3.0","2.0","6.0","0.1","0.06666666666666667","6.0","3.0","18.0","0.2","0.1","3.0","4.0","12.0","0.1","0.13333333333333333","4.0","1.0","4.0","0.13333333333333333","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","10.0","1.0","10.0","0.3333333333333333","0.03333333333333333","5.0","2.0","10.0","0.16666666666666666","0.06666666666666667","5.0","2.0","10.0","0.16666666666666666","0.06666666666666667","3.0","2.0","6.0","0.1","0.06666666666666667","4.0","4.0","16.0","0.13333333333333333","0.13333333333333333","2.0","0.0","0.0","0.06666666666666667","0.0","0.0","28.0","0.0","0.0","0.9333333333333333","1.0","25.0","25.0","0.03333333333333333","0.8333333333333334","3.0","0.0","0.0","0.1","0.0","1.0","1.0","1.0","0.03333333333333333","0.03333333333333333","3.0","0.0","0.0","0.1","0.0","1.0","1.0","1.0","0.03333333333333333","0.03333333333333333","3.0","0.0","0.0","0.1","0.0","1.0","1.0","1.0","0.03333333333333333","0.03333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","5.0","3.0","15.0","0.16666666666666666","0.1","5.0","3.0","15.0","0.16666666666666666","0.1","5.0","1.0","5.0","0.16666666666666666","0.03333333333333333","3.0","2.0","6.0","0.1","0.06666666666666667","4.0","3.0","12.0","0.13333333333333333","0.1","4.0","4.0","16.0","0.13333333333333333","0.13333333333333333","3.0","2.0","6.0","0.1","0.06666666666666667","2.0","3.0","6.0","0.06666666666666667","0.1","4.0","2.0","8.0","0.13333333333333333","0.06666666666666667","4.0","3.0","12.0","0.13333333333333333","0.1","6.0","2.0","12.0","0.2","0.06666666666666667","3.0","2.0","6.0","0.1","0.06666666666666667","6.0","3.0","18.0","0.2","0.1","3.0","4.0","12.0","0.1","0.13333333333333333","4.0","1.0","4.0","0.13333333333333333","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","10.0","1.0","10.0","0.3333333333333333","0.03333333333333333","5.0","2.0","10.0","0.16666666666666666","0.06666666666666667","5.0","2.0","10.0","0.16666666666666666","0.06666666666666667","3.0","2.0","6.0","0.1","0.06666666666666667","4.0","4.0","16.0","0.13333333333333333","0.13333333333333333","2.0","0.0","0.0","0.06666666666666667","0.0","0.0","28.0","0.0","0.0","0.9333333333333333","1.0","25.0","25.0","0.03333333333333333","0.8333333333333334","3.0","0.0","0.0","0.1","0.0","1.0","1.0","1.0","0.03333333333333333","0.03333333333333333","3.0","0.0","0.0","0.1","0.0","1.0","1.0","1.0","0.03333333333333333","0.03333333333333333","3.0","0.0","0.0","0.1","0.0","1.0","1.0","1.0","0.03333333333333333","0.03333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","5.0","3.0","15.0","0.16666666666666666","0.1","5.0","3.0","15.0","0.16666666666666666","0.1","5.0","1.0","5.0","0.16666666666666666","0.03333333333333333","3.0","2.0","6.0","0.1","0.06666666666666667","4.0","3.0","12.0","0.13333333333333333","0.1","4.0","4.0","16.0","0.13333333333333333","0.13333333333333333","3.0","2.0","6.0","0.1","0.06666666666666667","2.0","3.0","6.0","0.06666666666666667","0.1","4.0","2.0","8.0","0.13333333333333333","0.06666666666666667","4.0","3.0","12.0","0.13333333333333333","0.1","6.0","2.0","12.0","0.2","0.06666666666666667","3.0","2.0","6.0","0.1","0.06666666666666667","6.0","3.0","18.0","0.2","0.1","3.0","4.0","12.0","0.1","0.13333333333333333","4.0","1.0","4.0","0.13333333333333333","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","10.0","1.0","10.0","0.3333333333333333","0.03333333333333333","5.0","2.0","10.0","0.16666666666666666","0.06666666666666667","5.0","2.0","10.0","0.16666666666666666","0.06666666666666667","3.0","2.0","6.0","0.1","0.06666666666666667","4.0","4.0","16.0","0.13333333333333333","0.13333333333333333","2.0","0.0","0.0","0.06666666666666667","0.0","0.0","28.0","0.0","0.0","0.9333333333333333","1.0","25.0","25.0","0.03333333333333333","0.8333333333333334","3.0","0.0","0.0","0.1","0.0","1.0","1.0","1.0","0.03333333333333333","0.03333333333333333","3.0","0.0","0.0","0.1","0.0","1.0","1.0","1.0","0.03333333333333333","0.03333333333333333","3.0","0.0","0.0","0.1","0.0","1.0","1.0","1.0","0.03333333333333333","0.03333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","5.0","3.0","15.0","0.16666666666666666","0.1","5.0","3.0","15.0","0.16666666666666666","0.1","5.0","1.0","5.0","0.16666666666666666","0.03333333333333333","3.0","2.0","6.0","0.1","0.06666666666666667","4.0","3.0","12.0","0.13333333333333333","0.1","4.0","4.0","16.0","0.13333333333333333","0.13333333333333333","3.0","2.0","6.0","0.1","0.06666666666666667","2.0","3.0","6.0","0.06666666666666667","0.1","4.0","2.0","8.0","0.13333333333333333","0.06666666666666667","4.0","3.0","12.0","0.13333333333333333","0.1","6.0","2.0","12.0","0.2","0.06666666666666667","3.0","2.0","6.0","0.1","0.06666666666666667","6.0","3.0","18.0","0.2","0.1","3.0","4.0","12.0","0.1","0.13333333333333333","4.0","1.0","4.0","0.13333333333333333","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","10.0","1.0","10.0","0.3333333333333333","0.03333333333333333","5.0","2.0","10.0","0.16666666666666666","0.06666666666666667","5.0","2.0","10.0","0.16666666666666666","0.06666666666666667","3.0","2.0","6.0","0.1","0.06666666666666667","4.0","4.0","16.0","0.13333333333333333","0.13333333333333333","2.0","0.0","0.0","0.06666666666666667","0.0","0.0","28.0","0.0","0.0","0.9333333333333333","1.0","25.0","25.0","0.03333333333333333","0.8333333333333334","3.0","0.0","0.0","0.1","0.0","1.0","1.0","1.0","0.03333333333333333","0.03333333333333333","3.0","0.0","0.0","0.1","0.0","1.0","1.0","1.0","0.03333333333333333","0.03333333333333333","3.0","0.0","0.0","0.1","0.0","1.0","1.0","1.0","0.03333333333333333","0.03333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","5.0","3.0","15.0","0.15151515151515152","0.09090909090909091","5.0","3.0","15.0","0.15151515151515152","0.09090909090909091","5.0","1.0","5.0","0.15151515151515152","0.030303030303030304","4.0","2.0","8.0","0.12121212121212122","0.06060606060606061","4.0","3.0","12.0","0.12121212121212122","0.09090909090909091","4.0","4.0","16.0","0.12121212121212122","0.12121212121212122","3.0","2.0","6.0","0.09090909090909091","0.06060606060606061","2.0","3.0","6.0","0.06060606060606061","0.09090909090909091","4.0","2.0","8.0","0.12121212121212122","0.06060606060606061","4.0","3.0","12.0","0.12121212121212122","0.09090909090909091","6.0","2.0","12.0","0.18181818181818182","0.06060606060606061","3.0","2.0","6.0","0.09090909090909091","0.06060606060606061","7.0","3.0","21.0","0.21212121212121213","0.09090909090909091","3.0","4.0","12.0","0.09090909090909091","0.12121212121212122","4.0","1.0","4.0","0.12121212121212122","0.030303030303030304","4.0","1.0","4.0","0.12121212121212122","0.030303030303030304","10.0","1.0","10.0","0.30303030303030304","0.030303030303030304","5.0","2.0","10.0","0.15151515151515152","0.06060606060606061","5.0","2.0","10.0","0.15151515151515152","0.06060606060606061","3.0","2.0","6.0","0.09090909090909091","0.06060606060606061","4.0","4.0","16.0","0.12121212121212122","0.12121212121212122","2.0","0.0","0.0","0.06060606060606061","0.0","0.0","31.0","0.0","0.0","0.9393939393939394","1.0","26.0","26.0","0.030303030303030304","0.7878787878787878","3.0","0.0","0.0","0.09090909090909091","0.0","1.0","1.0","1.0","0.030303030303030304","0.030303030303030304","3.0","0.0","0.0","0.09090909090909091","0.0","1.0","1.0","1.0","0.030303030303030304","0.030303030303030304","3.0","0.0","0.0","0.09090909090909091","0.0","1.0","1.0","1.0","0.030303030303030304","0.030303030303030304","2.0","1.0","2.0","0.06060606060606061","0.030303030303030304","1.0","1.0","1.0","0.030303030303030304","0.030303030303030304","1.0","1.0","1.0","0.030303030303030304","0.030303030303030304","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","5.0","3.0","15.0","0.14705882352941177","0.08823529411764706","5.0","3.0","15.0","0.14705882352941177","0.08823529411764706","5.0","1.0","5.0","0.14705882352941177","0.029411764705882353","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","4.0","3.0","12.0","0.11764705882352941","0.08823529411764706","4.0","4.0","16.0","0.11764705882352941","0.11764705882352941","3.0","2.0","6.0","0.08823529411764706","0.058823529411764705","2.0","3.0","6.0","0.058823529411764705","0.08823529411764706","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","4.0","3.0","12.0","0.11764705882352941","0.08823529411764706","6.0","2.0","12.0","0.17647058823529413","0.058823529411764705","3.0","2.0","6.0","0.08823529411764706","0.058823529411764705","7.0","3.0","21.0","0.20588235294117646","0.08823529411764706","3.0","4.0","12.0","0.08823529411764706","0.11764705882352941","4.0","1.0","4.0","0.11764705882352941","0.029411764705882353","4.0","1.0","4.0","0.11764705882352941","0.029411764705882353","10.0","1.0","10.0","0.29411764705882354","0.029411764705882353","5.0","2.0","10.0","0.14705882352941177","0.058823529411764705","5.0","2.0","10.0","0.14705882352941177","0.058823529411764705","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","4.0","4.0","16.0","0.11764705882352941","0.11764705882352941","2.0","0.0","0.0","0.058823529411764705","0.0","0.0","32.0","0.0","0.0","0.9411764705882353","1.0","26.0","26.0","0.029411764705882353","0.7647058823529411","3.0","0.0","0.0","0.08823529411764706","0.0","1.0","1.0","1.0","0.029411764705882353","0.029411764705882353","3.0","0.0","0.0","0.08823529411764706","0.0","1.0","1.0","1.0","0.029411764705882353","0.029411764705882353","3.0","0.0","0.0","0.08823529411764706","0.0","1.0","1.0","1.0","0.029411764705882353","0.029411764705882353","2.0","1.0","2.0","0.058823529411764705","0.029411764705882353","1.0","1.0","1.0","0.029411764705882353","0.029411764705882353","1.0","1.0","1.0","0.029411764705882353","0.029411764705882353","1.0","1.0","1.0","0.029411764705882353","0.029411764705882353","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","5.0","3.0","15.0","0.14705882352941177","0.08823529411764706","5.0","3.0","15.0","0.14705882352941177","0.08823529411764706","5.0","1.0","5.0","0.14705882352941177","0.029411764705882353","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","4.0","3.0","12.0","0.11764705882352941","0.08823529411764706","4.0","4.0","16.0","0.11764705882352941","0.11764705882352941","3.0","2.0","6.0","0.08823529411764706","0.058823529411764705","2.0","3.0","6.0","0.058823529411764705","0.08823529411764706","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","4.0","3.0","12.0","0.11764705882352941","0.08823529411764706","6.0","2.0","12.0","0.17647058823529413","0.058823529411764705","3.0","2.0","6.0","0.08823529411764706","0.058823529411764705","7.0","3.0","21.0","0.20588235294117646","0.08823529411764706","3.0","4.0","12.0","0.08823529411764706","0.11764705882352941","4.0","1.0","4.0","0.11764705882352941","0.029411764705882353","4.0","1.0","4.0","0.11764705882352941","0.029411764705882353","10.0","1.0","10.0","0.29411764705882354","0.029411764705882353","5.0","2.0","10.0","0.14705882352941177","0.058823529411764705","5.0","2.0","10.0","0.14705882352941177","0.058823529411764705","4.0","2.0","8.0","0.11764705882352941","0.058823529411764705","4.0","4.0","16.0","0.11764705882352941","0.11764705882352941","2.0","0.0","0.0","0.058823529411764705","0.0","0.0","32.0","0.0","0.0","0.9411764705882353","1.0","26.0","26.0","0.029411764705882353","0.7647058823529411","3.0","0.0","0.0","0.08823529411764706","0.0","1.0","1.0","1.0","0.029411764705882353","0.029411764705882353","3.0","0.0","0.0","0.08823529411764706","0.0","1.0","1.0","1.0","0.029411764705882353","0.029411764705882353","3.0","0.0","0.0","0.08823529411764706","0.0","1.0","1.0","1.0","0.029411764705882353","0.029411764705882353","2.0","1.0","2.0","0.058823529411764705","0.029411764705882353","1.0","1.0","1.0","0.029411764705882353","0.029411764705882353","1.0","1.0","1.0","0.029411764705882353","0.029411764705882353","1.0","1.0","1.0","0.029411764705882353","0.029411764705882353","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","5.0","3.0","15.0","0.14285714285714285","0.08571428571428572","5.0","3.0","15.0","0.14285714285714285","0.08571428571428572","5.0","1.0","5.0","0.14285714285714285","0.02857142857142857","4.0","2.0","8.0","0.11428571428571428","0.05714285714285714","4.0","3.0","12.0","0.11428571428571428","0.08571428571428572","4.0","4.0","16.0","0.11428571428571428","0.11428571428571428","3.0","2.0","6.0","0.08571428571428572","0.05714285714285714","2.0","3.0","6.0","0.05714285714285714","0.08571428571428572","4.0","2.0","8.0","0.11428571428571428","0.05714285714285714","4.0","3.0","12.0","0.11428571428571428","0.08571428571428572","6.0","2.0","12.0","0.17142857142857143","0.05714285714285714","3.0","2.0","6.0","0.08571428571428572","0.05714285714285714","7.0","3.0","21.0","0.2","0.08571428571428572","3.0","4.0","12.0","0.08571428571428572","0.11428571428571428","4.0","1.0","4.0","0.11428571428571428","0.02857142857142857","4.0","1.0","4.0","0.11428571428571428","0.02857142857142857","10.0","1.0","10.0","0.2857142857142857","0.02857142857142857","5.0","2.0","10.0","0.14285714285714285","0.05714285714285714","5.0","2.0","10.0","0.14285714285714285","0.05714285714285714","5.0","2.0","10.0","0.14285714285714285","0.05714285714285714","4.0","4.0","16.0","0.11428571428571428","0.11428571428571428","2.0","0.0","0.0","0.05714285714285714","0.0","0.0","33.0","0.0","0.0","0.9428571428571428","1.0","26.0","26.0","0.02857142857142857","0.7428571428571429","3.0","0.0","0.0","0.08571428571428572","0.0","1.0","1.0","1.0","0.02857142857142857","0.02857142857142857","3.0","0.0","0.0","0.08571428571428572","0.0","1.0","1.0","1.0","0.02857142857142857","0.02857142857142857","3.0","0.0","0.0","0.08571428571428572","0.0","1.0","1.0","1.0","0.02857142857142857","0.02857142857142857","2.0","1.0","2.0","0.05714285714285714","0.02857142857142857","1.0","1.0","1.0","0.02857142857142857","0.02857142857142857","1.0","1.0","1.0","0.02857142857142857","0.02857142857142857","1.0","1.0","1.0","0.02857142857142857","0.02857142857142857","1.0","1.0","1.0","0.02857142857142857","0.02857142857142857","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19","5.0","3.0","15.0","0.1388888888888889","0.08333333333333333","5.0","3.0","15.0","0.1388888888888889","0.08333333333333333","5.0","1.0","5.0","0.1388888888888889","0.027777777777777776","4.0","2.0","8.0","0.1111111111111111","0.05555555555555555","4.0","3.0","12.0","0.1111111111111111","0.08333333333333333","4.0","4.0","16.0","0.1111111111111111","0.1111111111111111","3.0","2.0","6.0","0.08333333333333333","0.05555555555555555","2.0","3.0","6.0","0.05555555555555555","0.08333333333333333","4.0","2.0","8.0","0.1111111111111111","0.05555555555555555","4.0","3.0","12.0","0.1111111111111111","0.08333333333333333","6.0","2.0","12.0","0.16666666666666666","0.05555555555555555","3.0","2.0","6.0","0.08333333333333333","0.05555555555555555","7.0","3.0","21.0","0.19444444444444445","0.08333333333333333","3.0","4.0","12.0","0.08333333333333333","0.1111111111111111","4.0","1.0","4.0","0.1111111111111111","0.027777777777777776","4.0","1.0","4.0","0.1111111111111111","0.027777777777777776","10.0","1.0","10.0","0.2777777777777778","0.027777777777777776","6.0","2.0","12.0","0.16666666666666666","0.05555555555555555","5.0","2.0","10.0","0.1388888888888889","0.05555555555555555","5.0","2.0","10.0","0.1388888888888889","0.05555555555555555","4.0","4.0","16.0","0.1111111111111111","0.1111111111111111","2.0","0.0","0.0","0.05555555555555555","0.0","0.0","34.0","0.0","0.0","0.9444444444444444","1.0","27.0","27.0","0.027777777777777776","0.75","3.0","0.0","0.0","0.08333333333333333","0.0","1.0","1.0","1.0","0.027777777777777776","0.027777777777777776","3.0","0.0","0.0","0.08333333333333333","0.0","1.0","1.0","1.0","0.027777777777777776","0.027777777777777776","3.0","0.0","0.0","0.08333333333333333","0.0","1.0","1.0","1.0","0.027777777777777776","0.027777777777777776","2.0","1.0","2.0","0.05555555555555555","0.027777777777777776","1.0","1.0","1.0","0.027777777777777776","0.027777777777777776","1.0","1.0","1.0","0.027777777777777776","0.027777777777777776","1.0","1.0","1.0","0.027777777777777776","0.027777777777777776","1.0","1.0","1.0","0.027777777777777776","0.027777777777777776","2.0","1.0","2.0","0.05555555555555555","0.027777777777777776","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"20","5.0","3.0","15.0","0.1388888888888889","0.08333333333333333","5.0","3.0","15.0","0.1388888888888889","0.08333333333333333","5.0","1.0","5.0","0.1388888888888889","0.027777777777777776","4.0","2.0","8.0","0.1111111111111111","0.05555555555555555","4.0","3.0","12.0","0.1111111111111111","0.08333333333333333","4.0","4.0","16.0","0.1111111111111111","0.1111111111111111","3.0","2.0","6.0","0.08333333333333333","0.05555555555555555","2.0","3.0","6.0","0.05555555555555555","0.08333333333333333","4.0","2.0","8.0","0.1111111111111111","0.05555555555555555","4.0","3.0","12.0","0.1111111111111111","0.08333333333333333","6.0","2.0","12.0","0.16666666666666666","0.05555555555555555","3.0","2.0","6.0","0.08333333333333333","0.05555555555555555","7.0","3.0","21.0","0.19444444444444445","0.08333333333333333","3.0","4.0","12.0","0.08333333333333333","0.1111111111111111","4.0","1.0","4.0","0.1111111111111111","0.027777777777777776","4.0","1.0","4.0","0.1111111111111111","0.027777777777777776","10.0","1.0","10.0","0.2777777777777778","0.027777777777777776","6.0","2.0","12.0","0.16666666666666666","0.05555555555555555","5.0","2.0","10.0","0.1388888888888889","0.05555555555555555","5.0","2.0","10.0","0.1388888888888889","0.05555555555555555","4.0","4.0","16.0","0.1111111111111111","0.1111111111111111","2.0","0.0","0.0","0.05555555555555555","0.0","0.0","34.0","0.0","0.0","0.9444444444444444","1.0","27.0","27.0","0.027777777777777776","0.75","3.0","0.0","0.0","0.08333333333333333","0.0","1.0","1.0","1.0","0.027777777777777776","0.027777777777777776","3.0","0.0","0.0","0.08333333333333333","0.0","1.0","1.0","1.0","0.027777777777777776","0.027777777777777776","3.0","0.0","0.0","0.08333333333333333","0.0","1.0","1.0","1.0","0.027777777777777776","0.027777777777777776","2.0","1.0","2.0","0.05555555555555555","0.027777777777777776","1.0","1.0","1.0","0.027777777777777776","0.027777777777777776","1.0","1.0","1.0","0.027777777777777776","0.027777777777777776","1.0","1.0","1.0","0.027777777777777776","0.027777777777777776","1.0","1.0","1.0","0.027777777777777776","0.027777777777777776","2.0","1.0","2.0","0.05555555555555555","0.027777777777777776","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"21","5.0","3.0","15.0","0.1282051282051282","0.07692307692307693","5.0","3.0","15.0","0.1282051282051282","0.07692307692307693","5.0","1.0","5.0","0.1282051282051282","0.02564102564102564","4.0","2.0","8.0","0.10256410256410256","0.05128205128205128","5.0","3.0","15.0","0.1282051282051282","0.07692307692307693","4.0","4.0","16.0","0.10256410256410256","0.10256410256410256","3.0","3.0","9.0","0.07692307692307693","0.07692307692307693","2.0","3.0","6.0","0.05128205128205128","0.07692307692307693","4.0","2.0","8.0","0.10256410256410256","0.05128205128205128","4.0","3.0","12.0","0.10256410256410256","0.07692307692307693","6.0","2.0","12.0","0.15384615384615385","0.05128205128205128","3.0","2.0","6.0","0.07692307692307693","0.05128205128205128","7.0","3.0","21.0","0.1794871794871795","0.07692307692307693","3.0","4.0","12.0","0.07692307692307693","0.10256410256410256","4.0","1.0","4.0","0.10256410256410256","0.02564102564102564","4.0","1.0","4.0","0.10256410256410256","0.02564102564102564","10.0","1.0","10.0","0.2564102564102564","0.02564102564102564","6.0","3.0","18.0","0.15384615384615385","0.07692307692307693","5.0","2.0","10.0","0.1282051282051282","0.05128205128205128","5.0","2.0","10.0","0.1282051282051282","0.05128205128205128","4.0","4.0","16.0","0.10256410256410256","0.10256410256410256","2.0","0.0","0.0","0.05128205128205128","0.0","0.0","37.0","0.0","0.0","0.9487179487179487","1.0","28.0","28.0","0.02564102564102564","0.717948717948718","3.0","0.0","0.0","0.07692307692307693","0.0","1.0","1.0","1.0","0.02564102564102564","0.02564102564102564","3.0","0.0","0.0","0.07692307692307693","0.0","1.0","1.0","1.0","0.02564102564102564","0.02564102564102564","3.0","0.0","0.0","0.07692307692307693","0.0","1.0","1.0","1.0","0.02564102564102564","0.02564102564102564","2.0","1.0","2.0","0.05128205128205128","0.02564102564102564","1.0","1.0","1.0","0.02564102564102564","0.02564102564102564","1.0","1.0","1.0","0.02564102564102564","0.02564102564102564","1.0","1.0","1.0","0.02564102564102564","0.02564102564102564","1.0","1.0","1.0","0.02564102564102564","0.02564102564102564","2.0","1.0","2.0","0.05128205128205128","0.02564102564102564","2.0","0.0","0.0","0.05128205128205128","0.0","3.0","0.0","0.0","0.07692307692307693","0.0","1.0","1.0","1.0","0.02564102564102564","0.02564102564102564"
