"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","RD12-ADS","RD12-AIS","RD12-ACS","RD12-RCS","RD12-RIS","RD13-ADS","RD13-AIS","RD13-ACS","RD13-RCS","RD13-RIS","RD14-ADS","RD14-AIS","RD14-ACS","RD14-RCS","RD14-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS","MSV7-ADS","MSV7-AIS","MSV7-ACS","MSV7-RCS","MSV7-RIS","MSV8-ADS","MSV8-AIS","MSV8-ACS","MSV8-RCS","MSV8-RIS","MSV9-ADS","MSV9-AIS","MSV9-ACS","MSV9-RCS","MSV9-RIS","MSV10-ADS","MSV10-AIS","MSV10-ACS","MSV10-RCS","MSV10-RIS","MSV11-ADS","MSV11-AIS","MSV11-ACS","MSV11-RCS","MSV11-RIS","MSV12-ADS","MSV12-AIS","MSV12-ACS","MSV12-RCS","MSV12-RIS"
"11","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","3.0","3.0","9.0","0.13636363636363635","0.13636363636363635","1.0","2.0","2.0","0.045454545454545456","0.09090909090909091","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","10.0","1.0","10.0","0.45454545454545453","0.045454545454545456","2.0","3.0","6.0","0.09090909090909091","0.13636363636363635","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","4.0","1.0","4.0","0.18181818181818182","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","6.0","0.0","0.0","0.2727272727272727","0.0","1.0","19.0","19.0","0.045454545454545456","0.8636363636363636","0.0","10.0","0.0","0.0","0.45454545454545453","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","3.0","3.0","9.0","0.13636363636363635","0.13636363636363635","1.0","2.0","2.0","0.045454545454545456","0.09090909090909091","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","10.0","1.0","10.0","0.45454545454545453","0.045454545454545456","2.0","3.0","6.0","0.09090909090909091","0.13636363636363635","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","4.0","1.0","4.0","0.18181818181818182","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","6.0","0.0","0.0","0.2727272727272727","0.0","1.0","19.0","19.0","0.045454545454545456","0.8636363636363636","0.0","10.0","0.0","0.0","0.45454545454545453","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","3.0","3.0","9.0","0.13636363636363635","0.13636363636363635","1.0","2.0","2.0","0.045454545454545456","0.09090909090909091","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","10.0","1.0","10.0","0.45454545454545453","0.045454545454545456","2.0","3.0","6.0","0.09090909090909091","0.13636363636363635","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","4.0","1.0","4.0","0.18181818181818182","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","6.0","0.0","0.0","0.2727272727272727","0.0","1.0","19.0","19.0","0.045454545454545456","0.8636363636363636","0.0","10.0","0.0","0.0","0.45454545454545453","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","3.0","9.0","0.13043478260869565","0.13043478260869565","1.0","2.0","2.0","0.043478260869565216","0.08695652173913043","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","11.0","1.0","11.0","0.4782608695652174","0.043478260869565216","2.0","3.0","6.0","0.08695652173913043","0.13043478260869565","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","6.0","0.0","0.0","0.2608695652173913","0.0","1.0","20.0","20.0","0.043478260869565216","0.8695652173913043","0.0","10.0","0.0","0.0","0.43478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","3.0","3.0","9.0","0.13043478260869565","0.13043478260869565","1.0","2.0","2.0","0.043478260869565216","0.08695652173913043","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","11.0","1.0","11.0","0.4782608695652174","0.043478260869565216","2.0","3.0","6.0","0.08695652173913043","0.13043478260869565","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","6.0","0.0","0.0","0.2608695652173913","0.0","1.0","20.0","20.0","0.043478260869565216","0.8695652173913043","0.0","10.0","0.0","0.0","0.43478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","3.0","3.0","9.0","0.125","0.125","1.0","2.0","2.0","0.041666666666666664","0.08333333333333333","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","12.0","1.0","12.0","0.5","0.041666666666666664","2.0","3.0","6.0","0.08333333333333333","0.125","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","6.0","0.0","0.0","0.25","0.0","1.0","21.0","21.0","0.041666666666666664","0.875","0.0","11.0","0.0","0.0","0.4583333333333333","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","3.0","3.0","9.0","0.125","0.125","1.0","2.0","2.0","0.041666666666666664","0.08333333333333333","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","12.0","1.0","12.0","0.5","0.041666666666666664","2.0","3.0","6.0","0.08333333333333333","0.125","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","6.0","0.0","0.0","0.25","0.0","1.0","21.0","21.0","0.041666666666666664","0.875","0.0","11.0","0.0","0.0","0.4583333333333333","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","3.0","3.0","9.0","0.125","0.125","1.0","2.0","2.0","0.041666666666666664","0.08333333333333333","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","12.0","1.0","12.0","0.5","0.041666666666666664","2.0","3.0","6.0","0.08333333333333333","0.125","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","6.0","0.0","0.0","0.25","0.0","1.0","21.0","21.0","0.041666666666666664","0.875","0.0","11.0","0.0","0.0","0.4583333333333333","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","3.0","3.0","9.0","0.1111111111111111","0.1111111111111111","1.0","2.0","2.0","0.037037037037037035","0.07407407407407407","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","15.0","1.0","15.0","0.5555555555555556","0.037037037037037035","2.0","3.0","6.0","0.07407407407407407","0.1111111111111111","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","4.0","1.0","4.0","0.14814814814814814","0.037037037037037035","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","6.0","0.0","0.0","0.2222222222222222","0.0","1.0","24.0","24.0","0.037037037037037035","0.8888888888888888","0.0","12.0","0.0","0.0","0.4444444444444444","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"20","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","3.0","3.0","9.0","0.1111111111111111","0.1111111111111111","1.0","2.0","2.0","0.037037037037037035","0.07407407407407407","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","15.0","1.0","15.0","0.5555555555555556","0.037037037037037035","2.0","3.0","6.0","0.07407407407407407","0.1111111111111111","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","4.0","1.0","4.0","0.14814814814814814","0.037037037037037035","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","6.0","0.0","0.0","0.2222222222222222","0.0","1.0","24.0","24.0","0.037037037037037035","0.8888888888888888","0.0","12.0","0.0","0.0","0.4444444444444444","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"21","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","3.0","3.0","9.0","0.10344827586206896","0.10344827586206896","1.0","2.0","2.0","0.034482758620689655","0.06896551724137931","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","17.0","1.0","17.0","0.5862068965517241","0.034482758620689655","2.0","3.0","6.0","0.06896551724137931","0.10344827586206896","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","6.0","0.0","0.0","0.20689655172413793","0.0","1.0","26.0","26.0","0.034482758620689655","0.896551724137931","0.0","14.0","0.0","0.0","0.4827586206896552","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655"
