"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2884615","0.4551282","0.19696969696969696","2.1666666666666665","1.0","0","4.0","0.1363636","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.04991087","3.0","0","4.0","0","0.0","0","5.0","0","1.0","0","3.0","0"
"11","0.2884615","0.4551282","0.19696969696969696","2.1666666666666665","1.0","0","4.0","0.1333333","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.04761905","3.0","0","4.0","0","0.0","0","5.0","0","1.0","0","3.0","0"
"12","0.2884615","0.4551282","0.19696969696969696","2.1666666666666665","1.0","0","4.0","0.1298077","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.04539723","3.0","0","4.0","0","0.0","0","5.0","0","1.0","0","3.0","0"
"13","0.2884615","0.4551282","0.19696969696969696","2.1666666666666665","1.0","0","4.0","0.1260504","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.04329004","3.0","0","4.0","0","0.0","0","5.0","0","1.0","0","3.0","0"
"14","0.2884615","0.4551282","0.19696969696969696","2.1666666666666665","1.0","0","4.0","0.1222222","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.04131455","3.0","0","4.0","0","0.0","0","5.0","0","1.0","0","3.0","0"
"15","0.2884615","0.4551282","0.19696969696969696","2.1666666666666665","1.0","0","4.0","0.1184211","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.03947368","3.0","0","4.0","0","0.0","0","5.0","0","1.0","0","3.0","0"
"16","0.2884615","0.4551282","0.19696969696969696","2.1666666666666665","1.0","0","4.0","0.1147059","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.03776325","3.0","0","4.0","0","0.0","0","5.0","0","1.0","0","3.0","0"
"17","0.2884615","0.4551282","0.19696969696969696","2.1666666666666665","1.0","0","4.0","0.1111111","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.03617571","3.0","0","4.0","0","0.0","0","5.0","0","1.0","0","3.0","0"
"18","0.2884615","0.4551282","0.19696969696969696","2.1666666666666665","1.0","0","4.0","0.1076555","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.03470214","3.0","0","4.0","0","0.0","0","5.0","0","1.0","0","3.0","0"
"19","0.2884615","0.4551282","0.19696969696969696","2.1666666666666665","1.0","0","4.0","0.1043478","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.03333333","3.0","0","4.0","0","0.0","0","5.0","0","1.0","0","3.0","0"
"20","0.2884615","0.4551282","0.19696969696969696","2.1666666666666665","1.0","0","4.0","0.1011905","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0.03206035","3.0","0","4.0","0","0.0","0","5.0","0","1.0","0","3.0","0"
