"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","BA7-ADS","BA7-AIS","BA7-ACS","BA7-RCS","BA7-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS"
"11","3.0","2.0","6.0","0.21428571428571427","0.14285714285714285","3.0","3.0","9.0","0.21428571428571427","0.21428571428571427","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","6.0","1.0","6.0","0.42857142857142855","0.07142857142857142","4.0","1.0","4.0","0.2857142857142857","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","5.0","0.0","0.0","0.35714285714285715","0.0","1.0","7.0","7.0","0.07142857142857142","0.5","4.0","4.0","16.0","0.2857142857142857","0.2857142857142857","1.0","7.0","7.0","0.07142857142857142","0.5","1.0","10.0","10.0","0.07142857142857142","0.7142857142857143","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","3.0","2.0","6.0","0.21428571428571427","0.14285714285714285","3.0","3.0","9.0","0.21428571428571427","0.21428571428571427","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","6.0","1.0","6.0","0.42857142857142855","0.07142857142857142","4.0","1.0","4.0","0.2857142857142857","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","5.0","0.0","0.0","0.35714285714285715","0.0","1.0","7.0","7.0","0.07142857142857142","0.5","4.0","4.0","16.0","0.2857142857142857","0.2857142857142857","1.0","7.0","7.0","0.07142857142857142","0.5","1.0","10.0","10.0","0.07142857142857142","0.7142857142857143","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","3.0","2.0","6.0","0.21428571428571427","0.14285714285714285","3.0","3.0","9.0","0.21428571428571427","0.21428571428571427","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","6.0","1.0","6.0","0.42857142857142855","0.07142857142857142","4.0","1.0","4.0","0.2857142857142857","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","5.0","0.0","0.0","0.35714285714285715","0.0","1.0","7.0","7.0","0.07142857142857142","0.5","4.0","4.0","16.0","0.2857142857142857","0.2857142857142857","1.0","7.0","7.0","0.07142857142857142","0.5","1.0","10.0","10.0","0.07142857142857142","0.7142857142857143","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","3.0","2.0","6.0","0.2","0.13333333333333333","3.0","3.0","9.0","0.2","0.2","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","7.0","1.0","7.0","0.4666666666666667","0.06666666666666667","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","5.0","0.0","0.0","0.3333333333333333","0.0","1.0","8.0","8.0","0.06666666666666667","0.5333333333333333","4.0","4.0","16.0","0.26666666666666666","0.26666666666666666","1.0","8.0","8.0","0.06666666666666667","0.5333333333333333","1.0","11.0","11.0","0.06666666666666667","0.7333333333333333","3.0","1.0","3.0","0.2","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","3.0","2.0","6.0","0.2","0.13333333333333333","3.0","3.0","9.0","0.2","0.2","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","7.0","1.0","7.0","0.4666666666666667","0.06666666666666667","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","5.0","0.0","0.0","0.3333333333333333","0.0","1.0","8.0","8.0","0.06666666666666667","0.5333333333333333","4.0","4.0","16.0","0.26666666666666666","0.26666666666666666","1.0","8.0","8.0","0.06666666666666667","0.5333333333333333","1.0","11.0","11.0","0.06666666666666667","0.7333333333333333","3.0","1.0","3.0","0.2","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","3.0","2.0","6.0","0.1875","0.125","3.0","3.0","9.0","0.1875","0.1875","2.0","1.0","2.0","0.125","0.0625","8.0","1.0","8.0","0.5","0.0625","4.0","1.0","4.0","0.25","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","5.0","0.0","0.0","0.3125","0.0","1.0","9.0","9.0","0.0625","0.5625","4.0","4.0","16.0","0.25","0.25","1.0","9.0","9.0","0.0625","0.5625","1.0","12.0","12.0","0.0625","0.75","3.0","1.0","3.0","0.1875","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","3.0","2.0","6.0","0.1875","0.125","3.0","3.0","9.0","0.1875","0.1875","2.0","1.0","2.0","0.125","0.0625","8.0","1.0","8.0","0.5","0.0625","4.0","1.0","4.0","0.25","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","5.0","0.0","0.0","0.3125","0.0","1.0","9.0","9.0","0.0625","0.5625","4.0","4.0","16.0","0.25","0.25","1.0","9.0","9.0","0.0625","0.5625","1.0","12.0","12.0","0.0625","0.75","3.0","1.0","3.0","0.1875","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","3.0","2.0","6.0","0.1875","0.125","3.0","3.0","9.0","0.1875","0.1875","2.0","1.0","2.0","0.125","0.0625","8.0","1.0","8.0","0.5","0.0625","4.0","1.0","4.0","0.25","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","5.0","0.0","0.0","0.3125","0.0","1.0","9.0","9.0","0.0625","0.5625","4.0","4.0","16.0","0.25","0.25","1.0","9.0","9.0","0.0625","0.5625","1.0","12.0","12.0","0.0625","0.75","3.0","1.0","3.0","0.1875","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19","3.0","2.0","6.0","0.1875","0.125","3.0","3.0","9.0","0.1875","0.1875","2.0","1.0","2.0","0.125","0.0625","8.0","1.0","8.0","0.5","0.0625","4.0","1.0","4.0","0.25","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","5.0","0.0","0.0","0.3125","0.0","1.0","9.0","9.0","0.0625","0.5625","4.0","4.0","16.0","0.25","0.25","1.0","9.0","9.0","0.0625","0.5625","1.0","12.0","12.0","0.0625","0.75","3.0","1.0","3.0","0.1875","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"20","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","3.0","3.0","9.0","0.17647058823529413","0.17647058823529413","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","9.0","1.0","9.0","0.5294117647058824","0.058823529411764705","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","5.0","0.0","0.0","0.29411764705882354","0.0","1.0","10.0","10.0","0.058823529411764705","0.5882352941176471","4.0","4.0","16.0","0.23529411764705882","0.23529411764705882","1.0","10.0","10.0","0.058823529411764705","0.5882352941176471","1.0","13.0","13.0","0.058823529411764705","0.7647058823529411","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","0.0","0.0","0.0","0.0","0.0"
"21","3.0","2.0","6.0","0.16666666666666666","0.1111111111111111","3.0","3.0","9.0","0.16666666666666666","0.16666666666666666","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","10.0","1.0","10.0","0.5555555555555556","0.05555555555555555","4.0","1.0","4.0","0.2222222222222222","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","5.0","0.0","0.0","0.2777777777777778","0.0","1.0","11.0","11.0","0.05555555555555555","0.6111111111111112","4.0","4.0","16.0","0.2222222222222222","0.2222222222222222","1.0","10.0","10.0","0.05555555555555555","0.5555555555555556","1.0","13.0","13.0","0.05555555555555555","0.7222222222222222","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","1.0","1.0","1.0","0.05555555555555555","0.05555555555555555"
