"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","BA15-ADS","BA15-GINI -ADS","BA15-AIS","BA15-GINI -AIS","BA16-ADS","BA16-GINI -ADS","BA16-AIS","BA16-GINI -AIS","BA17-ADS","BA17-GINI -ADS","BA17-AIS","BA17-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS"
"10","0.3216783","0.6060606","0.16883116883116883","3.5454545454545454","2.0","0.08727273","5.0","0","8.0","0","4.0","0.04642166","4.0","0","3.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","6.0","0","1.0","0","12.0","0","0.0","0","1.0","0","19.0","0","1.0","0","9.0","0","1.0","0","20.0","0"
"11","0.3216783","0.6060606","0.16883116883116883","3.5454545454545454","2.0","0.08333333","5.0","0","8.0","0","4.0","0.04411765","4.0","0","3.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","6.0","0","1.0","0","12.0","0","0.0","0","1.0","0","19.0","0","1.0","0","9.0","0","1.0","0","20.0","0"
"12","0.3216783","0.6060606","0.16883116883116883","3.5454545454545454","2.0","0.07957560","5.0","0","8.0","0","4.0","0.04195804","4.0","0","3.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","6.0","0","1.0","0","12.0","0","0.0","0","1.0","0","19.0","0","1.0","0","9.0","0","1.0","0","20.0","0"
"13","0.3216783","0.6060606","0.16883116883116883","3.5454545454545454","2.0","0.07603687","5.0","0","8.0","0","4.0","0.03995157","4.0","0","3.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","6.0","0","1.0","0","12.0","0","0.0","0","1.0","0","19.0","0","1.0","0","9.0","0","1.0","0","20.0","0"
"14","0.3216783","0.6060606","0.16883116883116883","3.5454545454545454","2.0","0.07272727","5.0","0","8.0","0","4.0","0.03809524","4.0","0","3.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","6.0","0","1.0","0","12.0","0","0.0","0","1.0","0","19.0","0","1.0","0","9.0","0","1.0","0","20.0","0"
"15","0.3216783","0.6060606","0.16883116883116883","3.5454545454545454","2.0","0.06964286","5.0","0","8.0","0","4.0","0.03638060","4.0","0","3.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","6.0","0","1.0","0","12.0","0","0.0","0","1.0","0","19.0","0","1.0","0","9.0","0","1.0","0","20.0","0"
"16","0.3216783","0.6060606","0.16883116883116883","3.5454545454545454","2.0","0.06677266","5.0","0","8.0","0","4.0","0.03479702","4.0","0","3.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","6.0","0","1.0","0","12.0","0","0.0","0","1.0","0","19.0","0","1.0","0","9.0","0","1.0","0","20.0","0"
"17","0.3216783","0.6060606","0.16883116883116883","3.5454545454545454","2.0","0.06410256","5.0","0","8.0","0","4.0","0.03333333","4.0","0","3.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","6.0","0","1.0","0","12.0","0","0.0","0","1.0","0","19.0","0","1.0","0","9.0","0","1.0","0","20.0","0"
"18","0.3216783","0.6060606","0.16883116883116883","3.5454545454545454","2.0","0.06161746","5.0","0","8.0","0","4.0","0.03197868","4.0","0","3.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","6.0","0","1.0","0","12.0","0","0.0","0","1.0","0","19.0","0","1.0","0","9.0","0","1.0","0","20.0","0"
"19","0.3216783","0.6060606","0.16883116883116883","3.5454545454545454","2.0","0.05930233","5.0","0","8.0","0","4.0","0.03072289","4.0","0","3.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","6.0","0","1.0","0","12.0","0","0.0","0","1.0","0","19.0","0","1.0","0","9.0","0","1.0","0","20.0","0"
"20","0.3216783","0.6060606","0.16883116883116883","3.5454545454545454","2.0","0.05714286","5.0","0","8.0","0","4.0","0.02955665","4.0","0","3.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","6.0","0","1.0","0","12.0","0","0.0","0","1.0","0","19.0","0","1.0","0","9.0","0","1.0","0","20.0","0"
