"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","RD12-ADS","RD12-AIS","RD12-ACS","RD12-RCS","RD12-RIS","RD13-ADS","RD13-AIS","RD13-ACS","RD13-RCS","RD13-RIS","RD14-ADS","RD14-AIS","RD14-ACS","RD14-RCS","RD14-RIS","RD15-ADS","RD15-AIS","RD15-ACS","RD15-RCS","RD15-RIS","RD16-ADS","RD16-AIS","RD16-ACS","RD16-RCS","RD16-RIS","RD17-ADS","RD17-AIS","RD17-ACS","RD17-RCS","RD17-RIS","RD18-ADS","RD18-AIS","RD18-ACS","RD18-RCS","RD18-RIS","RD19-ADS","RD19-AIS","RD19-ACS","RD19-RCS","RD19-RIS","RD20-ADS","RD20-AIS","RD20-ACS","RD20-RCS","RD20-RIS","RD21-ADS","RD21-AIS","RD21-ACS","RD21-RCS","RD21-RIS","RD22-ADS","RD22-AIS","RD22-ACS","RD22-RCS","RD22-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS","MSV7-ADS","MSV7-AIS","MSV7-ACS","MSV7-RCS","MSV7-RIS","MSV8-ADS","MSV8-AIS","MSV8-ACS","MSV8-RCS","MSV8-RIS"
"11","1.0","3.0","3.0","0.03333333333333333","0.1","2.0","7.0","14.0","0.06666666666666667","0.23333333333333334","1.0","2.0","2.0","0.03333333333333333","0.06666666666666667","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","5.0","1.0","5.0","0.16666666666666666","0.03333333333333333","1.0","1.0","1.0","0.03333333333333333","0.03333333333333333","6.0","2.0","12.0","0.2","0.06666666666666667","5.0","1.0","5.0","0.16666666666666666","0.03333333333333333","2.0","2.0","4.0","0.06666666666666667","0.06666666666666667","6.0","2.0","12.0","0.2","0.06666666666666667","1.0","3.0","3.0","0.03333333333333333","0.1","1.0","1.0","1.0","0.03333333333333333","0.03333333333333333","2.0","2.0","4.0","0.06666666666666667","0.06666666666666667","2.0","3.0","6.0","0.06666666666666667","0.1","1.0","2.0","2.0","0.03333333333333333","0.06666666666666667","2.0","2.0","4.0","0.06666666666666667","0.06666666666666667","1.0","3.0","3.0","0.03333333333333333","0.1","1.0","1.0","1.0","0.03333333333333333","0.03333333333333333","3.0","2.0","6.0","0.1","0.06666666666666667","1.0","1.0","1.0","0.03333333333333333","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","6.0","1.0","6.0","0.2","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","5.0","0.0","0.0","0.16666666666666666","0.0","1.0","14.0","14.0","0.03333333333333333","0.4666666666666667","18.0","13.0","234.0","0.6","0.43333333333333335","0.0","13.0","0.0","0.0","0.43333333333333335","3.0","1.0","3.0","0.1","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","1.0","3.0","3.0","0.03225806451612903","0.0967741935483871","2.0","8.0","16.0","0.06451612903225806","0.25806451612903225","1.0","2.0","2.0","0.03225806451612903","0.06451612903225806","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","5.0","1.0","5.0","0.16129032258064516","0.03225806451612903","1.0","1.0","1.0","0.03225806451612903","0.03225806451612903","6.0","2.0","12.0","0.1935483870967742","0.06451612903225806","5.0","1.0","5.0","0.16129032258064516","0.03225806451612903","2.0","2.0","4.0","0.06451612903225806","0.06451612903225806","6.0","2.0","12.0","0.1935483870967742","0.06451612903225806","1.0","3.0","3.0","0.03225806451612903","0.0967741935483871","1.0","1.0","1.0","0.03225806451612903","0.03225806451612903","2.0","2.0","4.0","0.06451612903225806","0.06451612903225806","2.0","3.0","6.0","0.06451612903225806","0.0967741935483871","1.0","2.0","2.0","0.03225806451612903","0.06451612903225806","2.0","2.0","4.0","0.06451612903225806","0.06451612903225806","1.0","3.0","3.0","0.03225806451612903","0.0967741935483871","1.0","1.0","1.0","0.03225806451612903","0.03225806451612903","3.0","2.0","6.0","0.0967741935483871","0.06451612903225806","1.0","1.0","1.0","0.03225806451612903","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","6.0","1.0","6.0","0.1935483870967742","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","6.0","0.0","0.0","0.1935483870967742","0.0","1.0","15.0","15.0","0.03225806451612903","0.4838709677419355","18.0","13.0","234.0","0.5806451612903226","0.41935483870967744","0.0","14.0","0.0","0.0","0.45161290322580644","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","1.0","3.0","3.0","0.03225806451612903","0.0967741935483871","2.0","8.0","16.0","0.06451612903225806","0.25806451612903225","1.0","2.0","2.0","0.03225806451612903","0.06451612903225806","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","5.0","1.0","5.0","0.16129032258064516","0.03225806451612903","1.0","1.0","1.0","0.03225806451612903","0.03225806451612903","6.0","2.0","12.0","0.1935483870967742","0.06451612903225806","5.0","1.0","5.0","0.16129032258064516","0.03225806451612903","2.0","2.0","4.0","0.06451612903225806","0.06451612903225806","6.0","2.0","12.0","0.1935483870967742","0.06451612903225806","1.0","3.0","3.0","0.03225806451612903","0.0967741935483871","1.0","1.0","1.0","0.03225806451612903","0.03225806451612903","2.0","2.0","4.0","0.06451612903225806","0.06451612903225806","2.0","3.0","6.0","0.06451612903225806","0.0967741935483871","1.0","2.0","2.0","0.03225806451612903","0.06451612903225806","2.0","2.0","4.0","0.06451612903225806","0.06451612903225806","1.0","3.0","3.0","0.03225806451612903","0.0967741935483871","1.0","1.0","1.0","0.03225806451612903","0.03225806451612903","3.0","2.0","6.0","0.0967741935483871","0.06451612903225806","1.0","1.0","1.0","0.03225806451612903","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","6.0","1.0","6.0","0.1935483870967742","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","6.0","0.0","0.0","0.1935483870967742","0.0","1.0","15.0","15.0","0.03225806451612903","0.4838709677419355","18.0","13.0","234.0","0.5806451612903226","0.41935483870967744","0.0","14.0","0.0","0.0","0.45161290322580644","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","1.0","3.0","3.0","0.03225806451612903","0.0967741935483871","2.0","8.0","16.0","0.06451612903225806","0.25806451612903225","1.0","2.0","2.0","0.03225806451612903","0.06451612903225806","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","5.0","1.0","5.0","0.16129032258064516","0.03225806451612903","1.0","1.0","1.0","0.03225806451612903","0.03225806451612903","6.0","2.0","12.0","0.1935483870967742","0.06451612903225806","5.0","1.0","5.0","0.16129032258064516","0.03225806451612903","2.0","2.0","4.0","0.06451612903225806","0.06451612903225806","6.0","2.0","12.0","0.1935483870967742","0.06451612903225806","1.0","3.0","3.0","0.03225806451612903","0.0967741935483871","1.0","1.0","1.0","0.03225806451612903","0.03225806451612903","2.0","2.0","4.0","0.06451612903225806","0.06451612903225806","2.0","3.0","6.0","0.06451612903225806","0.0967741935483871","1.0","2.0","2.0","0.03225806451612903","0.06451612903225806","2.0","2.0","4.0","0.06451612903225806","0.06451612903225806","1.0","3.0","3.0","0.03225806451612903","0.0967741935483871","1.0","1.0","1.0","0.03225806451612903","0.03225806451612903","3.0","2.0","6.0","0.0967741935483871","0.06451612903225806","1.0","1.0","1.0","0.03225806451612903","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","6.0","1.0","6.0","0.1935483870967742","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","6.0","0.0","0.0","0.1935483870967742","0.0","1.0","15.0","15.0","0.03225806451612903","0.4838709677419355","18.0","13.0","234.0","0.5806451612903226","0.41935483870967744","0.0","14.0","0.0","0.0","0.45161290322580644","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","1.0","3.0","3.0","0.03125","0.09375","2.0","9.0","18.0","0.0625","0.28125","1.0","2.0","2.0","0.03125","0.0625","2.0","1.0","2.0","0.0625","0.03125","5.0","1.0","5.0","0.15625","0.03125","1.0","1.0","1.0","0.03125","0.03125","6.0","2.0","12.0","0.1875","0.0625","5.0","1.0","5.0","0.15625","0.03125","2.0","2.0","4.0","0.0625","0.0625","6.0","2.0","12.0","0.1875","0.0625","1.0","3.0","3.0","0.03125","0.09375","1.0","1.0","1.0","0.03125","0.03125","2.0","2.0","4.0","0.0625","0.0625","2.0","3.0","6.0","0.0625","0.09375","1.0","2.0","2.0","0.03125","0.0625","2.0","2.0","4.0","0.0625","0.0625","1.0","3.0","3.0","0.03125","0.09375","1.0","1.0","1.0","0.03125","0.03125","3.0","2.0","6.0","0.09375","0.0625","1.0","1.0","1.0","0.03125","0.03125","2.0","1.0","2.0","0.0625","0.03125","6.0","1.0","6.0","0.1875","0.03125","2.0","1.0","2.0","0.0625","0.03125","7.0","0.0","0.0","0.21875","0.0","1.0","16.0","16.0","0.03125","0.5","18.0","13.0","234.0","0.5625","0.40625","0.0","15.0","0.0","0.0","0.46875","3.0","1.0","3.0","0.09375","0.03125","2.0","1.0","2.0","0.0625","0.03125","3.0","1.0","3.0","0.09375","0.03125","3.0","1.0","3.0","0.09375","0.03125","3.0","1.0","3.0","0.09375","0.03125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","1.0","3.0","3.0","0.03125","0.09375","2.0","9.0","18.0","0.0625","0.28125","1.0","2.0","2.0","0.03125","0.0625","2.0","1.0","2.0","0.0625","0.03125","5.0","1.0","5.0","0.15625","0.03125","1.0","1.0","1.0","0.03125","0.03125","6.0","2.0","12.0","0.1875","0.0625","5.0","1.0","5.0","0.15625","0.03125","2.0","2.0","4.0","0.0625","0.0625","6.0","2.0","12.0","0.1875","0.0625","1.0","3.0","3.0","0.03125","0.09375","1.0","1.0","1.0","0.03125","0.03125","2.0","2.0","4.0","0.0625","0.0625","2.0","3.0","6.0","0.0625","0.09375","1.0","2.0","2.0","0.03125","0.0625","2.0","2.0","4.0","0.0625","0.0625","1.0","3.0","3.0","0.03125","0.09375","1.0","1.0","1.0","0.03125","0.03125","3.0","2.0","6.0","0.09375","0.0625","1.0","1.0","1.0","0.03125","0.03125","2.0","1.0","2.0","0.0625","0.03125","6.0","1.0","6.0","0.1875","0.03125","2.0","1.0","2.0","0.0625","0.03125","7.0","0.0","0.0","0.21875","0.0","1.0","16.0","16.0","0.03125","0.5","18.0","13.0","234.0","0.5625","0.40625","0.0","15.0","0.0","0.0","0.46875","3.0","1.0","3.0","0.09375","0.03125","2.0","1.0","2.0","0.0625","0.03125","3.0","1.0","3.0","0.09375","0.03125","3.0","1.0","3.0","0.09375","0.03125","3.0","1.0","3.0","0.09375","0.03125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","1.0","3.0","3.0","0.03125","0.09375","2.0","9.0","18.0","0.0625","0.28125","1.0","2.0","2.0","0.03125","0.0625","2.0","1.0","2.0","0.0625","0.03125","5.0","1.0","5.0","0.15625","0.03125","1.0","1.0","1.0","0.03125","0.03125","6.0","2.0","12.0","0.1875","0.0625","5.0","1.0","5.0","0.15625","0.03125","2.0","2.0","4.0","0.0625","0.0625","6.0","2.0","12.0","0.1875","0.0625","1.0","3.0","3.0","0.03125","0.09375","1.0","1.0","1.0","0.03125","0.03125","2.0","2.0","4.0","0.0625","0.0625","2.0","3.0","6.0","0.0625","0.09375","1.0","2.0","2.0","0.03125","0.0625","2.0","2.0","4.0","0.0625","0.0625","1.0","3.0","3.0","0.03125","0.09375","1.0","1.0","1.0","0.03125","0.03125","3.0","2.0","6.0","0.09375","0.0625","1.0","1.0","1.0","0.03125","0.03125","2.0","1.0","2.0","0.0625","0.03125","6.0","1.0","6.0","0.1875","0.03125","2.0","1.0","2.0","0.0625","0.03125","7.0","0.0","0.0","0.21875","0.0","1.0","16.0","16.0","0.03125","0.5","18.0","13.0","234.0","0.5625","0.40625","0.0","15.0","0.0","0.0","0.46875","3.0","1.0","3.0","0.09375","0.03125","2.0","1.0","2.0","0.0625","0.03125","3.0","1.0","3.0","0.09375","0.03125","3.0","1.0","3.0","0.09375","0.03125","3.0","1.0","3.0","0.09375","0.03125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","1.0","3.0","3.0","0.030303030303030304","0.09090909090909091","2.0","10.0","20.0","0.06060606060606061","0.30303030303030304","1.0","2.0","2.0","0.030303030303030304","0.06060606060606061","2.0","1.0","2.0","0.06060606060606061","0.030303030303030304","5.0","1.0","5.0","0.15151515151515152","0.030303030303030304","1.0","1.0","1.0","0.030303030303030304","0.030303030303030304","6.0","2.0","12.0","0.18181818181818182","0.06060606060606061","5.0","1.0","5.0","0.15151515151515152","0.030303030303030304","2.0","2.0","4.0","0.06060606060606061","0.06060606060606061","6.0","2.0","12.0","0.18181818181818182","0.06060606060606061","1.0","3.0","3.0","0.030303030303030304","0.09090909090909091","1.0","1.0","1.0","0.030303030303030304","0.030303030303030304","2.0","2.0","4.0","0.06060606060606061","0.06060606060606061","2.0","3.0","6.0","0.06060606060606061","0.09090909090909091","1.0","2.0","2.0","0.030303030303030304","0.06060606060606061","2.0","2.0","4.0","0.06060606060606061","0.06060606060606061","1.0","3.0","3.0","0.030303030303030304","0.09090909090909091","1.0","1.0","1.0","0.030303030303030304","0.030303030303030304","3.0","2.0","6.0","0.09090909090909091","0.06060606060606061","1.0","1.0","1.0","0.030303030303030304","0.030303030303030304","2.0","1.0","2.0","0.06060606060606061","0.030303030303030304","6.0","1.0","6.0","0.18181818181818182","0.030303030303030304","2.0","1.0","2.0","0.06060606060606061","0.030303030303030304","8.0","0.0","0.0","0.24242424242424243","0.0","1.0","17.0","17.0","0.030303030303030304","0.5151515151515151","18.0","13.0","234.0","0.5454545454545454","0.3939393939393939","0.0","16.0","0.0","0.0","0.48484848484848486","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","2.0","1.0","2.0","0.06060606060606061","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19","1.0","3.0","3.0","0.030303030303030304","0.09090909090909091","2.0","10.0","20.0","0.06060606060606061","0.30303030303030304","1.0","2.0","2.0","0.030303030303030304","0.06060606060606061","2.0","1.0","2.0","0.06060606060606061","0.030303030303030304","5.0","1.0","5.0","0.15151515151515152","0.030303030303030304","1.0","1.0","1.0","0.030303030303030304","0.030303030303030304","6.0","2.0","12.0","0.18181818181818182","0.06060606060606061","5.0","1.0","5.0","0.15151515151515152","0.030303030303030304","2.0","2.0","4.0","0.06060606060606061","0.06060606060606061","6.0","2.0","12.0","0.18181818181818182","0.06060606060606061","1.0","3.0","3.0","0.030303030303030304","0.09090909090909091","1.0","1.0","1.0","0.030303030303030304","0.030303030303030304","2.0","2.0","4.0","0.06060606060606061","0.06060606060606061","2.0","3.0","6.0","0.06060606060606061","0.09090909090909091","1.0","2.0","2.0","0.030303030303030304","0.06060606060606061","2.0","2.0","4.0","0.06060606060606061","0.06060606060606061","1.0","3.0","3.0","0.030303030303030304","0.09090909090909091","1.0","1.0","1.0","0.030303030303030304","0.030303030303030304","3.0","2.0","6.0","0.09090909090909091","0.06060606060606061","1.0","1.0","1.0","0.030303030303030304","0.030303030303030304","2.0","1.0","2.0","0.06060606060606061","0.030303030303030304","6.0","1.0","6.0","0.18181818181818182","0.030303030303030304","2.0","1.0","2.0","0.06060606060606061","0.030303030303030304","8.0","0.0","0.0","0.24242424242424243","0.0","1.0","17.0","17.0","0.030303030303030304","0.5151515151515151","18.0","13.0","234.0","0.5454545454545454","0.3939393939393939","0.0","16.0","0.0","0.0","0.48484848484848486","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","2.0","1.0","2.0","0.06060606060606061","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"20","1.0","3.0","3.0","0.030303030303030304","0.09090909090909091","2.0","10.0","20.0","0.06060606060606061","0.30303030303030304","1.0","2.0","2.0","0.030303030303030304","0.06060606060606061","2.0","1.0","2.0","0.06060606060606061","0.030303030303030304","5.0","1.0","5.0","0.15151515151515152","0.030303030303030304","1.0","1.0","1.0","0.030303030303030304","0.030303030303030304","6.0","2.0","12.0","0.18181818181818182","0.06060606060606061","5.0","1.0","5.0","0.15151515151515152","0.030303030303030304","2.0","2.0","4.0","0.06060606060606061","0.06060606060606061","6.0","2.0","12.0","0.18181818181818182","0.06060606060606061","1.0","3.0","3.0","0.030303030303030304","0.09090909090909091","1.0","1.0","1.0","0.030303030303030304","0.030303030303030304","2.0","2.0","4.0","0.06060606060606061","0.06060606060606061","2.0","3.0","6.0","0.06060606060606061","0.09090909090909091","1.0","2.0","2.0","0.030303030303030304","0.06060606060606061","2.0","2.0","4.0","0.06060606060606061","0.06060606060606061","1.0","3.0","3.0","0.030303030303030304","0.09090909090909091","1.0","1.0","1.0","0.030303030303030304","0.030303030303030304","3.0","2.0","6.0","0.09090909090909091","0.06060606060606061","1.0","1.0","1.0","0.030303030303030304","0.030303030303030304","2.0","1.0","2.0","0.06060606060606061","0.030303030303030304","6.0","1.0","6.0","0.18181818181818182","0.030303030303030304","2.0","1.0","2.0","0.06060606060606061","0.030303030303030304","8.0","0.0","0.0","0.24242424242424243","0.0","1.0","17.0","17.0","0.030303030303030304","0.5151515151515151","18.0","13.0","234.0","0.5454545454545454","0.3939393939393939","0.0","16.0","0.0","0.0","0.48484848484848486","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","2.0","1.0","2.0","0.06060606060606061","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"21","1.0","3.0","3.0","0.02857142857142857","0.08571428571428572","2.0","12.0","24.0","0.05714285714285714","0.34285714285714286","1.0","2.0","2.0","0.02857142857142857","0.05714285714285714","2.0","1.0","2.0","0.05714285714285714","0.02857142857142857","5.0","1.0","5.0","0.14285714285714285","0.02857142857142857","1.0","1.0","1.0","0.02857142857142857","0.02857142857142857","6.0","2.0","12.0","0.17142857142857143","0.05714285714285714","5.0","1.0","5.0","0.14285714285714285","0.02857142857142857","2.0","2.0","4.0","0.05714285714285714","0.05714285714285714","6.0","2.0","12.0","0.17142857142857143","0.05714285714285714","1.0","3.0","3.0","0.02857142857142857","0.08571428571428572","1.0","1.0","1.0","0.02857142857142857","0.02857142857142857","2.0","2.0","4.0","0.05714285714285714","0.05714285714285714","2.0","3.0","6.0","0.05714285714285714","0.08571428571428572","1.0","2.0","2.0","0.02857142857142857","0.05714285714285714","2.0","2.0","4.0","0.05714285714285714","0.05714285714285714","1.0","3.0","3.0","0.02857142857142857","0.08571428571428572","1.0","1.0","1.0","0.02857142857142857","0.02857142857142857","3.0","2.0","6.0","0.08571428571428572","0.05714285714285714","1.0","1.0","1.0","0.02857142857142857","0.02857142857142857","2.0","1.0","2.0","0.05714285714285714","0.02857142857142857","6.0","1.0","6.0","0.17142857142857143","0.02857142857142857","2.0","1.0","2.0","0.05714285714285714","0.02857142857142857","10.0","0.0","0.0","0.2857142857142857","0.0","1.0","19.0","19.0","0.02857142857142857","0.5428571428571428","18.0","13.0","234.0","0.5142857142857142","0.37142857142857144","0.0","18.0","0.0","0.0","0.5142857142857142","3.0","1.0","3.0","0.08571428571428572","0.02857142857142857","2.0","1.0","2.0","0.05714285714285714","0.02857142857142857","3.0","1.0","3.0","0.08571428571428572","0.02857142857142857","3.0","1.0","3.0","0.08571428571428572","0.02857142857142857","3.0","1.0","3.0","0.08571428571428572","0.02857142857142857","3.0","1.0","3.0","0.08571428571428572","0.02857142857142857","3.0","1.0","3.0","0.08571428571428572","0.02857142857142857","3.0","1.0","3.0","0.08571428571428572","0.02857142857142857"
