"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2619048","0.5732601","0.21428571428571427","2.7857142857142856","4.0","0","4.0","0.1704545","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","9.0","0.02901354","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","10.0","0","1.0","0","4.0","0"
"11","0.2619048","0.5732601","0.21428571428571427","2.7857142857142856","4.0","0","4.0","0.1715686","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","9.0","0.02831715","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","10.0","0","1.0","0","4.0","0"
"12","0.2619048","0.5732601","0.21428571428571427","2.7857142857142856","4.0","0","4.0","0.1709402","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","9.0","0.02747253","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","10.0","0","1.0","0","4.0","0"
"13","0.2619048","0.5732601","0.21428571428571427","2.7857142857142856","4.0","0","4.0","0.1691729","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","9.0","0.02656434","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","10.0","0","1.0","0","4.0","0"
"14","0.2619048","0.5732601","0.21428571428571427","2.7857142857142856","4.0","0","4.0","0.1666667","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","9.0","0.02564103","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","10.0","0","1.0","0","4.0","0"
"15","0.2619048","0.5732601","0.21428571428571427","2.7857142857142856","4.0","0","4.0","0.1636905","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","9.0","0.02473022","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","10.0","0","1.0","0","4.0","0"
"16","0.2619048","0.5732601","0.21428571428571427","2.7857142857142856","4.0","0","4.0","0.1604278","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","9.0","0.02384738","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","10.0","0","1.0","0","4.0","0"
"17","0.2619048","0.5732601","0.21428571428571427","2.7857142857142856","4.0","0","4.0","0.1570048","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","9.0","0.02300071","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","10.0","0","1.0","0","4.0","0"
"18","0.2619048","0.5732601","0.21428571428571427","2.7857142857142856","4.0","0","4.0","0.1535088","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","9.0","0.02219404","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","10.0","0","1.0","0","4.0","0"
"19","0.2619048","0.5732601","0.21428571428571427","2.7857142857142856","4.0","0","4.0","0.15","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","9.0","0.02142857","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","10.0","0","1.0","0","4.0","0"
"20","0.2619048","0.5732601","0.21428571428571427","2.7857142857142856","4.0","0","4.0","0.1465201","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","9.0","0.02070393","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","10.0","0","1.0","0","4.0","0"
