"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS"
"11","3.0","2.0","6.0","0.23076923076923078","0.15384615384615385","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","3.0","0.0","0.0","0.23076923076923078","0.0","6.0","2.0","12.0","0.46153846153846156","0.15384615384615385","2.0","4.0","8.0","0.15384615384615385","0.3076923076923077","3.0","0.0","0.0","0.23076923076923078","0.0","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","4.0","2.0","8.0","0.3076923076923077","0.15384615384615385","4.0","0.0","0.0","0.3076923076923077","0.0","0.0","12.0","0.0","0.0","0.9230769230769231","1.0","11.0","11.0","0.07692307692307693","0.8461538461538461","3.0","0.0","0.0","0.23076923076923078","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","3.0","2.0","6.0","0.23076923076923078","0.15384615384615385","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","3.0","0.0","0.0","0.23076923076923078","0.0","6.0","2.0","12.0","0.46153846153846156","0.15384615384615385","2.0","4.0","8.0","0.15384615384615385","0.3076923076923077","3.0","0.0","0.0","0.23076923076923078","0.0","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","4.0","2.0","8.0","0.3076923076923077","0.15384615384615385","4.0","0.0","0.0","0.3076923076923077","0.0","0.0","12.0","0.0","0.0","0.9230769230769231","1.0","11.0","11.0","0.07692307692307693","0.8461538461538461","3.0","0.0","0.0","0.23076923076923078","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","3.0","2.0","6.0","0.23076923076923078","0.15384615384615385","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","3.0","0.0","0.0","0.23076923076923078","0.0","6.0","2.0","12.0","0.46153846153846156","0.15384615384615385","2.0","4.0","8.0","0.15384615384615385","0.3076923076923077","3.0","0.0","0.0","0.23076923076923078","0.0","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","4.0","2.0","8.0","0.3076923076923077","0.15384615384615385","4.0","0.0","0.0","0.3076923076923077","0.0","0.0","12.0","0.0","0.0","0.9230769230769231","1.0","11.0","11.0","0.07692307692307693","0.8461538461538461","3.0","0.0","0.0","0.23076923076923078","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","3.0","2.0","6.0","0.21428571428571427","0.14285714285714285","2.0","2.0","4.0","0.14285714285714285","0.14285714285714285","3.0","0.0","0.0","0.21428571428571427","0.0","6.0","2.0","12.0","0.42857142857142855","0.14285714285714285","2.0","5.0","10.0","0.14285714285714285","0.35714285714285715","3.0","0.0","0.0","0.21428571428571427","0.0","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","4.0","2.0","8.0","0.2857142857142857","0.14285714285714285","4.0","0.0","0.0","0.2857142857142857","0.0","0.0","13.0","0.0","0.0","0.9285714285714286","1.0","12.0","12.0","0.07142857142857142","0.8571428571428571","3.0","0.0","0.0","0.21428571428571427","0.0","3.0","0.0","0.0","0.21428571428571427","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","3.0","2.0","6.0","0.21428571428571427","0.14285714285714285","2.0","2.0","4.0","0.14285714285714285","0.14285714285714285","3.0","0.0","0.0","0.21428571428571427","0.0","6.0","2.0","12.0","0.42857142857142855","0.14285714285714285","2.0","5.0","10.0","0.14285714285714285","0.35714285714285715","3.0","0.0","0.0","0.21428571428571427","0.0","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","4.0","2.0","8.0","0.2857142857142857","0.14285714285714285","4.0","0.0","0.0","0.2857142857142857","0.0","0.0","13.0","0.0","0.0","0.9285714285714286","1.0","12.0","12.0","0.07142857142857142","0.8571428571428571","3.0","0.0","0.0","0.21428571428571427","0.0","3.0","0.0","0.0","0.21428571428571427","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","3.0","2.0","6.0","0.21428571428571427","0.14285714285714285","2.0","2.0","4.0","0.14285714285714285","0.14285714285714285","3.0","0.0","0.0","0.21428571428571427","0.0","6.0","2.0","12.0","0.42857142857142855","0.14285714285714285","2.0","5.0","10.0","0.14285714285714285","0.35714285714285715","3.0","0.0","0.0","0.21428571428571427","0.0","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","4.0","2.0","8.0","0.2857142857142857","0.14285714285714285","4.0","0.0","0.0","0.2857142857142857","0.0","0.0","13.0","0.0","0.0","0.9285714285714286","1.0","12.0","12.0","0.07142857142857142","0.8571428571428571","3.0","0.0","0.0","0.21428571428571427","0.0","3.0","0.0","0.0","0.21428571428571427","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","3.0","2.0","6.0","0.21428571428571427","0.14285714285714285","2.0","2.0","4.0","0.14285714285714285","0.14285714285714285","3.0","0.0","0.0","0.21428571428571427","0.0","6.0","2.0","12.0","0.42857142857142855","0.14285714285714285","2.0","5.0","10.0","0.14285714285714285","0.35714285714285715","3.0","0.0","0.0","0.21428571428571427","0.0","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","4.0","2.0","8.0","0.2857142857142857","0.14285714285714285","4.0","0.0","0.0","0.2857142857142857","0.0","0.0","13.0","0.0","0.0","0.9285714285714286","1.0","12.0","12.0","0.07142857142857142","0.8571428571428571","3.0","0.0","0.0","0.21428571428571427","0.0","3.0","0.0","0.0","0.21428571428571427","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","3.0","2.0","6.0","0.21428571428571427","0.14285714285714285","2.0","2.0","4.0","0.14285714285714285","0.14285714285714285","3.0","0.0","0.0","0.21428571428571427","0.0","6.0","2.0","12.0","0.42857142857142855","0.14285714285714285","2.0","5.0","10.0","0.14285714285714285","0.35714285714285715","3.0","0.0","0.0","0.21428571428571427","0.0","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","4.0","2.0","8.0","0.2857142857142857","0.14285714285714285","4.0","0.0","0.0","0.2857142857142857","0.0","0.0","13.0","0.0","0.0","0.9285714285714286","1.0","12.0","12.0","0.07142857142857142","0.8571428571428571","3.0","0.0","0.0","0.21428571428571427","0.0","3.0","0.0","0.0","0.21428571428571427","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19","3.0","2.0","6.0","0.21428571428571427","0.14285714285714285","2.0","2.0","4.0","0.14285714285714285","0.14285714285714285","3.0","0.0","0.0","0.21428571428571427","0.0","6.0","2.0","12.0","0.42857142857142855","0.14285714285714285","2.0","5.0","10.0","0.14285714285714285","0.35714285714285715","3.0","0.0","0.0","0.21428571428571427","0.0","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","4.0","2.0","8.0","0.2857142857142857","0.14285714285714285","4.0","0.0","0.0","0.2857142857142857","0.0","0.0","13.0","0.0","0.0","0.9285714285714286","1.0","12.0","12.0","0.07142857142857142","0.8571428571428571","3.0","0.0","0.0","0.21428571428571427","0.0","3.0","0.0","0.0","0.21428571428571427","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"20","3.0","2.0","6.0","0.2","0.13333333333333333","2.0","2.0","4.0","0.13333333333333333","0.13333333333333333","3.0","0.0","0.0","0.2","0.0","6.0","2.0","12.0","0.4","0.13333333333333333","2.0","6.0","12.0","0.13333333333333333","0.4","3.0","0.0","0.0","0.2","0.0","3.0","1.0","3.0","0.2","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","4.0","2.0","8.0","0.26666666666666666","0.13333333333333333","4.0","0.0","0.0","0.26666666666666666","0.0","0.0","14.0","0.0","0.0","0.9333333333333333","1.0","12.0","12.0","0.06666666666666667","0.8","3.0","0.0","0.0","0.2","0.0","3.0","0.0","0.0","0.2","0.0","2.0","0.0","0.0","0.13333333333333333","0.0","0.0","0.0","0.0","0.0","0.0"
"21","3.0","2.0","6.0","0.1875","0.125","2.0","2.0","4.0","0.125","0.125","3.0","0.0","0.0","0.1875","0.0","6.0","2.0","12.0","0.375","0.125","2.0","7.0","14.0","0.125","0.4375","3.0","0.0","0.0","0.1875","0.0","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","4.0","2.0","8.0","0.25","0.125","4.0","0.0","0.0","0.25","0.0","0.0","15.0","0.0","0.0","0.9375","1.0","13.0","13.0","0.0625","0.8125","3.0","0.0","0.0","0.1875","0.0","3.0","0.0","0.0","0.1875","0.0","2.0","0.0","0.0","0.125","0.0","3.0","0.0","0.0","0.1875","0.0"
