"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS"
"11","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","2.0","5.0","10.0","0.2222222222222222","0.5555555555555556","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","4.0","1.0","4.0","0.4444444444444444","0.1111111111111111","4.0","0.0","0.0","0.4444444444444444","0.0","0.0","7.0","0.0","0.0","0.7777777777777778","1.0","7.0","7.0","0.1111111111111111","0.7777777777777778","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","2.0","5.0","10.0","0.2222222222222222","0.5555555555555556","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","4.0","1.0","4.0","0.4444444444444444","0.1111111111111111","4.0","0.0","0.0","0.4444444444444444","0.0","0.0","7.0","0.0","0.0","0.7777777777777778","1.0","7.0","7.0","0.1111111111111111","0.7777777777777778","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","3.0","1.0","3.0","0.3","0.1","2.0","3.0","6.0","0.2","0.3","3.0","1.0","3.0","0.3","0.1","3.0","0.0","0.0","0.3","0.0","3.0","1.0","3.0","0.3","0.1","4.0","1.0","4.0","0.4","0.1","4.0","0.0","0.0","0.4","0.0","0.0","8.0","0.0","0.0","0.8","1.0","8.0","8.0","0.1","0.8","2.0","2.0","4.0","0.2","0.2","0.0","0.0","0.0","0.0","0.0"
"14","3.0","1.0","3.0","0.3","0.1","2.0","3.0","6.0","0.2","0.3","3.0","1.0","3.0","0.3","0.1","3.0","0.0","0.0","0.3","0.0","3.0","1.0","3.0","0.3","0.1","4.0","1.0","4.0","0.4","0.1","4.0","0.0","0.0","0.4","0.0","0.0","8.0","0.0","0.0","0.8","1.0","8.0","8.0","0.1","0.8","2.0","2.0","4.0","0.2","0.2","0.0","0.0","0.0","0.0","0.0"
"15","3.0","1.0","3.0","0.3","0.1","2.0","3.0","6.0","0.2","0.3","3.0","1.0","3.0","0.3","0.1","3.0","0.0","0.0","0.3","0.0","3.0","1.0","3.0","0.3","0.1","4.0","1.0","4.0","0.4","0.1","4.0","0.0","0.0","0.4","0.0","0.0","8.0","0.0","0.0","0.8","1.0","8.0","8.0","0.1","0.8","2.0","2.0","4.0","0.2","0.2","0.0","0.0","0.0","0.0","0.0"
"16","3.0","1.0","3.0","0.3","0.1","2.0","3.0","6.0","0.2","0.3","3.0","1.0","3.0","0.3","0.1","3.0","0.0","0.0","0.3","0.0","3.0","1.0","3.0","0.3","0.1","4.0","1.0","4.0","0.4","0.1","4.0","0.0","0.0","0.4","0.0","0.0","8.0","0.0","0.0","0.8","1.0","8.0","8.0","0.1","0.8","2.0","2.0","4.0","0.2","0.2","0.0","0.0","0.0","0.0","0.0"
"17","3.0","1.0","3.0","0.3","0.1","2.0","3.0","6.0","0.2","0.3","3.0","1.0","3.0","0.3","0.1","3.0","0.0","0.0","0.3","0.0","3.0","1.0","3.0","0.3","0.1","4.0","1.0","4.0","0.4","0.1","4.0","0.0","0.0","0.4","0.0","0.0","8.0","0.0","0.0","0.8","1.0","8.0","8.0","0.1","0.8","2.0","2.0","4.0","0.2","0.2","0.0","0.0","0.0","0.0","0.0"
"18","3.0","1.0","3.0","0.3","0.1","2.0","3.0","6.0","0.2","0.3","3.0","1.0","3.0","0.3","0.1","3.0","0.0","0.0","0.3","0.0","3.0","1.0","3.0","0.3","0.1","4.0","1.0","4.0","0.4","0.1","4.0","0.0","0.0","0.4","0.0","0.0","8.0","0.0","0.0","0.8","1.0","8.0","8.0","0.1","0.8","2.0","2.0","4.0","0.2","0.2","0.0","0.0","0.0","0.0","0.0"
"19","3.0","1.0","3.0","0.3","0.1","2.0","3.0","6.0","0.2","0.3","3.0","1.0","3.0","0.3","0.1","3.0","0.0","0.0","0.3","0.0","3.0","1.0","3.0","0.3","0.1","4.0","1.0","4.0","0.4","0.1","4.0","0.0","0.0","0.4","0.0","0.0","8.0","0.0","0.0","0.8","1.0","8.0","8.0","0.1","0.8","2.0","2.0","4.0","0.2","0.2","0.0","0.0","0.0","0.0","0.0"
"20","3.0","1.0","3.0","0.3","0.1","2.0","3.0","6.0","0.2","0.3","3.0","1.0","3.0","0.3","0.1","3.0","0.0","0.0","0.3","0.0","3.0","1.0","3.0","0.3","0.1","4.0","1.0","4.0","0.4","0.1","4.0","0.0","0.0","0.4","0.0","0.0","8.0","0.0","0.0","0.8","1.0","8.0","8.0","0.1","0.8","2.0","2.0","4.0","0.2","0.2","0.0","0.0","0.0","0.0","0.0"
"21","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","0.0","0.0","0.2727272727272727","0.0","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","4.0","0.0","0.0","0.36363636363636365","0.0","0.0","9.0","0.0","0.0","0.8181818181818182","1.0","8.0","8.0","0.09090909090909091","0.7272727272727273","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","1.0","1.0","1.0","0.09090909090909091","0.09090909090909091"
