"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","BA15-ADS","BA15-GINI -ADS","BA15-AIS","BA15-GINI -AIS","BA16-ADS","BA16-GINI -ADS","BA16-AIS","BA16-GINI -AIS","BA17-ADS","BA17-GINI -ADS","BA17-AIS","BA17-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.3381818","0.6963636","0.10822510822510822","2.272727272727273","3.0","0","6.0","0.1696970","1.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","1.0","0","0.0","0","2.0","0","1.0","0","1.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","3.0","0","0.0","0","5.0","0","0.0","0","1.0","0","9.0","0.02679426","7.0","0","11.0","0","0.0","0","9.0","0","1.0","0","6.0","0"
"11","0.3381818","0.6963636","0.10822510822510822","2.272727272727273","3.0","0","6.0","0.1666667","1.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","1.0","0","0.0","0","2.0","0","1.0","0","1.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","3.0","0","0.0","0","5.0","0","0.0","0","1.0","0","9.0","0.02564103","7.0","0","11.0","0","0.0","0","9.0","0","1.0","0","6.0","0"
"12","0.3381818","0.6963636","0.10822510822510822","2.272727272727273","3.0","0","6.0","0.1628959","1.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","1.0","0","0.0","0","2.0","0","1.0","0","1.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","3.0","0","0.0","0","5.0","0","0.0","0","1.0","0","9.0","0.02450647","7.0","0","11.0","0","0.0","0","9.0","0","1.0","0","6.0","0"
"13","0.3381818","0.6963636","0.10822510822510822","2.272727272727273","3.0","0","6.0","0.1587302","1.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","1.0","0","0.0","0","2.0","0","1.0","0","1.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","3.0","0","0.0","0","5.0","0","0.0","0","1.0","0","9.0","0.02341920","7.0","0","11.0","0","0.0","0","9.0","0","1.0","0","6.0","0"
"14","0.3381818","0.6963636","0.10822510822510822","2.272727272727273","3.0","0","6.0","0.1543860","1.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","1.0","0","0.0","0","2.0","0","1.0","0","1.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","3.0","0","0.0","0","5.0","0","0.0","0","1.0","0","9.0","0.02239186","7.0","0","11.0","0","0.0","0","9.0","0","1.0","0","6.0","0"
"15","0.3381818","0.6963636","0.10822510822510822","2.272727272727273","3.0","0","6.0","0.15","1.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","1.0","0","0.0","0","2.0","0","1.0","0","1.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","3.0","0","0.0","0","5.0","0","0.0","0","1.0","0","9.0","0.02142857","7.0","0","11.0","0","0.0","0","9.0","0","1.0","0","6.0","0"
"16","0.3381818","0.6963636","0.10822510822510822","2.272727272727273","3.0","0","6.0","0.1456583","1.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","1.0","0","0.0","0","2.0","0","1.0","0","1.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","3.0","0","0.0","0","5.0","0","0.0","0","1.0","0","9.0","0.02052902","7.0","0","11.0","0","0.0","0","9.0","0","1.0","0","6.0","0"
"17","0.3381818","0.6963636","0.10822510822510822","2.272727272727273","3.0","0","6.0","0.1414141","1.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","1.0","0","0.0","0","2.0","0","1.0","0","1.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","3.0","0","0.0","0","5.0","0","0.0","0","1.0","0","9.0","0.01969058","7.0","0","11.0","0","0.0","0","9.0","0","1.0","0","6.0","0"
"18","0.3381818","0.6963636","0.10822510822510822","2.272727272727273","3.0","0","6.0","0.1372998","1.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","1.0","0","0.0","0","2.0","0","1.0","0","1.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","3.0","0","0.0","0","5.0","0","0.0","0","1.0","0","9.0","0.01890955","7.0","0","11.0","0","0.0","0","9.0","0","1.0","0","6.0","0"
"19","0.3381818","0.6963636","0.10822510822510822","2.272727272727273","3.0","0","6.0","0.1333333","1.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","1.0","0","0.0","0","2.0","0","1.0","0","1.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","3.0","0","0.0","0","5.0","0","0.0","0","1.0","0","9.0","0.01818182","7.0","0","11.0","0","0.0","0","9.0","0","1.0","0","6.0","0"
"20","0.3381818","0.6963636","0.10822510822510822","2.272727272727273","3.0","0","6.0","0.1295238","1.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","1.0","0","0.0","0","2.0","0","1.0","0","1.0","0","0.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","3.0","0","0.0","0","5.0","0","0.0","0","1.0","0","9.0","0.01750322","7.0","0","11.0","0","0.0","0","9.0","0","1.0","0","6.0","0"
