"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","BA7-ADS","BA7-AIS","BA7-ACS","BA7-RCS","BA7-RIS","BA8-ADS","BA8-AIS","BA8-ACS","BA8-RCS","BA8-RIS","BA9-ADS","BA9-AIS","BA9-ACS","BA9-RCS","BA9-RIS","BA10-ADS","BA10-AIS","BA10-ACS","BA10-RCS","BA10-RIS","BA11-ADS","BA11-AIS","BA11-ACS","BA11-RCS","BA11-RIS","BA12-ADS","BA12-AIS","BA12-ACS","BA12-RCS","BA12-RIS","BA13-ADS","BA13-AIS","BA13-ACS","BA13-RCS","BA13-RIS","BA14-ADS","BA14-AIS","BA14-ACS","BA14-RCS","BA14-RIS","BA15-ADS","BA15-AIS","BA15-ACS","BA15-RCS","BA15-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS","MSV7-ADS","MSV7-AIS","MSV7-ACS","MSV7-RCS","MSV7-RIS","MSV8-ADS","MSV8-AIS","MSV8-ACS","MSV8-RCS","MSV8-RIS","MSV9-ADS","MSV9-AIS","MSV9-ACS","MSV9-RCS","MSV9-RIS"
"11","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","8.0","16.0","0.08333333333333333","0.3333333333333333","2.0","3.0","6.0","0.08333333333333333","0.125","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","3.0","0.0","0.0","0.125","0.0","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","0.0","0.0","0.125","0.0","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","0.0","0.0","0.16666666666666666","0.0","2.0","0.0","0.0","0.08333333333333333","0.0","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","0.0","0.0","0.16666666666666666","0.0","3.0","0.0","0.0","0.125","0.0","4.0","0.0","0.0","0.16666666666666666","0.0","3.0","0.0","0.0","0.125","0.0","1.0","13.0","13.0","0.041666666666666664","0.5416666666666666","7.0","9.0","63.0","0.2916666666666667","0.375","1.0","10.0","10.0","0.041666666666666664","0.4166666666666667","1.0","20.0","20.0","0.041666666666666664","0.8333333333333334","3.0","0.0","0.0","0.125","0.0","3.0","0.0","0.0","0.125","0.0","3.0","0.0","0.0","0.125","0.0","4.0","0.0","0.0","0.16666666666666666","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","8.0","16.0","0.08333333333333333","0.3333333333333333","2.0","3.0","6.0","0.08333333333333333","0.125","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","3.0","0.0","0.0","0.125","0.0","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","0.0","0.0","0.125","0.0","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","0.0","0.0","0.16666666666666666","0.0","2.0","0.0","0.0","0.08333333333333333","0.0","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","0.0","0.0","0.16666666666666666","0.0","3.0","0.0","0.0","0.125","0.0","4.0","0.0","0.0","0.16666666666666666","0.0","3.0","0.0","0.0","0.125","0.0","1.0","13.0","13.0","0.041666666666666664","0.5416666666666666","7.0","9.0","63.0","0.2916666666666667","0.375","1.0","10.0","10.0","0.041666666666666664","0.4166666666666667","1.0","20.0","20.0","0.041666666666666664","0.8333333333333334","3.0","0.0","0.0","0.125","0.0","3.0","0.0","0.0","0.125","0.0","3.0","0.0","0.0","0.125","0.0","4.0","0.0","0.0","0.16666666666666666","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","8.0","16.0","0.08333333333333333","0.3333333333333333","2.0","3.0","6.0","0.08333333333333333","0.125","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","3.0","0.0","0.0","0.125","0.0","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","3.0","0.0","0.0","0.125","0.0","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","0.0","0.0","0.16666666666666666","0.0","2.0","0.0","0.0","0.08333333333333333","0.0","3.0","1.0","3.0","0.125","0.041666666666666664","4.0","0.0","0.0","0.16666666666666666","0.0","3.0","0.0","0.0","0.125","0.0","4.0","0.0","0.0","0.16666666666666666","0.0","3.0","0.0","0.0","0.125","0.0","1.0","13.0","13.0","0.041666666666666664","0.5416666666666666","7.0","9.0","63.0","0.2916666666666667","0.375","1.0","10.0","10.0","0.041666666666666664","0.4166666666666667","1.0","20.0","20.0","0.041666666666666664","0.8333333333333334","3.0","0.0","0.0","0.125","0.0","3.0","0.0","0.0","0.125","0.0","3.0","0.0","0.0","0.125","0.0","4.0","0.0","0.0","0.16666666666666666","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","2.0","1.0","2.0","0.08","0.04","2.0","9.0","18.0","0.08","0.36","2.0","3.0","6.0","0.08","0.12","2.0","1.0","2.0","0.08","0.04","3.0","0.0","0.0","0.12","0.0","3.0","1.0","3.0","0.12","0.04","3.0","1.0","3.0","0.12","0.04","3.0","0.0","0.0","0.12","0.0","3.0","1.0","3.0","0.12","0.04","4.0","0.0","0.0","0.16","0.0","2.0","0.0","0.0","0.08","0.0","3.0","1.0","3.0","0.12","0.04","4.0","0.0","0.0","0.16","0.0","3.0","0.0","0.0","0.12","0.0","4.0","0.0","0.0","0.16","0.0","3.0","0.0","0.0","0.12","0.0","1.0","14.0","14.0","0.04","0.56","7.0","9.0","63.0","0.28","0.36","1.0","10.0","10.0","0.04","0.4","1.0","20.0","20.0","0.04","0.8","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","4.0","0.0","0.0","0.16","0.0","2.0","0.0","0.0","0.08","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","2.0","1.0","2.0","0.08","0.04","2.0","9.0","18.0","0.08","0.36","2.0","3.0","6.0","0.08","0.12","2.0","1.0","2.0","0.08","0.04","3.0","0.0","0.0","0.12","0.0","3.0","1.0","3.0","0.12","0.04","3.0","1.0","3.0","0.12","0.04","3.0","0.0","0.0","0.12","0.0","3.0","1.0","3.0","0.12","0.04","4.0","0.0","0.0","0.16","0.0","2.0","0.0","0.0","0.08","0.0","3.0","1.0","3.0","0.12","0.04","4.0","0.0","0.0","0.16","0.0","3.0","0.0","0.0","0.12","0.0","4.0","0.0","0.0","0.16","0.0","3.0","0.0","0.0","0.12","0.0","1.0","14.0","14.0","0.04","0.56","7.0","9.0","63.0","0.28","0.36","1.0","10.0","10.0","0.04","0.4","1.0","20.0","20.0","0.04","0.8","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","3.0","0.0","0.0","0.12","0.0","4.0","0.0","0.0","0.16","0.0","2.0","0.0","0.0","0.08","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","10.0","20.0","0.07692307692307693","0.38461538461538464","2.0","3.0","6.0","0.07692307692307693","0.11538461538461539","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","3.0","0.0","0.0","0.11538461538461539","0.0","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","0.0","0.0","0.11538461538461539","0.0","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","4.0","0.0","0.0","0.15384615384615385","0.0","2.0","0.0","0.0","0.07692307692307693","0.0","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","4.0","0.0","0.0","0.15384615384615385","0.0","3.0","0.0","0.0","0.11538461538461539","0.0","4.0","0.0","0.0","0.15384615384615385","0.0","3.0","0.0","0.0","0.11538461538461539","0.0","1.0","15.0","15.0","0.038461538461538464","0.5769230769230769","7.0","9.0","63.0","0.2692307692307692","0.34615384615384615","1.0","10.0","10.0","0.038461538461538464","0.38461538461538464","1.0","20.0","20.0","0.038461538461538464","0.7692307692307693","3.0","0.0","0.0","0.11538461538461539","0.0","3.0","0.0","0.0","0.11538461538461539","0.0","3.0","0.0","0.0","0.11538461538461539","0.0","4.0","0.0","0.0","0.15384615384615385","0.0","2.0","0.0","0.0","0.07692307692307693","0.0","2.0","0.0","0.0","0.07692307692307693","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","10.0","20.0","0.07692307692307693","0.38461538461538464","2.0","3.0","6.0","0.07692307692307693","0.11538461538461539","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","3.0","0.0","0.0","0.11538461538461539","0.0","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","0.0","0.0","0.11538461538461539","0.0","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","4.0","0.0","0.0","0.15384615384615385","0.0","2.0","0.0","0.0","0.07692307692307693","0.0","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","4.0","0.0","0.0","0.15384615384615385","0.0","3.0","0.0","0.0","0.11538461538461539","0.0","4.0","0.0","0.0","0.15384615384615385","0.0","3.0","0.0","0.0","0.11538461538461539","0.0","1.0","15.0","15.0","0.038461538461538464","0.5769230769230769","7.0","9.0","63.0","0.2692307692307692","0.34615384615384615","1.0","10.0","10.0","0.038461538461538464","0.38461538461538464","1.0","20.0","20.0","0.038461538461538464","0.7692307692307693","3.0","0.0","0.0","0.11538461538461539","0.0","3.0","0.0","0.0","0.11538461538461539","0.0","3.0","0.0","0.0","0.11538461538461539","0.0","4.0","0.0","0.0","0.15384615384615385","0.0","2.0","0.0","0.0","0.07692307692307693","0.0","2.0","0.0","0.0","0.07692307692307693","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","10.0","20.0","0.07692307692307693","0.38461538461538464","2.0","3.0","6.0","0.07692307692307693","0.11538461538461539","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","3.0","0.0","0.0","0.11538461538461539","0.0","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","0.0","0.0","0.11538461538461539","0.0","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","4.0","0.0","0.0","0.15384615384615385","0.0","2.0","0.0","0.0","0.07692307692307693","0.0","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","4.0","0.0","0.0","0.15384615384615385","0.0","3.0","0.0","0.0","0.11538461538461539","0.0","4.0","0.0","0.0","0.15384615384615385","0.0","3.0","0.0","0.0","0.11538461538461539","0.0","1.0","15.0","15.0","0.038461538461538464","0.5769230769230769","7.0","9.0","63.0","0.2692307692307692","0.34615384615384615","1.0","10.0","10.0","0.038461538461538464","0.38461538461538464","1.0","20.0","20.0","0.038461538461538464","0.7692307692307693","3.0","0.0","0.0","0.11538461538461539","0.0","3.0","0.0","0.0","0.11538461538461539","0.0","3.0","0.0","0.0","0.11538461538461539","0.0","4.0","0.0","0.0","0.15384615384615385","0.0","2.0","0.0","0.0","0.07692307692307693","0.0","2.0","0.0","0.0","0.07692307692307693","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","10.0","20.0","0.07692307692307693","0.38461538461538464","2.0","3.0","6.0","0.07692307692307693","0.11538461538461539","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","3.0","0.0","0.0","0.11538461538461539","0.0","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","0.0","0.0","0.11538461538461539","0.0","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","4.0","0.0","0.0","0.15384615384615385","0.0","2.0","0.0","0.0","0.07692307692307693","0.0","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","4.0","0.0","0.0","0.15384615384615385","0.0","3.0","0.0","0.0","0.11538461538461539","0.0","4.0","0.0","0.0","0.15384615384615385","0.0","3.0","0.0","0.0","0.11538461538461539","0.0","1.0","15.0","15.0","0.038461538461538464","0.5769230769230769","7.0","9.0","63.0","0.2692307692307692","0.34615384615384615","1.0","10.0","10.0","0.038461538461538464","0.38461538461538464","1.0","20.0","20.0","0.038461538461538464","0.7692307692307693","3.0","0.0","0.0","0.11538461538461539","0.0","3.0","0.0","0.0","0.11538461538461539","0.0","3.0","0.0","0.0","0.11538461538461539","0.0","4.0","0.0","0.0","0.15384615384615385","0.0","2.0","0.0","0.0","0.07692307692307693","0.0","2.0","0.0","0.0","0.07692307692307693","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"20","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","10.0","20.0","0.07692307692307693","0.38461538461538464","2.0","3.0","6.0","0.07692307692307693","0.11538461538461539","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","3.0","0.0","0.0","0.11538461538461539","0.0","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","0.0","0.0","0.11538461538461539","0.0","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","4.0","0.0","0.0","0.15384615384615385","0.0","2.0","0.0","0.0","0.07692307692307693","0.0","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","4.0","0.0","0.0","0.15384615384615385","0.0","3.0","0.0","0.0","0.11538461538461539","0.0","4.0","0.0","0.0","0.15384615384615385","0.0","3.0","0.0","0.0","0.11538461538461539","0.0","1.0","15.0","15.0","0.038461538461538464","0.5769230769230769","7.0","9.0","63.0","0.2692307692307692","0.34615384615384615","1.0","10.0","10.0","0.038461538461538464","0.38461538461538464","1.0","20.0","20.0","0.038461538461538464","0.7692307692307693","3.0","0.0","0.0","0.11538461538461539","0.0","3.0","0.0","0.0","0.11538461538461539","0.0","3.0","0.0","0.0","0.11538461538461539","0.0","4.0","0.0","0.0","0.15384615384615385","0.0","2.0","0.0","0.0","0.07692307692307693","0.0","2.0","0.0","0.0","0.07692307692307693","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"21","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","13.0","26.0","0.06896551724137931","0.4482758620689655","2.0","3.0","6.0","0.06896551724137931","0.10344827586206896","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","3.0","0.0","0.0","0.10344827586206896","0.0","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","3.0","0.0","0.0","0.10344827586206896","0.0","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","4.0","0.0","0.0","0.13793103448275862","0.0","2.0","0.0","0.0","0.06896551724137931","0.0","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","4.0","0.0","0.0","0.13793103448275862","0.0","3.0","0.0","0.0","0.10344827586206896","0.0","4.0","0.0","0.0","0.13793103448275862","0.0","3.0","0.0","0.0","0.10344827586206896","0.0","1.0","18.0","18.0","0.034482758620689655","0.6206896551724138","7.0","9.0","63.0","0.2413793103448276","0.3103448275862069","1.0","12.0","12.0","0.034482758620689655","0.41379310344827586","1.0","23.0","23.0","0.034482758620689655","0.7931034482758621","3.0","0.0","0.0","0.10344827586206896","0.0","3.0","0.0","0.0","0.10344827586206896","0.0","3.0","0.0","0.0","0.10344827586206896","0.0","4.0","0.0","0.0","0.13793103448275862","0.0","2.0","0.0","0.0","0.06896551724137931","0.0","2.0","0.0","0.0","0.06896551724137931","0.0","4.0","0.0","0.0","0.13793103448275862","0.0","4.0","0.0","0.0","0.13793103448275862","0.0","3.0","0.0","0.0","0.10344827586206896","0.0"
