"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","BA7-ADS","BA7-AIS","BA7-ACS","BA7-RCS","BA7-RIS","BA8-ADS","BA8-AIS","BA8-ACS","BA8-RCS","BA8-RIS","BA9-ADS","BA9-AIS","BA9-ACS","BA9-RCS","BA9-RIS","BA10-ADS","BA10-AIS","BA10-ACS","BA10-RCS","BA10-RIS","BA11-ADS","BA11-AIS","BA11-ACS","BA11-RCS","BA11-RIS","BA12-ADS","BA12-AIS","BA12-ACS","BA12-RCS","BA12-RIS","BA13-ADS","BA13-AIS","BA13-ACS","BA13-RCS","BA13-RIS","BA14-ADS","BA14-AIS","BA14-ACS","BA14-RCS","BA14-RIS","BA15-ADS","BA15-AIS","BA15-ACS","BA15-RCS","BA15-RIS","BA16-ADS","BA16-AIS","BA16-ACS","BA16-RCS","BA16-RIS","BA17-ADS","BA17-AIS","BA17-ACS","BA17-RCS","BA17-RIS","BA18-ADS","BA18-AIS","BA18-ACS","BA18-RCS","BA18-RIS","BA19-ADS","BA19-AIS","BA19-ACS","BA19-RCS","BA19-RIS","BA20-ADS","BA20-AIS","BA20-ACS","BA20-RCS","BA20-RIS","BA21-ADS","BA21-AIS","BA21-ACS","BA21-RCS","BA21-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS","MSV7-ADS","MSV7-AIS","MSV7-ACS","MSV7-RCS","MSV7-RIS","MSV8-ADS","MSV8-AIS","MSV8-ACS","MSV8-RCS","MSV8-RIS"
"11","3.0","11.0","33.0","0.10344827586206896","0.3793103448275862","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","3.0","2.0","6.0","0.10344827586206896","0.06896551724137931","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","6.0","1.0","6.0","0.20689655172413793","0.034482758620689655","15.0","0.0","0.0","0.5172413793103449","0.0","0.0","17.0","0.0","0.0","0.5862068965517241","6.0","10.0","60.0","0.20689655172413793","0.3448275862068966","1.0","24.0","24.0","0.034482758620689655","0.8275862068965517","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","3.0","12.0","36.0","0.1","0.4","3.0","1.0","3.0","0.1","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","3.0","2.0","6.0","0.1","0.06666666666666667","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","3.0","2.0","6.0","0.1","0.06666666666666667","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","6.0","1.0","6.0","0.2","0.03333333333333333","16.0","0.0","0.0","0.5333333333333333","0.0","0.0","18.0","0.0","0.0","0.6","6.0","10.0","60.0","0.2","0.3333333333333333","1.0","24.0","24.0","0.03333333333333333","0.8","3.0","1.0","3.0","0.1","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","3.0","12.0","36.0","0.1","0.4","3.0","1.0","3.0","0.1","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","3.0","2.0","6.0","0.1","0.06666666666666667","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","3.0","2.0","6.0","0.1","0.06666666666666667","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","6.0","1.0","6.0","0.2","0.03333333333333333","16.0","0.0","0.0","0.5333333333333333","0.0","0.0","18.0","0.0","0.0","0.6","6.0","10.0","60.0","0.2","0.3333333333333333","1.0","24.0","24.0","0.03333333333333333","0.8","3.0","1.0","3.0","0.1","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","3.0","12.0","36.0","0.1","0.4","3.0","1.0","3.0","0.1","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","3.0","2.0","6.0","0.1","0.06666666666666667","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","3.0","2.0","6.0","0.1","0.06666666666666667","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","6.0","1.0","6.0","0.2","0.03333333333333333","16.0","0.0","0.0","0.5333333333333333","0.0","0.0","18.0","0.0","0.0","0.6","6.0","10.0","60.0","0.2","0.3333333333333333","1.0","24.0","24.0","0.03333333333333333","0.8","3.0","1.0","3.0","0.1","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","3.0","13.0","39.0","0.0967741935483871","0.41935483870967744","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","3.0","2.0","6.0","0.0967741935483871","0.06451612903225806","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","3.0","2.0","6.0","0.0967741935483871","0.06451612903225806","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","6.0","1.0","6.0","0.1935483870967742","0.03225806451612903","17.0","0.0","0.0","0.5483870967741935","0.0","0.0","19.0","0.0","0.0","0.6129032258064516","6.0","10.0","60.0","0.1935483870967742","0.3225806451612903","1.0","24.0","24.0","0.03225806451612903","0.7741935483870968","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","3.0","13.0","39.0","0.0967741935483871","0.41935483870967744","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","3.0","2.0","6.0","0.0967741935483871","0.06451612903225806","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","3.0","2.0","6.0","0.0967741935483871","0.06451612903225806","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","6.0","1.0","6.0","0.1935483870967742","0.03225806451612903","17.0","0.0","0.0","0.5483870967741935","0.0","0.0","19.0","0.0","0.0","0.6129032258064516","6.0","10.0","60.0","0.1935483870967742","0.3225806451612903","1.0","24.0","24.0","0.03225806451612903","0.7741935483870968","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","3.0","14.0","42.0","0.09375","0.4375","3.0","1.0","3.0","0.09375","0.03125","3.0","1.0","3.0","0.09375","0.03125","2.0","1.0","2.0","0.0625","0.03125","3.0","2.0","6.0","0.09375","0.0625","2.0","1.0","2.0","0.0625","0.03125","2.0","1.0","2.0","0.0625","0.03125","2.0","1.0","2.0","0.0625","0.03125","2.0","1.0","2.0","0.0625","0.03125","3.0","2.0","6.0","0.09375","0.0625","2.0","1.0","2.0","0.0625","0.03125","3.0","1.0","3.0","0.09375","0.03125","2.0","1.0","2.0","0.0625","0.03125","3.0","1.0","3.0","0.09375","0.03125","3.0","1.0","3.0","0.09375","0.03125","2.0","1.0","2.0","0.0625","0.03125","3.0","1.0","3.0","0.09375","0.03125","2.0","1.0","2.0","0.0625","0.03125","2.0","1.0","2.0","0.0625","0.03125","3.0","1.0","3.0","0.09375","0.03125","3.0","1.0","3.0","0.09375","0.03125","6.0","1.0","6.0","0.1875","0.03125","18.0","0.0","0.0","0.5625","0.0","0.0","20.0","0.0","0.0","0.625","6.0","10.0","60.0","0.1875","0.3125","1.0","25.0","25.0","0.03125","0.78125","3.0","1.0","3.0","0.09375","0.03125","2.0","1.0","2.0","0.0625","0.03125","2.0","1.0","2.0","0.0625","0.03125","2.0","1.0","2.0","0.0625","0.03125","2.0","1.0","2.0","0.0625","0.03125","3.0","1.0","3.0","0.09375","0.03125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","3.0","14.0","42.0","0.09375","0.4375","3.0","1.0","3.0","0.09375","0.03125","3.0","1.0","3.0","0.09375","0.03125","2.0","1.0","2.0","0.0625","0.03125","3.0","2.0","6.0","0.09375","0.0625","2.0","1.0","2.0","0.0625","0.03125","2.0","1.0","2.0","0.0625","0.03125","2.0","1.0","2.0","0.0625","0.03125","2.0","1.0","2.0","0.0625","0.03125","3.0","2.0","6.0","0.09375","0.0625","2.0","1.0","2.0","0.0625","0.03125","3.0","1.0","3.0","0.09375","0.03125","2.0","1.0","2.0","0.0625","0.03125","3.0","1.0","3.0","0.09375","0.03125","3.0","1.0","3.0","0.09375","0.03125","2.0","1.0","2.0","0.0625","0.03125","3.0","1.0","3.0","0.09375","0.03125","2.0","1.0","2.0","0.0625","0.03125","2.0","1.0","2.0","0.0625","0.03125","3.0","1.0","3.0","0.09375","0.03125","3.0","1.0","3.0","0.09375","0.03125","6.0","1.0","6.0","0.1875","0.03125","18.0","0.0","0.0","0.5625","0.0","0.0","20.0","0.0","0.0","0.625","6.0","10.0","60.0","0.1875","0.3125","1.0","25.0","25.0","0.03125","0.78125","3.0","1.0","3.0","0.09375","0.03125","2.0","1.0","2.0","0.0625","0.03125","2.0","1.0","2.0","0.0625","0.03125","2.0","1.0","2.0","0.0625","0.03125","2.0","1.0","2.0","0.0625","0.03125","3.0","1.0","3.0","0.09375","0.03125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19","3.0","14.0","42.0","0.09375","0.4375","3.0","1.0","3.0","0.09375","0.03125","3.0","1.0","3.0","0.09375","0.03125","2.0","1.0","2.0","0.0625","0.03125","3.0","2.0","6.0","0.09375","0.0625","2.0","1.0","2.0","0.0625","0.03125","2.0","1.0","2.0","0.0625","0.03125","2.0","1.0","2.0","0.0625","0.03125","2.0","1.0","2.0","0.0625","0.03125","3.0","2.0","6.0","0.09375","0.0625","2.0","1.0","2.0","0.0625","0.03125","3.0","1.0","3.0","0.09375","0.03125","2.0","1.0","2.0","0.0625","0.03125","3.0","1.0","3.0","0.09375","0.03125","3.0","1.0","3.0","0.09375","0.03125","2.0","1.0","2.0","0.0625","0.03125","3.0","1.0","3.0","0.09375","0.03125","2.0","1.0","2.0","0.0625","0.03125","2.0","1.0","2.0","0.0625","0.03125","3.0","1.0","3.0","0.09375","0.03125","3.0","1.0","3.0","0.09375","0.03125","6.0","1.0","6.0","0.1875","0.03125","18.0","0.0","0.0","0.5625","0.0","0.0","20.0","0.0","0.0","0.625","6.0","10.0","60.0","0.1875","0.3125","1.0","25.0","25.0","0.03125","0.78125","3.0","1.0","3.0","0.09375","0.03125","2.0","1.0","2.0","0.0625","0.03125","2.0","1.0","2.0","0.0625","0.03125","2.0","1.0","2.0","0.0625","0.03125","2.0","1.0","2.0","0.0625","0.03125","3.0","1.0","3.0","0.09375","0.03125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"20","3.0","14.0","42.0","0.09375","0.4375","3.0","1.0","3.0","0.09375","0.03125","3.0","1.0","3.0","0.09375","0.03125","2.0","1.0","2.0","0.0625","0.03125","3.0","2.0","6.0","0.09375","0.0625","2.0","1.0","2.0","0.0625","0.03125","2.0","1.0","2.0","0.0625","0.03125","2.0","1.0","2.0","0.0625","0.03125","2.0","1.0","2.0","0.0625","0.03125","3.0","2.0","6.0","0.09375","0.0625","2.0","1.0","2.0","0.0625","0.03125","3.0","1.0","3.0","0.09375","0.03125","2.0","1.0","2.0","0.0625","0.03125","3.0","1.0","3.0","0.09375","0.03125","3.0","1.0","3.0","0.09375","0.03125","2.0","1.0","2.0","0.0625","0.03125","3.0","1.0","3.0","0.09375","0.03125","2.0","1.0","2.0","0.0625","0.03125","2.0","1.0","2.0","0.0625","0.03125","3.0","1.0","3.0","0.09375","0.03125","3.0","1.0","3.0","0.09375","0.03125","6.0","1.0","6.0","0.1875","0.03125","18.0","0.0","0.0","0.5625","0.0","0.0","20.0","0.0","0.0","0.625","6.0","10.0","60.0","0.1875","0.3125","1.0","25.0","25.0","0.03125","0.78125","3.0","1.0","3.0","0.09375","0.03125","2.0","1.0","2.0","0.0625","0.03125","2.0","1.0","2.0","0.0625","0.03125","2.0","1.0","2.0","0.0625","0.03125","2.0","1.0","2.0","0.0625","0.03125","3.0","1.0","3.0","0.09375","0.03125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"21","3.0","16.0","48.0","0.08823529411764706","0.47058823529411764","3.0","1.0","3.0","0.08823529411764706","0.029411764705882353","3.0","1.0","3.0","0.08823529411764706","0.029411764705882353","2.0","1.0","2.0","0.058823529411764705","0.029411764705882353","3.0","2.0","6.0","0.08823529411764706","0.058823529411764705","2.0","1.0","2.0","0.058823529411764705","0.029411764705882353","2.0","1.0","2.0","0.058823529411764705","0.029411764705882353","2.0","1.0","2.0","0.058823529411764705","0.029411764705882353","2.0","1.0","2.0","0.058823529411764705","0.029411764705882353","3.0","2.0","6.0","0.08823529411764706","0.058823529411764705","2.0","1.0","2.0","0.058823529411764705","0.029411764705882353","3.0","1.0","3.0","0.08823529411764706","0.029411764705882353","2.0","1.0","2.0","0.058823529411764705","0.029411764705882353","3.0","1.0","3.0","0.08823529411764706","0.029411764705882353","3.0","1.0","3.0","0.08823529411764706","0.029411764705882353","2.0","1.0","2.0","0.058823529411764705","0.029411764705882353","3.0","1.0","3.0","0.08823529411764706","0.029411764705882353","2.0","1.0","2.0","0.058823529411764705","0.029411764705882353","2.0","1.0","2.0","0.058823529411764705","0.029411764705882353","3.0","1.0","3.0","0.08823529411764706","0.029411764705882353","3.0","1.0","3.0","0.08823529411764706","0.029411764705882353","6.0","1.0","6.0","0.17647058823529413","0.029411764705882353","20.0","0.0","0.0","0.5882352941176471","0.0","0.0","22.0","0.0","0.0","0.6470588235294118","6.0","10.0","60.0","0.17647058823529413","0.29411764705882354","1.0","27.0","27.0","0.029411764705882353","0.7941176470588235","3.0","1.0","3.0","0.08823529411764706","0.029411764705882353","2.0","1.0","2.0","0.058823529411764705","0.029411764705882353","2.0","1.0","2.0","0.058823529411764705","0.029411764705882353","2.0","1.0","2.0","0.058823529411764705","0.029411764705882353","2.0","1.0","2.0","0.058823529411764705","0.029411764705882353","3.0","1.0","3.0","0.08823529411764706","0.029411764705882353","3.0","1.0","3.0","0.08823529411764706","0.029411764705882353","3.0","1.0","3.0","0.08823529411764706","0.029411764705882353"
