"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","BA15-ADS","BA15-GINI -ADS","BA15-AIS","BA15-GINI -AIS","BA16-ADS","BA16-GINI -ADS","BA16-AIS","BA16-GINI -AIS","BA17-ADS","BA17-GINI -ADS","BA17-AIS","BA17-GINI -AIS","BA18-ADS","BA18-GINI -ADS","BA18-AIS","BA18-GINI -AIS","BA19-ADS","BA19-GINI -ADS","BA19-AIS","BA19-GINI -AIS","BA20-ADS","BA20-GINI -ADS","BA20-AIS","BA20-GINI -AIS","BA21-ADS","BA21-GINI -ADS","BA21-AIS","BA21-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2788181","0.6408656","0.1267806267806268","3.2962962962962963","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","7.0","0.1512151","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","13.0","0","0.0","0","1.0","0","11.0","0.02175602","7.0","0","13.0","0","1.0","0","11.0","0.02175602","1.0","0","23.0","0","2.0","0","6.0","0"
"11","0.2788181","0.6408656","0.1267806267806268","3.2962962962962963","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","7.0","0.1481481","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","13.0","0","0.0","0","1.0","0","11.0","0.02083333","7.0","0","13.0","0","1.0","0","11.0","0.02083333","1.0","0","23.0","0","2.0","0","6.0","0"
"12","0.2788181","0.6408656","0.1267806267806268","3.2962962962962963","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","7.0","0.1444816","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","13.0","0","0.0","0","1.0","0","11.0","0.01992252","7.0","0","13.0","0","1.0","0","11.0","0.01992252","1.0","0","23.0","0","2.0","0","6.0","0"
"13","0.2788181","0.6408656","0.1267806267806268","3.2962962962962963","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","7.0","0.1405152","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","13.0","0","0.0","0","1.0","0","11.0","0.01904762","7.0","0","13.0","0","1.0","0","11.0","0.01904762","1.0","0","23.0","0","2.0","0","6.0","0"
"14","0.2788181","0.6408656","0.1267806267806268","3.2962962962962963","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","7.0","0.1364341","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","13.0","0","0.0","0","1.0","0","11.0","0.01821946","7.0","0","13.0","0","1.0","0","11.0","0.01821946","1.0","0","23.0","0","2.0","0","6.0","0"
"15","0.2788181","0.6408656","0.1267806267806268","3.2962962962962963","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","7.0","0.1323529","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","13.0","0","0.0","0","1.0","0","11.0","0.01744186","7.0","0","13.0","0","1.0","0","11.0","0.01744186","1.0","0","23.0","0","2.0","0","6.0","0"
"16","0.2788181","0.6408656","0.1267806267806268","3.2962962962962963","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","7.0","0.1283422","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","13.0","0","0.0","0","1.0","0","11.0","0.01671488","7.0","0","13.0","0","1.0","0","11.0","0.01671488","1.0","0","23.0","0","2.0","0","6.0","0"
"17","0.2788181","0.6408656","0.1267806267806268","3.2962962962962963","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","7.0","0.1244444","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","13.0","0","0.0","0","1.0","0","11.0","0.01603666","7.0","0","13.0","0","1.0","0","11.0","0.01603666","1.0","0","23.0","0","2.0","0","6.0","0"
"18","0.2788181","0.6408656","0.1267806267806268","3.2962962962962963","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","7.0","0.1206839","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","13.0","0","0.0","0","1.0","0","11.0","0.01540436","7.0","0","13.0","0","1.0","0","11.0","0.01540436","1.0","0","23.0","0","2.0","0","6.0","0"
"19","0.2788181","0.6408656","0.1267806267806268","3.2962962962962963","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","7.0","0.1170732","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","13.0","0","0.0","0","1.0","0","11.0","0.01481481","7.0","0","13.0","0","1.0","0","11.0","0.01481481","1.0","0","23.0","0","2.0","0","6.0","0"
"20","0.2788181","0.6408656","0.1267806267806268","3.2962962962962963","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","7.0","0.1136174","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","13.0","0","0.0","0","1.0","0","11.0","0.01426474","7.0","0","13.0","0","1.0","0","11.0","0.01426474","1.0","0","23.0","0","2.0","0","6.0","0"
