"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","BA7-ADS","BA7-AIS","BA7-ACS","BA7-RCS","BA7-RIS","BA8-ADS","BA8-AIS","BA8-ACS","BA8-RCS","BA8-RIS","BA9-ADS","BA9-AIS","BA9-ACS","BA9-RCS","BA9-RIS","BA10-ADS","BA10-AIS","BA10-ACS","BA10-RCS","BA10-RIS","BA11-ADS","BA11-AIS","BA11-ACS","BA11-RCS","BA11-RIS","BA12-ADS","BA12-AIS","BA12-ACS","BA12-RCS","BA12-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS"
"11","4.0","5.0","20.0","0.25","0.3125","3.0","2.0","6.0","0.1875","0.125","3.0","1.0","3.0","0.1875","0.0625","3.0","2.0","6.0","0.1875","0.125","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","2.0","6.0","0.1875","0.125","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","1.0","3.0","0.1875","0.0625","8.0","0.0","0.0","0.5","0.0","0.0","14.0","0.0","0.0","0.875","1.0","14.0","14.0","0.0625","0.875","2.0","1.0","2.0","0.125","0.0625","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","5.0","5.0","25.0","0.29411764705882354","0.29411764705882354","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","8.0","0.0","0.0","0.47058823529411764","0.0","0.0","15.0","0.0","0.0","0.8823529411764706","1.0","14.0","14.0","0.058823529411764705","0.8235294117647058","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","5.0","5.0","25.0","0.29411764705882354","0.29411764705882354","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","8.0","0.0","0.0","0.47058823529411764","0.0","0.0","15.0","0.0","0.0","0.8823529411764706","1.0","14.0","14.0","0.058823529411764705","0.8235294117647058","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","5.0","5.0","25.0","0.29411764705882354","0.29411764705882354","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","8.0","0.0","0.0","0.47058823529411764","0.0","0.0","15.0","0.0","0.0","0.8823529411764706","1.0","14.0","14.0","0.058823529411764705","0.8235294117647058","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","5.0","5.0","25.0","0.29411764705882354","0.29411764705882354","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","8.0","0.0","0.0","0.47058823529411764","0.0","0.0","15.0","0.0","0.0","0.8823529411764706","1.0","14.0","14.0","0.058823529411764705","0.8235294117647058","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","5.0","5.0","25.0","0.29411764705882354","0.29411764705882354","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","8.0","0.0","0.0","0.47058823529411764","0.0","0.0","15.0","0.0","0.0","0.8823529411764706","1.0","14.0","14.0","0.058823529411764705","0.8235294117647058","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","5.0","5.0","25.0","0.29411764705882354","0.29411764705882354","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","8.0","0.0","0.0","0.47058823529411764","0.0","0.0","15.0","0.0","0.0","0.8823529411764706","1.0","14.0","14.0","0.058823529411764705","0.8235294117647058","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","5.0","5.0","25.0","0.29411764705882354","0.29411764705882354","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","8.0","0.0","0.0","0.47058823529411764","0.0","0.0","15.0","0.0","0.0","0.8823529411764706","1.0","14.0","14.0","0.058823529411764705","0.8235294117647058","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19","5.0","5.0","25.0","0.29411764705882354","0.29411764705882354","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","8.0","0.0","0.0","0.47058823529411764","0.0","0.0","15.0","0.0","0.0","0.8823529411764706","1.0","14.0","14.0","0.058823529411764705","0.8235294117647058","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"20","6.0","5.0","30.0","0.3333333333333333","0.2777777777777778","3.0","2.0","6.0","0.16666666666666666","0.1111111111111111","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","3.0","2.0","6.0","0.16666666666666666","0.1111111111111111","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","3.0","2.0","6.0","0.16666666666666666","0.1111111111111111","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","8.0","0.0","0.0","0.4444444444444444","0.0","0.0","16.0","0.0","0.0","0.8888888888888888","1.0","14.0","14.0","0.05555555555555555","0.7777777777777778","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","1.0","1.0","1.0","0.05555555555555555","0.05555555555555555","1.0","1.0","1.0","0.05555555555555555","0.05555555555555555","0.0","0.0","0.0","0.0","0.0"
"21","7.0","5.0","35.0","0.3684210526315789","0.2631578947368421","3.0","2.0","6.0","0.15789473684210525","0.10526315789473684","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","3.0","2.0","6.0","0.15789473684210525","0.10526315789473684","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","3.0","2.0","6.0","0.15789473684210525","0.10526315789473684","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","8.0","0.0","0.0","0.42105263157894735","0.0","0.0","17.0","0.0","0.0","0.8947368421052632","1.0","14.0","14.0","0.05263157894736842","0.7368421052631579","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","1.0","1.0","1.0","0.05263157894736842","0.05263157894736842","1.0","1.0","1.0","0.05263157894736842","0.05263157894736842","1.0","1.0","1.0","0.05263157894736842","0.05263157894736842"
