"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","RD12-ADS","RD12-AIS","RD12-ACS","RD12-RCS","RD12-RIS","RD13-ADS","RD13-AIS","RD13-ACS","RD13-RCS","RD13-RIS","RD14-ADS","RD14-AIS","RD14-ACS","RD14-RCS","RD14-RIS","RD15-ADS","RD15-AIS","RD15-ACS","RD15-RCS","RD15-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS","MSV7-ADS","MSV7-AIS","MSV7-ACS","MSV7-RCS","MSV7-RIS"
"11","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","1.0","2.0","2.0","0.045454545454545456","0.09090909090909091","1.0","2.0","2.0","0.045454545454545456","0.09090909090909091","2.0","2.0","4.0","0.09090909090909091","0.09090909090909091","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","4.0","2.0","8.0","0.18181818181818182","0.09090909090909091","3.0","6.0","18.0","0.13636363636363635","0.2727272727272727","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","1.0","3.0","3.0","0.045454545454545456","0.13636363636363635","4.0","1.0","4.0","0.18181818181818182","0.045454545454545456","5.0","0.0","0.0","0.22727272727272727","0.0","0.0","10.0","0.0","0.0","0.45454545454545453","11.0","10.0","110.0","0.5","0.45454545454545453","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","1.0","2.0","2.0","0.045454545454545456","0.09090909090909091","1.0","2.0","2.0","0.045454545454545456","0.09090909090909091","2.0","2.0","4.0","0.09090909090909091","0.09090909090909091","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","4.0","2.0","8.0","0.18181818181818182","0.09090909090909091","3.0","6.0","18.0","0.13636363636363635","0.2727272727272727","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","1.0","3.0","3.0","0.045454545454545456","0.13636363636363635","4.0","1.0","4.0","0.18181818181818182","0.045454545454545456","5.0","0.0","0.0","0.22727272727272727","0.0","0.0","10.0","0.0","0.0","0.45454545454545453","11.0","10.0","110.0","0.5","0.45454545454545453","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","1.0","2.0","2.0","0.045454545454545456","0.09090909090909091","1.0","2.0","2.0","0.045454545454545456","0.09090909090909091","2.0","2.0","4.0","0.09090909090909091","0.09090909090909091","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","4.0","2.0","8.0","0.18181818181818182","0.09090909090909091","3.0","6.0","18.0","0.13636363636363635","0.2727272727272727","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","1.0","3.0","3.0","0.045454545454545456","0.13636363636363635","4.0","1.0","4.0","0.18181818181818182","0.045454545454545456","5.0","0.0","0.0","0.22727272727272727","0.0","0.0","10.0","0.0","0.0","0.45454545454545453","11.0","10.0","110.0","0.5","0.45454545454545453","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","1.0","2.0","2.0","0.045454545454545456","0.09090909090909091","1.0","2.0","2.0","0.045454545454545456","0.09090909090909091","2.0","2.0","4.0","0.09090909090909091","0.09090909090909091","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","4.0","2.0","8.0","0.18181818181818182","0.09090909090909091","3.0","6.0","18.0","0.13636363636363635","0.2727272727272727","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","3.0","1.0","3.0","0.13636363636363635","0.045454545454545456","1.0","3.0","3.0","0.045454545454545456","0.13636363636363635","4.0","1.0","4.0","0.18181818181818182","0.045454545454545456","5.0","0.0","0.0","0.22727272727272727","0.0","0.0","10.0","0.0","0.0","0.45454545454545453","11.0","10.0","110.0","0.5","0.45454545454545453","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","1.0","2.0","2.0","0.043478260869565216","0.08695652173913043","1.0","2.0","2.0","0.043478260869565216","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","4.0","2.0","8.0","0.17391304347826086","0.08695652173913043","3.0","7.0","21.0","0.13043478260869565","0.30434782608695654","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","1.0","3.0","3.0","0.043478260869565216","0.13043478260869565","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","6.0","0.0","0.0","0.2608695652173913","0.0","0.0","11.0","0.0","0.0","0.4782608695652174","11.0","10.0","110.0","0.4782608695652174","0.43478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","1.0","2.0","2.0","0.043478260869565216","0.08695652173913043","1.0","2.0","2.0","0.043478260869565216","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","4.0","2.0","8.0","0.17391304347826086","0.08695652173913043","3.0","7.0","21.0","0.13043478260869565","0.30434782608695654","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","1.0","3.0","3.0","0.043478260869565216","0.13043478260869565","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","6.0","0.0","0.0","0.2608695652173913","0.0","0.0","11.0","0.0","0.0","0.4782608695652174","11.0","10.0","110.0","0.4782608695652174","0.43478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","1.0","2.0","2.0","0.043478260869565216","0.08695652173913043","1.0","2.0","2.0","0.043478260869565216","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","4.0","2.0","8.0","0.17391304347826086","0.08695652173913043","3.0","7.0","21.0","0.13043478260869565","0.30434782608695654","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","1.0","3.0","3.0","0.043478260869565216","0.13043478260869565","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","6.0","0.0","0.0","0.2608695652173913","0.0","0.0","11.0","0.0","0.0","0.4782608695652174","11.0","10.0","110.0","0.4782608695652174","0.43478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","1.0","2.0","2.0","0.043478260869565216","0.08695652173913043","1.0","2.0","2.0","0.043478260869565216","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","4.0","2.0","8.0","0.17391304347826086","0.08695652173913043","3.0","7.0","21.0","0.13043478260869565","0.30434782608695654","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","1.0","3.0","3.0","0.043478260869565216","0.13043478260869565","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","6.0","0.0","0.0","0.2608695652173913","0.0","0.0","11.0","0.0","0.0","0.4782608695652174","11.0","10.0","110.0","0.4782608695652174","0.43478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","1.0","2.0","2.0","0.043478260869565216","0.08695652173913043","1.0","2.0","2.0","0.043478260869565216","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","4.0","2.0","8.0","0.17391304347826086","0.08695652173913043","3.0","7.0","21.0","0.13043478260869565","0.30434782608695654","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","3.0","1.0","3.0","0.13043478260869565","0.043478260869565216","1.0","3.0","3.0","0.043478260869565216","0.13043478260869565","4.0","1.0","4.0","0.17391304347826086","0.043478260869565216","6.0","0.0","0.0","0.2608695652173913","0.0","0.0","11.0","0.0","0.0","0.4782608695652174","11.0","10.0","110.0","0.4782608695652174","0.43478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"20","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","2.0","2.0","0.041666666666666664","0.08333333333333333","1.0","2.0","2.0","0.041666666666666664","0.08333333333333333","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","4.0","2.0","8.0","0.16666666666666666","0.08333333333333333","3.0","8.0","24.0","0.125","0.3333333333333333","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","3.0","1.0","3.0","0.125","0.041666666666666664","1.0","3.0","3.0","0.041666666666666664","0.125","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","7.0","0.0","0.0","0.2916666666666667","0.0","0.0","12.0","0.0","0.0","0.5","11.0","10.0","110.0","0.4583333333333333","0.4166666666666667","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"21","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","1.0","2.0","2.0","0.038461538461538464","0.07692307692307693","1.0","2.0","2.0","0.038461538461538464","0.07692307692307693","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","4.0","2.0","8.0","0.15384615384615385","0.07692307692307693","3.0","10.0","30.0","0.11538461538461539","0.38461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","1.0","3.0","3.0","0.038461538461538464","0.11538461538461539","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","9.0","0.0","0.0","0.34615384615384615","0.0","0.0","14.0","0.0","0.0","0.5384615384615384","11.0","10.0","110.0","0.4230769230769231","0.38461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464"
